t_rel_s,displacement_um,force_N,sma_v,sma_i,sma_r,stage_mm
0,-4231.3897,0.20998596,0.025414,0.123941,0.105046,79.999979
0.0099999905,-4231.3897,0.21025338,0.025414,0.123941,0.105046,79.999979
0.019999981,-4231.3375,0.2102672,0.025414,0.123941,0.105046,79.999979
0.029999971,-4231.2703,0.21034993,0.025445229,0.12394883,0.105046,79.999979
0.039999962,-4231.2846,0.21050312,0.025813995,0.12404128,0.10779045,79.999979
0.049999952,-4231.117,0.20980017,0.02618276,0.12413373,0.11057783,79.999979
0.059999943,-4231.4921,0.21003831,0.026551526,0.12422617,0.11336522,79.999979
0.069999933,-4231.1508,0.21011297,0.026920291,0.12431862,0.1161526,79.999979
0.079999924,-4230.8095,0.21018763,0.027289057,0.12441107,0.11893998,79.999979
0.089999914,-4231.1969,0.21029741,0.027657822,0.12450352,0.12172736,79.999979
0.099999905,-4231.1969,0.21029741,0.028026588,0.12459597,0.12451474,79.999979
0.1099999,-4231.5154,0.20989242,0.028395353,0.12468841,0.12730213,79.999979
0.11999989,-4232.0675,0.21018166,0.028764119,0.12478086,0.13008951,79.999979
0.12999988,-4229.7908,0.21057699,0.029132884,0.12487331,0.13287689,79.999979
0.13999987,-4232.3598,0.21011897,0.02950165,0.12496576,0.13566427,79.999979
0.14999986,-4231.2366,0.20995659,0.029870415,0.12505821,0.13845166,79.999979
0.15999985,-4230.1134,0.2097942,0.03023918,0.12515066,0.14123904,79.999979
0.16999984,-4231.5083,0.21025182,0.030607946,0.1252431,0.14402642,79.999979
0.17999983,-4231.5611,0.21059999,0.030976711,0.12533555,0.1468138,79.999979
0.18999982,-4232.3909,0.21036082,0.031345477,0.125428,0.14960118,79.999979
0.19999981,-4231.361,0.21012165,0.031714242,0.12552045,0.15238857,79.999979
0.2099998,-4230.331,0.20988249,0.032083008,0.1256129,0.15517595,79.999979
0.21999979,-4231.2287,0.21006142,0.032451773,0.12570534,0.15796333,79.999979
0.22999978,-4230.9096,0.2100723,0.032769068,0.12580244,0.16043691,79.999979
0.23999977,-4230.9931,0.21103478,0.03286875,0.12592851,0.16095658,79.999979
0.24999976,-4231.469,0.20991715,0.032968433,0.12605457,0.16147625,79.999979
0.25999975,-4231.4414,0.20991086,0.033068116,0.12618063,0.16199593,79.999979
0.26999974,-4231.4138,0.20990457,0.033167799,0.12630669,0.1625156,79.999979
0.27999973,-4232.5948,0.21019049,0.033267481,0.12643275,0.16303527,79.999979
0.28999972,-4231.7121,0.2097803,0.033367164,0.12655881,0.16355494,79.999979
0.29999971,-4230.2335,0.21024671,0.033466847,0.12668487,0.16407461,79.999979
0.3099997,-4232.5207,0.2106859,0.03356653,0.12681094,0.16459428,79.999979
0.31999969,-4231.0462,0.21064896,0.033666212,0.126937,0.16511396,79.999979
0.32999969,-4230.9578,0.21032933,0.033765895,0.12706306,0.16563363,79.999979
0.33999968,-4230.9578,0.21000971,0.033865578,0.12718912,0.1661533,79.999979
0.34999967,-4229.6159,0.21007216,0.033965261,0.12731518,0.16667297,79.999979
0.35999966,-4229.6159,0.21052774,0.034064943,0.12744124,0.16719264,79.999979
0.36999965,-4232.942,0.21047854,0.034164626,0.1275673,0.16771231,79.999979
0.37999964,-4231.9385,0.21081143,0.034264309,0.12769337,0.16823198,79.999979
0.38999963,-4230.9351,0.21089657,0.034363992,0.12781943,0.16875166,79.999979
0.39999962,-4231.5579,0.2101894,0.034463674,0.12794549,0.16927133,79.999979
0.40999961,-4232.2033,0.20990764,0.034563357,0.12807155,0.169791,79.999979
0.4199996,-4230.8234,0.21043129,0.03466304,0.12819761,0.17031067,79.999979
0.42999959,-4231.1559,0.21040799,0.034661606,0.12829686,0.17066796,79.999979
