level_mA,heat_ms,cycle,bootstrap,i_mA,dx_um,x_base_um,baseline_V,peak_V,rise_V,clipped
150,100,1,1,131.91,62.52,-4713.88,2.43673,2.46906,0.03233,0
150,100,2,0,155.06,22.90,-4593.35,2.47438,2.49423,0.01985,0
150,100,3,0,157.41,30.57,-4603.12,2.47051,2.49011,0.01960,0
150,100,4,0,155.08,21.79,-4638.56,2.45946,2.47832,0.01886,0
150,100,5,0,155.77,14.59,-4644.36,2.45788,2.47421,0.01633,0
150,100,6,0,157.20,13.11,-4663.90,2.45104,2.46455,0.01351,0
250,100,1,1,253.12,43.10,-4659.33,2.45245,2.47902,0.02657,0
250,100,2,0,250.27,43.17,-4612.44,2.46757,2.48865,0.02108,0
250,100,3,0,250.51,50.13,-4628.86,2.46165,2.49056,0.02891,0
250,100,4,0,251.51,41.65,-4633.64,2.46005,2.48521,0.02516,0
250,100,5,0,251.09,51.82,-4655.06,2.45247,2.48392,0.03145,0
350,100,1,1,347.67,95.11,-4675.46,2.44926,2.49077,0.04150,0
350,100,2,0,473.96,160.30,-4236.68,2.58854,2.65099,0.06246,0
350,100,3,0,472.20,171.03,-4276.77,2.57409,2.64273,0.06864,0
350,100,4,0,470.60,173.50,-4208.40,2.59560,2.66107,0.06548,0
350,100,5,0,463.59,178.56,-4268.01,2.57798,2.64773,0.06975,0
450,100,1,1,444.01,169.71,-4754.12,2.42837,2.48754,0.05917,0
450,100,2,0,448.48,173.64,-4748.65,2.42874,2.49151,0.06277,0
450,100,3,0,445.32,174.41,-4755.96,2.42483,2.49090,0.06607,0
450,100,4,0,445.39,151.99,-4738.32,2.42937,2.48316,0.05379,0
450,100,5,0,448.16,171.06,-4780.70,2.41886,2.47915,0.06029,0
450,100,6,0,209.42,558.70,-4749.71,2.42766,2.61208,0.18442,0
550,100,1,1,543.73,266.46,-4791.94,2.41584,2.50222,0.08638,0
550,100,2,0,545.91,262.18,-4767.61,2.42085,2.50928,0.08843,0
550,100,3,0,545.63,262.42,-4780.81,2.41698,2.50314,0.08617,0
550,100,4,0,545.52,265.95,-4767.78,2.42188,2.51180,0.08992,0
550,100,5,0,545.53,259.87,-4759.19,2.42384,2.51657,0.09273,0
650,100,1,1,644.42,362.80,-4765.81,2.42568,2.54042,0.11474,0
650,100,2,0,643.46,348.00,-4789.84,2.41342,2.52757,0.11416,0
650,100,3,0,749.87,496.64,-4769.82,2.42117,2.58806,0.16689,0
650,100,4,0,642.85,361.44,-4709.76,2.43737,2.55935,0.12199,0
650,100,5,0,746.21,467.59,-4793.42,2.41171,2.57130,0.15959,0
750,100,1,1,745.57,493.89,-4851.07,2.39608,2.56128,0.16520,0
750,100,2,0,858.66,647.20,-4782.54,2.41566,2.63658,0.22092,0
750,100,3,0,745.70,487.93,-4775.08,2.41705,2.58358,0.16653,0
750,100,4,0,743.99,485.08,-4720.44,2.43181,2.59908,0.16727,0
750,100,5,0,746.35,497.99,-4764.97,2.42111,2.59410,0.17299,0
850,100,1,1,841.56,640.42,-4806.89,2.41036,2.62518,0.21482,0
850,100,2,0,839.78,616.11,-4777.56,2.41637,2.62897,0.21260,0
850,100,3,0,981.63,908.11,-4776.73,2.41690,2.71419,0.29729,0
850,100,4,0,843.66,646.23,-4787.43,2.41460,2.63494,0.22034,0
850,100,5,0,880.32,731.09,-4764.26,2.42093,2.66596,0.24503,0
950,100,1,1,942.64,822.72,-4867.64,2.39026,2.66533,0.27508,0
950,100,2,0,940.03,844.40,-4821.87,2.40443,2.68326,0.27883,0
950,100,3,0,940.74,825.96,-4820.72,2.40323,2.67264,0.26941,0
950,100,4,0,947.90,847.30,-4807.15,2.40853,2.68889,0.28036,0
950,100,5,0,946.96,831.83,-4866.23,2.39023,2.66159,0.27135,0
150,200,1,1,294.75,28.31,-3776.43,2.73125,2.74818,0.01693,0
150,200,2,0,292.90,88.01,-3770.23,2.73228,2.77309,0.04081,0
150,200,3,0,294.53,125.52,-3625.95,2.77814,2.82014,0.04200,0
150,200,4,0,307.72,924.24,-1460.59,3.45370,3.75221,0.29850,0
150,200,5,0,307.42,143.44,1678.82,4.44981,4.50262,0.05280,0
250,200,1,1,250.90,2.78,-4954.08,2.26962,2.31336,0.04374,0
250,200,2,0,251.38,2.94,-4954.18,2.24658,2.28992,0.04334,0
250,200,3,0,252.68,2.89,-4954.16,2.25372,2.29126,0.03754,0
250,200,4,0,348.56,184.52,-4792.01,2.41384,2.48007,0.06622,0
250,200,5,0,348.16,157.40,-4777.13,2.41706,2.47181,0.05476,0
350,200,1,1,349.59,3.49,-4954.11,2.23022,2.31454,0.08432,0
350,200,2,0,476.43,445.06,-4909.75,2.37900,2.52617,0.14717,0
350,200,3,0,478.26,349.30,-4953.84,2.34756,2.48427,0.13671,0
350,200,4,0,477.09,413.73,-4943.12,2.36521,2.50705,0.14185,0
350,200,5,0,467.55,357.26,-4953.86,2.34641,2.48300,0.13659,0
450,200,1,1,621.57,812.79,-4953.79,2.33969,2.62913,0.28944,0
450,200,2,0,635.51,938.36,-4787.41,2.41311,2.72328,0.31018,0
450,200,3,0,645.46,1136.25,-4631.55,2.46225,2.82923,0.36698,0
450,200,4,0,645.41,1302.38,-4413.14,2.53022,2.94553,0.41531,0
450,200,5,0,644.34,1132.08,-4486.94,2.50591,2.87682,0.37091,0
550,200,1,1,230.85,-3.03,-4954.20,2.15892,2.22985,0.07093,0
550,200,2,0,547.15,80.89,-4954.17,2.20981,2.39862,0.18881,0
550,200,3,0,546.56,4.92,-4954.15,2.18709,2.37572,0.18863,0
550,200,4,0,548.66,18.73,-4954.14,2.20236,2.38007,0.17771,0
550,200,5,0,548.49,5.12,-4954.12,2.18876,2.36520,0.17643,0
550,200,6,0,547.44,4.83,-4954.13,2.19204,2.37297,0.18093,0
650,200,1,1,646.27,154.37,-4954.18,2.16599,2.42344,0.25745,0
650,200,2,0,752.61,632.89,-4954.13,2.18687,2.57955,0.39268,0
650,200,3,0,788.69,1491.34,-4953.75,2.31637,2.84493,0.52856,0
650,200,4,0,647.56,338.71,-4954.09,2.21690,2.47534,0.25844,0
650,200,5,0,645.59,304.85,-4954.06,2.20497,2.46680,0.26183,0
750,200,1,1,748.14,471.84,-4954.17,2.15609,2.51675,0.36065,0
750,200,2,0,783.45,566.94,-4954.22,2.14754,2.55234,0.40480,0
750,200,3,0,746.23,478.33,-4954.20,2.16469,2.52187,0.35718,0
750,200,4,0,1063.13,7173.54,-4937.68,2.37055,4.67035,2.29980,0
750,200,5,0,1095.48,4752.16,275.65,4.00759,5.00000,0.99241,1
850,200,1,1,331.89,3.15,-4953.94,2.07663,2.20752,0.13089,0
850,200,2,0,846.56,1009.98,-4954.01,2.11457,2.70377,0.58921,0
850,200,3,0,991.25,2715.31,-4954.19,2.15411,3.24729,1.09319,0
850,200,4,0,845.88,1181.11,-4954.20,2.21555,2.74682,0.53127,0
850,200,5,0,845.32,1170.79,-4954.23,2.20610,2.75092,0.54483,0
850,200,6,0,848.92,1114.16,-4954.18,2.19288,2.72304,0.53015,0
950,200,1,1,361.47,3.31,-4954.05,2.03083,2.17540,0.14457,0
950,200,2,0,1122.93,4984.48,-4954.23,2.05982,3.98862,1.92879,0
950,200,3,0,945.72,2391.86,-4954.22,2.29886,3.13677,0.83791,0
950,200,4,0,946.26,2295.37,-4954.26,2.27301,3.10736,0.83436,0
950,200,5,0,945.65,2078.39,-4954.07,2.22557,3.03022,0.80465,0
950,200,6,0,945.08,2144.69,-4954.04,2.22667,3.05814,0.83146,0
150,300,1,1,145.03,2.46,-4954.36,2.01837,2.05097,0.03260,0
150,300,2,0,155.07,-2.53,-4954.22,2.04476,2.07084,0.02608,0
150,300,3,0,156.45,-2.61,-4954.15,2.06436,2.08760,0.02325,0
150,300,4,0,156.47,-2.62,-4954.13,2.04894,2.07103,0.02209,0
150,300,5,0,155.44,-2.58,-4954.20,2.04274,2.06480,0.02206,0
150,300,6,0,155.45,-2.68,-4954.10,2.05316,2.07478,0.02162,0
