frame_idx,host_timestamp_s,monotonic_s,cycle_idx,mode,rel_path,laser_mm
77,1784150690.132297,60569.281000,1,heartbeat,cycle_01/000032.jpg,-4.2161
78,1784150691.144201,60570.281000,1,heartbeat,cycle_01/000033.jpg,-4.2299
79,1784150692.141663,60571.281000,1,heartbeat,cycle_01/000034.jpg,-4.2450
80,1784150693.153558,60572.281000,1,heartbeat,cycle_01/000035.jpg,-4.2590
81,1784150694.146816,60573.281000,1,heartbeat,cycle_01/000036.jpg,-4.2763
82,1784150695.144312,60574.281000,1,heartbeat,cycle_01/000037.jpg,-4.2900
83,1784150696.144469,60575.281000,1,heartbeat,cycle_01/000038.jpg,-3.8806
84,1784150697.142452,60576.281000,1,heartbeat,cycle_01/000039.jpg,-3.9244
85,1784150698.141491,60577.281000,1,heartbeat,cycle_01/000040.jpg,-3.9630
86,1784150699.134857,60578.281000,1,heartbeat,cycle_01/000041.jpg,-3.8424
87,1784150700.149847,60579.296000,1,heartbeat,cycle_01/000042.jpg,-3.9255
88,1784150701.149633,60580.296000,1,heartbeat,cycle_01/000043.jpg,-3.9888
89,1784150702.160044,60581.296000,1,heartbeat,cycle_01/000044.jpg,-4.0369
90,1784150703.148782,60582.296000,1,heartbeat,cycle_01/000045.jpg,-3.8806
91,1784150704.160945,60583.296000,1,heartbeat,cycle_01/000046.jpg,-3.9161
92,1784150705.159317,60584.296000,1,heartbeat,cycle_01/000047.jpg,-3.9573
93,1784150706.153764,60585.296000,1,heartbeat,cycle_01/000048.jpg,-3.9881
94,1784150707.151148,60586.296000,1,heartbeat,cycle_01/000049.jpg,-4.0175
95,1784150708.161836,60587.296000,1,heartbeat,cycle_01/000050.jpg,-4.0635
96,1784150709.157274,60588.296000,1,heartbeat,cycle_01/000051.jpg,-4.1151
97,1784150710.152885,60589.296000,1,heartbeat,cycle_01/000052.jpg,-4.1727
98,1784150711.164689,60590.312000,1,heartbeat,cycle_01/000053.jpg,-4.2199
99,1784150712.177268,60591.312000,1,heartbeat,cycle_01/000054.jpg,-4.2586
100,1784150713.164336,60592.312000,1,heartbeat,cycle_01/000055.jpg,-3.9668
101,1784150714.175887,60593.312000,1,heartbeat,cycle_01/000056.jpg,-3.9943
102,1784150715.173189,60594.312000,1,heartbeat,cycle_01/000057.jpg,-4.0509
103,1784150716.176995,60595.312000,1,heartbeat,cycle_01/000058.jpg,-4.0973
104,1784150717.170810,60596.312000,1,heartbeat,cycle_01/000059.jpg,-4.1276
105,1784150718.193230,60597.312000,1,heartbeat,cycle_01/000060.jpg,-4.3072
106,1784150719.171310,60598.312000,1,heartbeat,cycle_01/000061.jpg,-4.0718
107,1784150720.168818,60599.312000,1,heartbeat,cycle_01/000062.jpg,-4.1194
108,1784150721.179024,60600.312000,1,heartbeat,cycle_01/000063.jpg,-4.1560
109,1784150722.172539,60601.312000,1,heartbeat,cycle_01/000064.jpg,-4.1779
110,1784150723.167694,60602.312000,1,heartbeat,cycle_01/000065.jpg,-4.2026
111,1784150724.180157,60603.328000,1,heartbeat,cycle_01/000066.jpg,-4.2248
112,1784150725.196286,60604.343000,1,heartbeat,cycle_01/000067.jpg,-4.2404
113,1784150726.208419,60605.343000,1,heartbeat,cycle_01/000068.jpg,-3.9016
114,1784150727.205891,60606.343000,1,heartbeat,cycle_01/000069.jpg,-3.9380
115,1784150728.203566,60607.343000,1,heartbeat,cycle_01/000070.jpg,-3.9873
116,1784150729.198908,60608.343000,1,heartbeat,cycle_01/000071.jpg,-4.0220
117,1784150730.211293,60609.359000,1,heartbeat,cycle_01/000072.jpg,-4.0555
118,1784150731.224878,60610.359000,1,heartbeat,cycle_01/000073.jpg,-4.0984
119,1784150732.221868,60611.359000,1,heartbeat,cycle_01/000074.jpg,-4.1388
120,1784150733.219762,60612.359000,1,heartbeat,cycle_01/000075.jpg,-4.1634
121,1784150734.221119,60613.359000,1,heartbeat,cycle_01/000076.jpg,-3.9918
122,1784150735.214722,60614.359000,1,heartbeat,cycle_01/000077.jpg,-4.0192
123,1784150736.224846,60615.359000,1,heartbeat,cycle_01/000078.jpg,-4.0439
124,1784150737.215492,60616.359000,1,heartbeat,cycle_01/000079.jpg,-4.0685
125,1784150738.225915,60617.359000,1,heartbeat,cycle_01/000080.jpg,-4.0884
126,1784150739.224249,60618.359000,1,heartbeat,cycle_01/000081.jpg,-4.1028
127,1784150740.218316,60619.359000,1,heartbeat,cycle_01/000082.jpg,-4.1077
128,1784150741.217028,60620.359000,1,heartbeat,cycle_01/000083.jpg,-4.0145
129,1784150742.211863,60621.359000,1,heartbeat,cycle_01/000084.jpg,-4.0632
130,1784150743.224948,60622.359000,1,heartbeat,cycle_01/000085.jpg,-4.1113
131,1784150744.221576,60623.359000,1,heartbeat,cycle_01/000086.jpg,-4.1503
132,1784150745.217604,60624.359000,1,heartbeat,cycle_01/000087.jpg,-4.1702
133,1784150746.211582,60625.359000,1,heartbeat,cycle_01/000088.jpg,-4.1797
134,1784150747.222407,60626.359000,1,heartbeat,cycle_01/000089.jpg,-4.1892
135,1784150748.218051,60627.359000,1,heartbeat,cycle_01/000090.jpg,-4.2014
136,1784150749.216927,60628.359000,1,heartbeat,cycle_01/000091.jpg,-4.0336
137,1784150750.212638,60629.359000,1,heartbeat,cycle_01/000092.jpg,-4.0918
138,1784150751.223183,60630.359000,1,heartbeat,cycle_01/000093.jpg,-4.1277
139,1784150752.221672,60631.359000,1,heartbeat,cycle_01/000094.jpg,-4.1607
140,1784150753.218743,60632.359000,1,heartbeat,cycle_01/000095.jpg,-4.1911
141,1784150754.215008,60633.359000,1,heartbeat,cycle_01/000096.jpg,-4.2265
142,1784150755.211033,60634.359000,1,heartbeat,cycle_01/000097.jpg,-4.2444
