host_timestamp_s,monotonic_s,fields_json
1783441170.723671,607824.953000,"{""t_ms"":105698,""hwm"":256,""cap"":256,""dropped"":168,""dropped_total"":13982,""crc_err"":0,""crc_err_total"":0,""rate1"":429,""rate2"":421,""prod1"":429,""prod2"":434,""sma_state"":0,""m7_us"":107492094,""m4_us"":104917873,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441172.075377,607826.312000,"{""t_ms"":106747,""hwm"":256,""cap"":256,""dropped"":164,""dropped_total"":14146,""crc_err"":0,""crc_err_total"":0,""rate1"":437,""rate2"":416,""prod1"":447,""prod2"":420,""sma_state"":0,""m7_us"":108578586,""m4_us"":106008199,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441173.401772,607827.625000,"{""t_ms"":107797,""hwm"":256,""cap"":256,""dropped"":165,""dropped_total"":14311,""crc_err"":0,""crc_err_total"":0,""rate1"":420,""rate2"":432,""prod1"":426,""prod2"":440,""sma_state"":0,""m7_us"":109665855,""m4_us"":107094529,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441174.728879,607828.953000,"{""t_ms"":108848,""hwm"":256,""cap"":256,""dropped"":167,""dropped_total"":14478,""crc_err"":0,""crc_err_total"":0,""rate1"":423,""rate2"":429,""prod1"":433,""prod2"":431,""sma_state"":0,""m7_us"":110754623,""m4_us"":108184903,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441176.025455,607830.250000,"{""t_ms"":109900,""hwm"":256,""cap"":256,""dropped"":167,""dropped_total"":14645,""crc_err"":0,""crc_err_total"":0,""rate1"":423,""rate2"":428,""prod1"":430,""prod2"":434,""sma_state"":0,""m7_us"":111843872,""m4_us"":109274277,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441177.354718,607831.578000,"{""t_ms"":110954,""hwm"":256,""cap"":256,""dropped"":169,""dropped_total"":14814,""crc_err"":0,""crc_err_total"":0,""rate1"":431,""rate2"":418,""prod1"":433,""prod2"":429,""sma_state"":0,""m7_us"":112935973,""m4_us"":110362696,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441178.663294,607832.890000,"{""t_ms"":112003,""hwm"":256,""cap"":256,""dropped"":164,""dropped_total"":14978,""crc_err"":0,""crc_err_total"":0,""rate1"":436,""rate2"":417,""prod1"":443,""prod2"":424,""sma_state"":0,""m7_us"":114022494,""m4_us"":111453160,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441179.926778,607834.156000,"{""t_ms"":113055,""hwm"":256,""cap"":256,""dropped"":168,""dropped_total"":15146,""crc_err"":0,""crc_err_total"":0,""rate1"":420,""rate2"":431,""prod1"":424,""prod2"":440,""sma_state"":0,""m7_us"":115112331,""m4_us"":112543573,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441181.067473,607835.296000,"{""t_ms"":114108,""hwm"":256,""cap"":256,""dropped"":168,""dropped_total"":15314,""crc_err"":0,""crc_err_total"":0,""rate1"":429,""rate2"":421,""prod1"":438,""prod2"":425,""sma_state"":0,""m7_us"":116202202,""m4_us"":113632996,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441182.298994,607836.531000,"{""t_ms"":115159,""hwm"":256,""cap"":256,""dropped"":166,""dropped_total"":15480,""crc_err"":0,""crc_err_total"":0,""rate1"":425,""rate2"":427,""prod1"":428,""prod2"":437,""sma_state"":0,""m7_us"":117291360,""m4_us"":114723444,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
