t_rel_s,displacement_um,force_N,sma_v,sma_i,sma_r,stage_mm
0,-4319.5564,-0.1498489,2.816841,0.673548,4.082095,79.999979
0.0099999905,-4318.834,-0.14925848,2.816841,0.673548,4.082095,79.999979
0.019999981,-4318.646,-0.14938688,2.816841,0.673548,4.082095,79.999979
0.029999971,-4321.4011,-0.14885809,2.816841,0.673548,4.082095,79.999979
0.039999962,-4319.5795,-0.14935689,2.816841,0.673548,4.082095,79.999979
0.049999952,-4320.7411,-0.14959491,2.816841,0.673548,4.082095,79.999979
0.059999943,-4321.067,-0.14866018,2.816841,0.673548,4.082095,79.999979
0.069999933,-4320.0353,-0.14791062,2.816841,0.673548,4.082095,79.999979
0.079999924,-4320.3499,-0.14936605,2.816841,0.673548,4.082095,79.999979
0.089999914,-4320.3859,-0.14828298,2.816841,0.673548,4.082095,79.999979
0.099999905,-4319.8626,-0.14857416,2.816841,0.673548,4.082095,79.999979
0.1099999,-4320.8476,-0.1490111,2.816841,0.673548,4.082095,79.999979
0.11999989,-4318.6366,-0.14782757,2.816841,0.673548,4.082095,79.999979
0.12999988,-4320.7828,-0.14954941,2.816841,0.673548,4.082095,79.999979
0.13999987,-4321.989,-0.14943813,2.816841,0.673548,4.082095,79.999979
0.14999986,-4318.7392,-0.14879772,2.816841,0.673548,4.082095,79.999979
0.15999985,-4321.6168,-0.14858089,2.816841,0.673548,4.082095,79.999979
0.16999984,-4321.0666,-0.14950549,2.816841,0.673548,4.082095,79.999979
0.17999983,-4319.3836,-0.14946629,2.816841,0.673548,4.082095,79.999979
0.18999982,-4319.8216,-0.14867585,2.816841,0.673548,4.082095,79.999979
0.19999981,-4320.7189,-0.14915821,2.816841,0.673548,4.082095,79.999979
0.2099998,-4318.9329,-0.14946977,2.816841,0.673548,4.082095,79.999979
0.21999979,-4320.5448,-0.14946238,2.816841,0.673548,4.082095,79.999979
0.22999978,-4320.9539,-0.14872645,2.816841,0.673548,4.082095,79.999979
0.23999977,-4320.6238,-0.14836039,2.816841,0.673548,4.082095,79.999979
0.24999976,-4319.2903,-0.14930848,2.816841,0.673548,4.082095,79.999979
0.25999975,-4320.9267,-0.14931436,2.816841,0.673548,4.082095,79.999979
0.26999974,-4321.6656,-0.14918454,2.816841,0.673548,4.082095,79.999979
0.27999973,-4320.6056,-0.14854705,2.816841,0.673548,4.082095,79.999979
0.28999972,-4319.1388,-0.14921908,2.816841,0.673548,4.082095,79.999979
0.29999971,-4320.9816,-0.14952227,2.816841,0.673548,4.082095,79.999979
0.3099997,-4321.5036,-0.14914389,2.816841,0.673548,4.082095,79.999979
0.31999969,-4319.7387,-0.14871591,2.816841,0.673548,4.082095,79.999979
0.32999969,-4320.7648,-0.14826806,2.816841,0.673548,4.082095,79.999979
0.33999968,-4319.4892,-0.1496874,2.816841,0.673548,4.082095,79.999979
0.34999967,-4321.7159,-0.14901706,2.816841,0.673548,4.082095,79.999979
0.35999966,-4320.9152,-0.1487132,2.816841,0.673548,4.082095,79.999979
0.36999965,-4319.223,-0.14857252,2.816841,0.673548,4.082095,79.999979
0.37999964,-4320.5988,-0.14913124,2.816841,0.673548,4.082095,79.999979
0.38999963,-4320.803,-0.1489425,2.816841,0.673548,4.082095,79.999979
0.39999962,-4319.1738,-0.14886339,2.816841,0.673548,4.082095,79.999979
0.40999961,-4322.0286,-0.14870816,2.816841,0.673548,4.082095,79.999979
0.4199996,-4319.3515,-0.14973209,2.816841,0.673548,4.082095,79.999979
0.42999959,-4321.3776,-0.14871655,2.816841,0.673548,4.082095,79.999979
0.43999958,-4318.8104,-0.14901444,2.816841,0.673548,4.082095,79.999979
0.44999957,-4320.2545,-0.14883444,2.816841,0.673548,4.082095,79.999979
0.45999956,-4321.172,-0.14867901,2.816841,0.673548,4.082095,79.999979
0.46999955,-4319.7762,-0.14928448,2.816841,0.673548,4.082095,79.999979
0.47999954,-4319.9065,-0.1494596,2.816841,0.673548,4.082095,79.999979
0.48999953,-4320.7112,-0.14984917,2.816841,0.673548,4.082095,79.999979
0.49999952,-4321.8489,-0.1493639,2.816841,0.673548,4.082095,79.999979
0.50999951,-4320.6753,-0.14993563,2.816841,0.673548,4.082095,79.999979
0.5199995,-4319.8996,-0.14820303,2.816841,0.673548,4.082095,79.999979
0.52999949,-4321.3085,-0.1488392,2.816841,0.673548,4.082095,79.999979
0.53999949,-4320.7407,-0.14882141,2.816841,0.673548,4.082095,79.999979
0.54999948,-4321.961,-0.14926111,2.816841,0.673548,4.082095,79.999979
0.55999947,-4319.2029,-0.14885317,2.816841,0.673548,4.082095,79.999979
0.56999946,-4320.445,-0.14762631,2.816841,0.673548,4.082095,79.999979
0.57999945,-4319.8095,-0.14909809,2.816841,0.673548,4.082095,79.999979
0.58999944,-4320.3853,-0.14883591,2.816841,0.673548,4.082095,79.999979
0.59999943,-4321.051,-0.14982087,2.816841,0.673548,4.082095,79.999979
0.60999942,-4320.9142,-0.14859448,2.816841,0.673548,4.082095,79.999979
0.61999941,-4321.7295,-0.14875233,2.816841,0.673548,4.082095,79.999979
0.6299994,-4319.6594,-0.14907986,2.816841,0.673548,4.082095,79.999979
0.63999939,-4319.6085,-0.14894378,2.816841,0.673548,4.082095,79.999979
0.64999938,-4320.3497,-0.14939285,2.816841,0.673548,4.082095,79.999979
