host_timestamp_s,monotonic_s,position_mm
1783440840.559692,607494.796000,79.999979
1783440840.580537,607494.812000,79.999979
1783440840.600870,607494.828000,79.999979
1783440840.621329,607494.859000,79.999979
1783440840.641563,607494.875000,79.999979
1783440840.661803,607494.890000,79.999979
1783440840.682865,607494.906000,79.999979
1783440840.703919,607494.937000,79.999979
1783440840.724165,607494.953000,79.999979
1783440840.746061,607494.984000,79.999979
1783440840.766681,607495.000000,79.999979
1783440840.787220,607495.015000,79.999979
1783440840.807512,607495.031000,79.999979
1783440840.828073,607495.062000,79.999979
1783440840.848320,607495.078000,79.999979
1783440840.870631,607495.093000,79.999979
1783440840.891014,607495.125000,79.999979
1783440840.911432,607495.140000,79.999979
1783440840.936274,607495.171000,79.999979
1783440840.956808,607495.187000,79.999979
1783440840.977257,607495.203000,79.999979
1783440840.998938,607495.234000,79.999979
1783440841.019922,607495.250000,79.999979
1783440841.040363,607495.265000,79.999979
1783440841.062045,607495.296000,79.999979
1783440841.082807,607495.312000,79.999979
1783440841.102941,607495.328000,79.999979
1783440841.127320,607495.359000,79.999979
1783440841.147920,607495.375000,79.999979
1783440841.168266,607495.406000,79.999979
1783440841.188777,607495.421000,79.999979
1783440841.209256,607495.437000,79.999979
1783440841.229828,607495.453000,79.999979
1783440841.251685,607495.484000,79.999979
1783440841.272279,607495.500000,79.999979
1783440841.292796,607495.531000,79.999979
1783440841.314386,607495.546000,79.999979
1783440841.334679,607495.562000,79.999979
1783440841.355153,607495.593000,79.999979
1783440841.375555,607495.609000,79.999979
1783440841.395632,607495.625000,79.999979
1783440841.415736,607495.640000,79.999979
1783440841.439235,607495.671000,79.999979
1783440841.460112,607495.687000,79.999979
1783440841.480367,607495.718000,79.999979
1783440841.503468,607495.734000,79.999979
1783440841.524391,607495.750000,79.999979
1783440841.544935,607495.781000,79.999979
1783440841.565736,607495.796000,79.999979
1783440841.585945,607495.812000,79.999979
1783440841.606038,607495.843000,79.999979
1783440841.627342,607495.859000,79.999979
1783440841.647539,607495.875000,79.999979
1783440841.667894,607495.906000,79.999979
1783440841.689883,607495.921000,79.999979
1783440841.710043,607495.937000,79.999979
1783440841.730267,607495.968000,79.999979
1783440841.750681,607495.984000,79.999979
1783440841.774549,607496.000000,79.999979
1783440841.796302,607496.031000,79.999979
