cycle,t_fire_s,R0_ref_ohm,R_pre_ohm,R_pre_norm,R_fire_ohm,dR_fire_ohm,dR_fire_pct,R_end_ohm,R_end_norm,F_pre_N,dF_peak_N,t_F_peak_s,dF_end_N,dDisp_peak_um,dDisp_in_fire_um,dDisp_at_Fpeak_um
1,0,4.41872,nan,nan,4.23887,nan,-4.07003,4.43186,1.00297,0.238271,0.0156786,1.09573,0.00694553,422.238,0.0815646,1.72163
2,3.21949,4.41872,4.40154,0.996113,4.21664,-0.184904,-4.57324,4.45222,1.00758,0.24469,0.012789,1.07877,nan,325.862,-25.9576,-44.898
3,6.43873,4.41872,4.43897,1.00458,4.22381,-0.21516,-4.41099,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,12.1687,4.41872,nan,nan,4.27065,nan,-3.35088,nan,nan,0.248546,-0.00323744,0.244278,nan,-68.4849,-27.4117,-50.6934
5,19.6643,4.41872,nan,nan,4.19781,nan,-4.99937,nan,nan,0.246791,-0.0020118,0.045268,nan,-25.4257,-20.0541,nan
6,27.5073,4.41872,nan,nan,4.21969,nan,-4.50412,nan,nan,0.246756,-0.00319692,0.194307,nan,-45.1209,-27.0804,-44.909
7,34.0328,4.41872,nan,nan,4.2202,nan,-4.49254,nan,nan,0.245487,0.00166884,-0.356794,nan,-22.9519,-17.963,nan
8,41.5711,4.41872,nan,nan,4.19935,nan,-4.96441,nan,nan,0.246266,-0.00253464,0.076151,nan,-41.0698,-29.5281,nan
9,48.8569,4.41872,nan,nan,4.23605,nan,-4.13396,nan,nan,0.245013,-0.00243407,0.072236,nan,22.135,-16.7694,nan
10,56.6605,4.41872,nan,nan,4.23322,nan,-4.19797,nan,nan,0.246207,-0.00192493,0.015742,nan,-16.6424,-9.39874,nan
