t_rel_s,displacement_um,force_N,sma_v,sma_i,sma_r,sma_power_W,stage_mm
0,-4939.0313,0.22691159,0.515056,0.113983,4.418716,0.058707628,79.999979
0.0099999905,-4938.8979,0.22691159,0.515056,0.113983,4.418716,0.058707628,79.999979
0.019999981,-4940.6632,0.22742568,0.515056,0.113983,4.418716,0.058707628,79.999979
0.029999971,-4941.1527,0.22694374,0.515056,0.113983,4.418716,0.058707628,79.999979
0.039999962,-4937.1299,0.22665811,0.515056,0.113983,4.418716,0.058707628,79.999979
0.049999952,-4939.6939,0.22662258,0.515056,0.113983,4.418716,0.058707628,79.999979
0.059999943,-4938.8032,0.22703519,0.515056,0.113983,4.418716,0.058707628,79.999979
0.069999933,-4940.7398,0.22807757,0.515056,0.113983,4.418716,0.058707628,79.999979
0.079999924,-4941.9683,0.22817726,0.515056,0.113983,4.418716,0.058707628,79.999979
0.089999914,-4941.9683,0.22817189,0.515056,0.113983,4.418716,0.058707628,79.999979
0.099999905,-4938.3161,0.22679703,0.515056,0.113983,4.418716,0.058707628,79.999979
0.1099999,-4939.8191,0.22696056,0.515056,0.113983,4.418716,0.058707628,79.999979
0.11999989,-4939.4632,0.22628409,0.515056,0.113983,4.418716,0.058707628,79.999979
0.12999988,-4940.7712,0.22743449,0.515056,0.113983,4.418716,0.058707628,79.999979
0.13999987,-4940.8784,0.22732598,0.515056,0.113983,4.418716,0.058707628,79.999979
0.14999986,-4940.9855,0.22721748,0.515056,0.113983,4.418716,0.058707628,79.999979
0.15999985,-4940.564,0.2260216,0.515056,0.113983,4.418716,0.058707628,79.999979
0.16999984,-4940.7944,0.22708687,0.515056,0.113983,4.418716,0.058707628,79.999979
0.17999983,-4940.7368,0.22630919,0.515056,0.113983,4.418716,0.058707628,79.999979
0.18999982,-4939.3319,0.22665752,0.515056,0.113983,4.418716,0.058707628,79.999979
0.19999981,-4937.9934,0.2271472,0.515056,0.113983,4.418716,0.058707628,79.999979
0.2099998,-4938.1304,0.2262783,0.515056,0.113983,4.418716,0.058707628,79.999979
0.21999979,-4940.1992,0.22723127,0.515056,0.113983,4.418716,0.058707628,79.999979
0.22999978,-4938.1416,0.22660492,0.515056,0.113983,4.418716,0.058707628,79.999979
0.23999977,-4936.6488,0.22681665,0.515056,0.113983,4.418716,0.058707628,79.999979
0.24999976,-4940.5761,0.22695539,0.515056,0.113983,4.418716,0.058707628,79.999979
0.25999975,-4939.6958,0.2263175,0.515056,0.113983,4.418716,0.058707628,79.999979
0.26999974,-4940.2336,0.2267584,0.515056,0.113983,4.418716,0.058707628,79.999979
0.27999973,-4940.7246,0.22728047,0.515056,0.113983,4.418716,0.058707628,79.999979
0.28999972,-4939.6408,0.22653663,0.515056,0.113983,4.418716,0.058707628,79.999979
0.29999971,-4940.5638,0.2272558,0.515056,0.113983,4.418716,0.058707628,79.999979
0.3099997,-4938.3828,0.2269716,0.515056,0.113983,4.418716,0.058707628,79.999979
0.31999969,-4937.8944,0.22696094,0.515056,0.113983,4.418716,0.058707628,79.999979
0.32999969,-4937.8507,0.22673514,0.515056,0.113983,4.418716,0.058707628,79.999979
0.33999968,-4938.3545,0.22650934,0.515056,0.113983,4.418716,0.058707628,79.999979
0.34999967,-4938.8583,0.22628353,0.515056,0.113983,4.418716,0.058707628,79.999979
0.35999966,-4939.3621,0.22605773,0.515056,0.113983,4.418716,0.058707628,79.999979
0.36999965,-4940.6071,0.22627594,0.515056,0.113983,4.418716,0.058707628,79.999979
0.37999964,-4940.6163,0.22725337,0.515056,0.113983,4.418716,0.058707628,79.999979
0.38999963,-4937.8742,0.22706177,0.515056,0.113983,4.418716,0.058707628,79.999979
0.39999962,-4938.6136,0.22679819,0.515056,0.113983,4.418716,0.058707628,79.999979
0.40999961,-4939.2564,0.2262375,0.515056,0.113983,4.418716,0.058707628,79.999979
0.4199996,-4939.3175,0.2265889,0.515056,0.113983,4.418716,0.058707628,79.999979
0.42999959,-4937.4584,0.2262338,0.515056,0.113983,4.418716,0.058707628,79.999979
0.43999958,-4937.4584,0.22630346,0.515056,0.113983,4.418716,0.058707628,79.999979
0.44999957,-4939.6362,0.22694821,0.515056,0.113983,4.418716,0.058707628,79.999979
0.45999956,-4940.8612,0.22691376,0.515056,0.113983,4.418716,0.058707628,79.999979
