level_mA,heat_ms,cycle,bootstrap,i_mA,dx_um,x_base_um,baseline_V,peak_V,rise_V,clipped
750,400,1,1,748.33,3570.26,-4374.68,1.75484,2.89437,1.13953,0
750,400,2,0,747.83,3718.16,-3884.06,1.90658,3.09705,1.19046,0
750,400,3,0,748.17,3712.23,-3807.36,1.92957,3.10588,1.17631,0
750,400,4,0,747.95,3759.72,-3881.67,1.90778,3.10515,1.19736,0
950,300,1,1,946.95,5477.67,-4304.29,1.77581,3.56085,1.78503,0
950,300,2,0,946.75,5855.26,-3904.27,1.89975,3.80175,1.90200,0
950,300,3,0,946.79,6168.30,-3761.07,1.94758,3.95383,2.00625,0
950,300,4,0,946.67,6214.35,-3606.88,1.99463,4.00248,2.00785,0
850,400,1,1,847.67,6358.94,-4321.96,1.76997,3.80534,2.03537,0
850,400,2,0,847.67,6833.70,-3607.32,1.99452,4.19002,2.19550,0
850,400,3,0,848.85,6901.94,-3617.42,1.99318,4.20317,2.20998,0
850,400,4,0,847.54,6769.51,-3707.79,1.96479,4.13584,2.17105,0
