file,level_mA,heat_ms,cycle,bootstrap,railed,i_mA,dx_um,x_base_um,F_base_mN,dF_mN,clipped
c00_level_150mA_h100ms,150,100,1,1,0,149.80,83.22,-4362.71,175.589,2.986,0
c00_level_150mA_h100ms,150,100,2,0,0,129.95,60.48,-4250.26,179.196,2.495,0
c00_level_150mA_h100ms,150,100,3,0,0,153.57,15.85,-4246.06,179.027,1.177,0
c00_level_150mA_h100ms,150,100,4,0,0,116.73,16.11,-4179.57,181.495,1.111,0
c00_level_150mA_h100ms,150,100,5,0,0,126.81,28.47,-4194.15,180.898,1.617,0
c00_level_150mA_h100ms,150,100,6,0,0,125.44,27.49,-4193.17,180.949,1.565,0
c00_level_150mA_h100ms,150,100,7,0,0,149.71,34.11,-4201.17,180.635,1.654,0
c00_level_150mA_h100ms,150,100,8,0,0,126.40,34.70,-4193.77,180.896,1.800,0
c00_level_150mA_h100ms,150,100,9,0,0,135.19,40.71,-4195.23,180.811,2.038,0
c00_level_150mA_h100ms,150,100,10,0,0,130.81,-14.82,-4150.46,182.242,0.766,0
c00_level_150mA_h100ms,150,100,11,0,0,120.12,-11.62,-4154.24,182.090,0.505,0
c00_level_150mA_h100ms,150,100,12,0,0,124.32,54.29,-4187.09,181.119,2.260,0
c00_level_150mA_h100ms,150,100,13,0,0,135.16,55.24,-4188.03,181.085,2.294,0
c00_level_150mA_h100ms,150,100,14,0,0,128.70,87.39,-4167.58,181.854,3.228,0
c00_level_150mA_h100ms,150,100,15,0,0,137.15,100.27,-4163.00,182.057,3.498,0
c00_level_150mA_h100ms,150,100,16,0,0,150.82,14.24,-4076.60,184.716,0.911,0
c00_level_150mA_h100ms,150,100,17,0,0,122.32,-12.96,-4079.92,184.525,0.561,0
c00_level_150mA_h100ms,150,100,18,0,0,135.50,-33.46,-4081.65,184.477,0.510,0
c00_level_150mA_h100ms,150,100,19,0,0,133.25,-48.95,-4103.91,183.583,0.849,0
c00_level_150mA_h100ms,150,100,20,0,0,116.57,34.24,-4179.79,181.365,1.841,0
c00_level_150mA_h100ms,150,100,21,0,0,128.78,35.68,-4181.23,181.308,1.898,0
c00_level_150mA_h100ms,150,100,22,0,0,135.60,37.51,-4183.07,181.210,1.996,0
c00_level_150mA_h100ms,150,100,23,0,0,153.98,-29.93,-4110.55,183.630,1.168,0
c00_level_150mA_h100ms,150,100,24,0,0,136.14,98.05,-4203.65,180.541,3.704,0
c00_level_150mA_h100ms,150,100,25,0,0,134.92,131.66,-4158.28,181.886,5.270,0
c00_level_150mA_h100ms,150,100,26,0,0,114.73,-23.43,-4196.66,180.698,0.495,0
c00_level_150mA_h100ms,150,100,27,0,0,144.62,108.00,-4222.31,179.943,3.937,0
c00_level_150mA_h100ms,150,100,28,0,0,126.26,95.91,-4161.01,182.013,3.315,0
c00_level_150mA_h100ms,150,100,29,0,0,135.86,126.18,-4165.96,181.867,4.385,0
c00_level_150mA_h100ms,150,100,30,0,0,119.91,22.31,-4217.12,180.015,1.402,0
c00_level_150mA_h100ms,150,100,31,0,0,124.69,22.50,-4216.27,180.074,1.343,0
c00_level_150mA_h100ms,150,100,32,0,0,124.59,51.49,-4171.97,181.722,2.025,0
c00_level_150mA_h100ms,150,100,33,0,0,131.84,99.72,-4173.21,181.664,3.641,0
c00_level_150mA_h100ms,150,100,34,0,0,125.96,19.80,-4093.30,184.105,1.200,0
c00_level_150mA_h100ms,150,100,35,0,0,125.65,8.80,-4082.29,184.551,0.754,0
c00_level_150mA_h100ms,150,100,36,0,0,121.99,6.91,-4080.40,184.623,0.682,0
c00_level_150mA_h100ms,150,100,37,0,0,124.66,4.07,-4077.56,184.681,0.589,0
c01_level_250mA_h100ms,250,100,1,1,0,255.86,99.98,-4349.23,176.114,3.762,0
c01_level_250mA_h100ms,250,100,2,0,0,152.39,91.04,-4125.11,183.108,3.677,0
c01_level_250mA_h100ms,250,100,3,0,0,150.91,86.17,-4120.25,183.275,3.510,0
c01_level_250mA_h100ms,250,100,4,0,0,149.87,39.56,-4073.63,184.850,1.935,0
c01_level_250mA_h100ms,250,100,5,0,0,294.67,76.67,-4190.80,181.043,2.935,0
c01_level_250mA_h100ms,250,100,6,0,0,151.07,60.87,-4161.21,181.837,2.563,0
c01_level_250mA_h100ms,250,100,7,0,0,145.15,42.47,-4142.82,182.546,1.855,0
c01_level_250mA_h100ms,250,100,8,0,0,148.48,31.03,-4248.96,179.052,1.719,0
c01_level_250mA_h100ms,250,100,9,0,0,250.86,49.05,-4181.59,181.453,1.748,0
c01_level_250mA_h100ms,250,100,10,0,0,247.69,45.99,-4299.26,177.432,2.274,0
c01_level_250mA_h100ms,250,100,11,0,0,148.13,69.60,-4213.91,180.377,2.885,0
c01_level_250mA_h100ms,250,100,12,0,0,146.14,59.68,-4103.19,183.862,2.507,0
c01_level_250mA_h100ms,250,100,13,0,0,258.30,42.01,-4070.30,184.800,1.932,0
c01_level_250mA_h100ms,250,100,14,0,0,152.62,-28.32,-4080.88,184.553,1.443,0
c01_level_250mA_h100ms,250,100,15,0,0,146.98,-32.51,-4077.70,184.638,1.358,0
c01_level_250mA_h100ms,250,100,16,0,0,262.66,41.99,-4241.40,179.237,1.988,0
c02_level_350mA_h100ms,350,100,1,1,0,112.13,330.65,-4358.07,175.796,11.094,0
c02_level_350mA_h100ms,350,100,2,0,0,110.06,88.45,-4203.12,180.717,2.989,0
c02_level_350mA_h100ms,350,100,3,0,0,109.14,57.80,-4232.44,179.569,2.635,0
c03_level_450mA_h100ms,450,100,1,1,0,112.14,290.33,-4352.66,175.945,9.445,0
c03_level_450mA_h100ms,450,100,2,0,0,110.91,202.96,-4206.64,180.526,6.841,0
c03_level_450mA_h100ms,450,100,3,0,0,112.01,157.64,-4194.16,180.858,5.517,0
c04_level_550mA_h100ms,550,100,1,1,0,115.58,870.18,-4369.54,175.298,28.095,0
c04_level_550mA_h100ms,550,100,2,0,0,113.30,302.91,-4161.37,181.960,10.392,0
c05_level_650mA_h100ms,650,100,1,1,0,641.53,370.33,-4346.19,176.107,12.097,0
c05_level_650mA_h100ms,650,100,2,0,0,649.16,374.03,-4212.45,180.193,12.734,0
c05_level_650mA_h100ms,650,100,3,0,0,648.54,361.17,-4195.03,180.760,12.269,0
c05_level_650mA_h100ms,650,100,4,0,0,643.79,357.67,-4206.97,180.290,12.220,0
c05_level_650mA_h100ms,650,100,5,0,0,643.16,376.69,-4098.93,183.740,12.761,0
c05_level_650mA_h100ms,650,100,6,0,0,643.82,374.14,-4169.78,181.633,12.393,0
c06_level_750mA_h100ms,750,100,1,1,0,742.38,491.56,-4358.13,175.671,16.390,0
c06_level_750mA_h100ms,750,100,2,0,0,743.99,551.52,-4107.55,183.614,18.105,0
c06_level_750mA_h100ms,750,100,3,0,0,740.91,512.74,-4184.55,181.134,16.968,0
c06_level_750mA_h100ms,750,100,4,0,0,741.18,520.65,-4178.94,181.411,17.798,0
c06_level_750mA_h100ms,750,100,5,0,0,743.21,538.05,-4071.49,184.780,17.321,0
c06_level_750mA_h100ms,750,100,6,0,0,742.44,511.72,-4189.40,181.027,16.992,0
c07_level_850mA_h100ms,850,100,1,1,0,841.26,653.12,-4358.75,175.641,21.390,0
c07_level_850mA_h100ms,850,100,2,0,0,840.81,705.45,-4154.64,182.034,23.291,0
c07_level_850mA_h100ms,850,100,3,0,0,840.22,705.65,-4115.83,183.263,22.845,0
c07_level_850mA_h100ms,850,100,4,0,0,1122.16,1680.68,-4085.47,184.265,55.947,0
c07_level_850mA_h100ms,850,100,5,0,0,840.04,700.26,-4084.14,184.189,23.108,0
c07_level_850mA_h100ms,850,100,6,0,0,844.87,669.13,-4105.97,183.166,22.667,0
c08_level_950mA_h100ms,950,100,1,1,0,938.88,862.33,-4335.44,176.570,28.223,0
c08_level_950mA_h100ms,950,100,2,0,0,941.28,931.80,-4098.46,183.459,30.947,0
c08_level_950mA_h100ms,950,100,3,0,0,937.36,911.25,-4155.61,181.783,30.828,0
c08_level_950mA_h100ms,950,100,4,0,0,938.74,905.34,-4123.31,182.808,30.216,0
c08_level_950mA_h100ms,950,100,5,0,0,935.70,882.80,-4146.97,182.015,29.113,0
c08_level_950mA_h100ms,950,100,6,0,0,939.78,878.73,-4193.40,180.646,29.071,0
c09_level_150mA_h200ms,150,200,1,1,0,151.90,90.03,-4358.27,175.889,3.017,0
c09_level_150mA_h200ms,150,200,2,0,0,134.41,127.18,-4226.27,179.721,4.596,0
c09_level_150mA_h200ms,150,200,3,0,0,130.10,62.75,-4156.38,182.078,2.338,0
c09_level_150mA_h200ms,150,200,4,0,0,127.37,46.65,-4140.29,182.600,1.816,0
c09_level_150mA_h200ms,150,200,5,0,0,126.97,44.99,-4138.17,182.655,1.793,0
c09_level_150mA_h200ms,150,200,6,0,0,151.53,-40.66,-4145.63,182.235,0.865,0
c09_level_150mA_h200ms,150,200,7,0,0,133.89,68.10,-4204.81,180.319,2.915,0
c09_level_150mA_h200ms,150,200,8,0,0,130.44,48.75,-4169.14,181.649,2.166,0
c09_level_150mA_h200ms,150,200,9,0,0,126.33,38.80,-4156.51,182.042,1.773,0
c09_level_150mA_h200ms,150,200,10,0,0,124.18,39.14,-4152.45,182.214,1.602,0
c09_level_150mA_h200ms,150,200,11,0,0,126.55,36.95,-4149.01,182.362,1.462,0
c09_level_150mA_h200ms,150,200,12,0,0,134.32,37.17,-4148.37,182.378,1.446,0
c09_level_150mA_h200ms,150,200,13,0,0,151.00,28.56,-4191.34,180.529,1.882,0
c09_level_150mA_h200ms,150,200,14,0,0,149.84,19.74,-4225.58,179.789,1.042,0
c09_level_150mA_h200ms,150,200,15,0,0,146.16,83.72,-4263.06,178.283,3.734,0
c09_level_150mA_h200ms,150,200,16,0,0,134.68,22.95,-4213.29,179.908,1.306,0
c09_level_150mA_h200ms,150,200,17,0,0,132.92,63.05,-4237.73,179.114,2.915,0
c09_level_150mA_h200ms,150,200,18,0,0,151.05,46.21,-4209.62,180.129,2.053,0
c09_level_150mA_h200ms,150,200,19,0,0,127.63,24.98,-4174.45,181.272,1.592,0
c09_level_150mA_h200ms,150,200,20,0,0,123.40,-8.91,-4153.47,182.018,0.863,0
c09_level_150mA_h200ms,150,200,21,0,0,150.34,15.94,-4161.30,181.703,1.066,0
c09_level_150mA_h200ms,150,200,22,0,0,132.40,-13.66,-4168.99,181.436,0.408,0
c09_level_150mA_h200ms,150,200,23,0,0,117.00,69.59,-4150.83,182.282,2.734,0
c09_level_150mA_h200ms,150,200,24,0,0,134.84,69.97,-4150.34,182.294,2.722,0
c09_level_150mA_h200ms,150,200,25,0,0,137.54,33.64,-4092.24,184.004,1.513,0
c10_level_250mA_h200ms,250,200,1,1,0,249.16,158.69,-4355.79,176.013,5.117,0
c10_level_250mA_h200ms,250,200,2,0,0,145.87,79.56,-4192.51,180.867,2.718,0
c10_level_250mA_h200ms,250,200,3,0,0,149.61,47.54,-4131.82,182.627,2.043,0
c10_level_250mA_h200ms,250,200,4,0,0,151.11,-30.72,-4079.73,184.465,0.941,0
c10_level_250mA_h200ms,250,200,5,0,0,149.41,62.83,-4143.90,182.310,2.744,0
c10_level_250mA_h200ms,250,200,6,0,0,145.57,58.72,-4139.79,182.455,2.599,0
c10_level_250mA_h200ms,250,200,7,0,0,153.86,46.86,-4127.92,182.890,2.165,0
c10_level_250mA_h200ms,250,200,8,0,0,149.07,28.52,-4109.58,183.499,1.556,0
c10_level_250mA_h200ms,250,200,9,0,0,248.15,76.50,-4202.61,180.191,3.288,0
c10_level_250mA_h200ms,250,200,10,0,0,255.93,82.85,-4225.17,179.497,3.200,0
c10_level_250mA_h200ms,250,200,11,0,0,247.83,83.72,-4116.35,183.049,3.268,0
c10_level_250mA_h200ms,250,200,12,0,0,148.98,-23.81,-4058.70,184.864,0.969,0
c10_level_250mA_h200ms,250,200,13,0,0,146.60,-24.46,-4058.05,184.941,0.891,0
c10_level_250mA_h200ms,250,200,14,0,0,153.23,43.10,-4147.38,182.222,1.835,0
c10_level_250mA_h200ms,250,200,15,0,0,150.20,29.32,-4133.60,182.702,1.354,0
c10_level_250mA_h200ms,250,200,16,0,0,248.17,73.74,-4192.07,180.524,3.022,0
c10_level_250mA_h200ms,250,200,17,0,0,251.33,96.98,-4175.90,181.228,3.622,0
c11_level_350mA_h200ms,350,200,1,1,0,356.16,203.93,-4378.40,175.210,6.790,0
c11_level_350mA_h200ms,350,200,2,0,0,339.48,200.70,-4375.18,175.334,6.666,0
c11_level_350mA_h200ms,350,200,3,0,0,348.93,191.76,-4366.24,175.639,6.361,0
c11_level_350mA_h200ms,350,200,4,0,0,379.05,205.39,-4165.33,181.751,6.474,0
c11_level_350mA_h200ms,350,200,5,0,0,346.85,204.35,-4164.28,181.791,6.434,0
c11_level_350mA_h200ms,350,200,6,0,0,348.28,198.79,-4158.72,181.981,6.245,0
c11_level_350mA_h200ms,350,200,7,0,0,352.29,178.44,-4208.18,180.126,6.322,0
c11_level_350mA_h200ms,350,200,8,0,0,346.51,178.24,-4207.98,180.169,6.279,0
c11_level_350mA_h200ms,350,200,9,0,0,660.87,2651.63,-1632.40,260.452,81.774,0
c11_level_350mA_h200ms,350,200,10,0,0,668.63,329.61,4698.11,456.452,37.054,1
c11_level_350mA_h200ms,350,200,11,0,1,664.89,-0.14,5027.67,493.506,0.000,1
