level_mA,heat_ms,cycle,bootstrap,cool_s,i_mA,u_V,R_ohm,cc_pct,v_hot_V,i_hot_mA,r_hot_ohm,p_hot_W,r_base_ohm,t_heat_start_s,t_heat_end_s,t_pulse_utc,dx_um,x_base_um,baseline_V,peak_V,rise_V,F_base_mN,dF_mN,clipped,railed,detect_ok,n_samples,sweep,run_type,i_low_mA,seeded
150,100,1,1,30.0,150.4375894736842,0.7072390210526315,4.701212134061399,100.3,0.679149,147.37349999999998,4.608352247860029,0.1000885651515,4.7825390986189955,30.282629,30.382629,2026-07-31T18:59:06.233417+00:00,83.28951878397129,-4362.622585809176,1.7570424973544976,1.787436,0.030393502645502446,172.2444573427101,2.9795024182972654,0,0,0,95,sweep_20260731_145838,map,100,1
150,100,2,0,30.0,154.00088043478257,0.6979532934782608,4.53213833263658,102.7,0.679881,153.49200000000002,4.429423031819248,0.10435629445200001,4.704062602502225,61.340948,61.440948,2026-07-31T18:59:37.269111+00:00,15.83601346091018,-4246.044516903102,1.7920107819148934,1.804054,0.012043218085106666,175.67242974939893,1.1806075077025229,0,0,0,92,sweep_20260731_145838,map,100,1
150,100,3,0,30.0,150.6508969072165,0.6920475567010309,4.593716804270021,100.4,0.65717,145.26500000000001,4.523939008019826,0.09546380005,4.701246906085089,92.397752,92.497752,2026-07-31T19:00:08.303290+00:00,34.106441476202235,-4201.166557896553,1.80844160106383,1.825321,0.016879398936169965,177.28315773820168,1.6547026690641993,0,0,0,97,sweep_20260731_145838,map,100,1
150,100,4,0,30.0,152.17084375000002,0.6974869479166665,4.583578106871518,101.4,0.671255,144.25099999999998,4.653381952291492,0.096829205005,4.696707121936613,123.455123,123.555123,2026-07-31T19:00:39.338037+00:00,14.23904884677495,-4076.5996016217837,1.8500732486772489,1.859373,0.00929975132275107,181.36434562196263,0.9116629918862038,0,0,0,96,sweep_20260731_145838,map,100,1
150,100,5,0,30.0,154.67169791666666,0.7068399583333335,4.569937279114642,103.1,0.688963,149.593,4.6055831489441355,0.10306404205899998,4.684007203710097,154.514124,154.614124,2026-07-31T19:01:10.374412+00:00,-29.978242935973867,-4110.500691455652,1.8389802169312168,1.850915,0.011934783068783261,180.27688573624124,1.169977525461516,0,0,0,96,sweep_20260731_145838,map,100,1
150,100,6,0,30.0,207.29427835051544,0.962495175257732,4.6431343060527785,138.2,0.927759,201.23000000000002,4.610440789146747,0.18669294357000002,4.6995059733722755,185.569749,185.669749,2026-07-31T19:01:41.407413+00:00,81.41811986396715,-4195.731705410054,1.811581423280423,1.841545,0.029963576719576945,177.59095733591428,2.9373563928481956,0,0,0,97,sweep_20260731_145838,map,100,1
250,100,1,1,30.0,258.8351086956522,1.150809706521739,4.446111318982246,103.5,1.1749895000000001,260.04949999999997,4.518330164064919,0.30555543198025004,4.705927991986015,246.189026,246.289026,2026-07-31T19:02:42.442167+00:00,99.80447320566691,-4349.0569311243025,1.762418015873016,1.800698,0.03827998412698386,172.77142426101287,3.752621295709955,0,0,1,92,sweep_20260731_145838,map,100,1
250,100,2,0,30.0,296.97508421052635,1.3445053263157896,4.527333765692837,118.8,1.156262,256.43550000000005,4.508977891126618,0.29650662410100004,4.728133927657476,277.241484,277.341484,2026-07-31T19:03:13.472010+00:00,76.65877238722805,-4190.78754318523,1.8125989999999998,1.842546,0.029947000000000168,177.69071129754695,2.9357313621091423,0,0,1,95,sweep_20260731_145838,map,100,1
250,100,3,0,30.0,252.92473958333335,1.133206,4.480407894723294,101.2,1.104397,250.05299999999997,4.416651669845994,0.27615778304099997,4.69527068197797,308.298345,308.398345,2026-07-31T19:03:44.506254+00:00,49.030338672629114,-4181.5763008883605,1.8167573085106385,1.834619,0.017861691489361453,178.09835402329603,1.7509976921105979,0,0,1,96,sweep_20260731_145838,map,100,1
250,100,4,0,30.0,249.93385263157896,1.1170418842105265,4.4693500798274375,100.0,1.0684770000000001,238.137,4.486816412401265,0.254443907349,4.715760721627229,339.354584,339.454584,2026-07-31T19:04:15.539875+00:00,46.47728679106967,-4299.385862552229,1.7757900158730158,1.79897,0.023179984126984188,174.0822934557276,2.2723547058062312,0,0,1,95,sweep_20260731_145838,map,100,1
