cycle,t_fire_s,R0_ref_ohm,R_pre_ohm,R_pre_norm,R_fire_ohm,dR_fire_ohm,dR_fire_pct,R_end_ohm,R_end_norm,F_pre_N,dF_peak_N,t_F_peak_s,dF_end_N,dDisp_peak_um,dDisp_in_fire_um,dDisp_at_Fpeak_um
1,0,4.28346,4.32884,1.01059,4.20218,-0.126664,-1.89772,4.42257,1.03247,0.241212,0.0527762,0.124785,0.0290499,1396.62,417.115,1304.83
2,3.21747,4.28346,4.38046,1.02264,4.04889,-0.331567,-5.47618,4.23917,0.989658,0.269381,0.147578,0.125922,0.0811507,4152.71,744.609,3981.62
3,6.43433,4.28346,4.2743,0.997861,3.92397,-0.350328,-8.39249,4.14599,0.967907,0.347755,0.14575,0.097234,0.133078,5501.13,1214.79,5342.21
4,9.65144,4.28346,4.1628,0.97183,3.88234,-0.280453,-9.36437,4.09946,0.957043,0.47847,-0.154278,0.124967,0.0150362,2002.57,739.783,1993.8
5,12.8684,4.28346,4.11521,0.96072,3.88333,-0.231875,-9.34126,4.07453,0.951224,0.493506,-0.1817,0.122493,-5.55112e-17,600.353,319.442,571.952
6,16.0853,4.28346,4.05842,0.947462,3.87359,-0.18483,-9.56876,4.01056,0.936288,0.493506,-0.186564,0.121991,-0.0354692,-69.4265,-12.2818,-56.8959
7,19.3022,4.28346,4.0204,0.938587,3.86902,-0.151385,-9.67551,4.08413,0.953463,0.48898,-0.182523,0.121528,-0.168718,-68.7435,-17.7677,-58.1809
8,22.5192,4.28346,3.99144,0.931825,3.86725,-0.124185,-9.71673,4.01212,0.936654,0.324767,-0.0229966,0.122999,-0.0126106,-71.9993,-22.7245,-64.5441
9,25.7392,4.28346,4.01983,0.938452,3.86611,-0.153712,-9.74326,4.02467,0.939582,0.312626,-0.0122073,0.137784,-0.00309966,-60.9583,-21.2882,-55.1494
10,28.9532,4.28346,4.0474,0.944889,3.86064,-0.186761,-9.87119,4.02978,0.940777,0.309761,-0.0109233,0.123992,-0.00343741,-56.4194,-19.904,-51.3685
