[M7] Firmware_SMASensorHub_PIO ��� ring-buffer bridge + SMA controller
[M7] sensor TSV: t_ms\t[src\t]raw\tV\thw_us\tseq   (src=1 laser, 2 load)
[M7] [STATUS] line once/sec; SMA I/O tagged [SMA]
[M7] ring build-id: slot=32B cap=256 base=0x3800D000
[SMA] I2C scan...
[SMA]   0x60
[SMA] 1 I2C device(s)
[SMA] MCP4728 OK. Model: V_LDO = 0.310 + (5.500/4095)*code  range 0.310 - 5.810 V
[SMA] cmds: arm | disarm | idle <V> | set <V> | code <N> |
[SMA]       drive <V> <ms> | fire <V> [ms] |
[SMA]       cycle <v_high> <v_idle> <t_high_ms> <t_idle_ms> <n>  (n=0 cont) |
[SMA]       ping (heartbeat) | stop | wdt <ms> (0=off) | abort |
[SMA]       step <code>[ms] | sweep|csv [step] | read | info |
[SMA]       gain|shunt|ioffset|vdd|offset|aref <x> | reset
[M4 cp 0] RPC up
[M4 cp 1] Serial.begin done
[M4] *** Firmware_SMASensorHub_PIO ��� dual-ADC production stream ***
[M4]   ADC1 ��� AIN4/AIN5 (Keyence IL-030 laser)
[M4]   ADC2 ��� AIN2/AIN3 (LCA-9PC load cell)
[M4] ring build-id: slot=32B cap=256 base=0x3800D000
[M4] sampling: timed poll (ADC1 laser; ADC2 if enabled)
[M4] waiting 3000 ms for ADS1263 to power up...
[STATUS] t_ms=4546 hwm=0 cap=256 dropped=0 dropped_total=0 crc_err=0 crc_err_total=0 rate1=0 rate2=0 prod1=0 prod2=0 sma_state=0 m7_us=2764238 m4_us=0 vdd=5.500 offset=0.3100 aref=3.145 loop_us_avg=0 loop_us_max=0 loop_hz=0 cycle_log_ms=1 settle_us=50
[SMA] ARMED (MOSFET on); idle=0.500 V
4701	3	2003	3.103153	2923224	31
4701	4	0	0.153051	2923224	31
4701	5	0	20.175301	2923224	31
4702	3	2003	3.080982	2924255	32
4702	4	0	0.150867	2924255	32
4702	5	0	20.321793	2924255	32
4703	3	2003	3.084221	2925266	33
4703	4	0	0.147016	2925266	33
4703	5	0	20.878782	2925266	33
4704	3	2003	3.109895	2926326	34
4704	4	0	0.137946	2926326	34
4704	5	0	22.444267	2926326	34
4705	3	2003	3.184472	2927359	35
4705	4	0	0.126009	2927359	35
4705	5	0	25.171829	2927359	35
4706	3	2003	3.123117	2928413	36
4706	4	0	0.142805	2928413	36
4706	5	0	21.769779	2928413	36
4707	3	2003	3.102289	2929430	37
4707	4	0	0.133795	2929430	37
4707	5	0	23.086872	2929430	37
4708	3	2003	3.092187	2930471	38
4708	4	0	0.168492	2930471	38
4708	5	0	18.252180	2930471	38
4709	3	2003	3.112775	2931505	39
4709	4	0	0.180273	2931505	39
4709	5	0	17.167004	2931505	39
4710	3	2003	3.163836	2932562	40
4710	4	0	0.139734	2932562	40
4710	5	0	22.541882	2932562	40
[RATE] n=4 readSma_us=221 emit_us=61 dt_us=1057
4711	3	2003	3.102337	2933602	41
4711	4	0	0.135247	2933602	41
4711	5	0	22.838348	2933602	41
4712	3	2003	3.129187	2934613	42
4712	4	0	0.175222	2934613	42
4712	5	0	17.758406	2934613	42
4713	3	2003	3.108672	2935649	43
4713	4	0	0.146992	2935649	43
4713	5	0	21.048550	2935649	43
4714	3	2003	3.116134	2936702	44
4714	4	0	0.134455	2936702	44
4714	5	0	23.076054	2936702	44
4715	3	2003	3.177537	2937754	45
4715	4	0	0.131432	2937754	45
4715	5	0	24.076357	2937754	45
4716	3	2003	3.119421	2938748	46
