t_s,dt_s,volts,disp_um,raw_code,seq,n_held
0.246297,0.002022,4.725804,-4463.78622,2029717553,8654,1
0.248313,0.002016,4.726599,-4465.38326,2030058925,8655,1
0.250336,0.002023,4.726522,-4465.22858,2030025939,8656,2
0.254368,0.004032,4.725742,-4463.66167,2029690826,8658,1
0.25639,0.002022,4.72624,-4464.66208,2029904788,8659,1
0.258406,0.002016,4.727451,-4467.09481,2030424702,8660,1
0.260428,0.002022,4.727128,-4466.44595,2030285835,8661,2
0.264467,0.004039,4.72753,-4467.25351,2030458652,8663,1
0.266483,0.002016,4.727168,-4466.5263,2030303069,8664,1
0.268505,0.002022,4.72576,-4463.69783,2029698488,8665,1
0.270521,0.002016,4.725492,-4463.15946,2029583250,8666,2
0.27456,0.004039,4.726346,-4464.87502,2029950065,8668,1
0.276576,0.002016,4.725717,-4463.61145,2029679743,8669,1
0.278598,0.002022,4.726046,-4464.27236,2029821169,8670,1
0.280614,0.002016,4.725855,-4463.88867,2029739429,8671,1
0.282636,0.002022,4.724695,-4461.5584,2029241030,8672,2
0.286675,0.004039,4.724656,-4461.48005,2029224496,8674,1
0.288691,0.002016,4.726159,-4464.49936,2029869835,8675,1
0.290707,0.002016,4.726064,-4464.30852,2029828856,8676,1
0.292729,0.002022,4.72681,-4465.80713,2030149246,8677,2
0.296768,0.004039,4.727267,-4466.72518,2030345872,8679,1
0.298784,0.002016,4.72653,-4465.24465,2030029017,8680,1
0.300806,0.002022,4.726544,-4465.27277,2030035517,8681,1
0.302822,0.002016,4.72765,-4467.49457,2030510193,8682,2
0.30686,0.004038,4.72733,-4466.85174,2030372730,8684,1
0.308883,0.002023,4.727651,-4467.49658,2030510647,8685,1
0.310899,0.002016,4.727555,-4467.30373,2030469647,8686,1
0.312921,0.002022,4.726067,-4464.31455,2029830438,8687,2
0.316953,0.004032,4.725366,-4462.90634,2029529127,8689,1
0.318976,0.002023,4.726269,-4464.72034,2029916929,8690,1
0.320992,0.002016,4.725861,-4463.90073,2029741712,8691,1
0.323014,0.002022,4.726046,-4464.27236,2029821244,8692,1
0.32503,0.002016,4.726357,-4464.89712,2029954608,8693,2
0.329068,0.004038,4.72536,-4462.89429,2029526954,8695,1
0.331091,0.002023,4.725052,-4462.27556,2029394486,8696,1
0.333107,0.002016,4.726333,-4464.84891,2029944526,8697,1
0.335123,0.002016,4.726689,-4465.56406,2030097393,8698,2
0.339161,0.004038,4.727301,-4466.79348,2030360130,8700,1
0.341184,0.002023,4.728109,-4468.41663,2030707338,8701,1
0.3432,0.002016,4.727245,-4466.68098,2030336524,8702,1
0.345222,0.002022,4.726468,-4465.1201,2030002728,8703,2
0.34926,0.004038,4.727071,-4466.33144,2030261687,8705,1
0.351276,0.002016,4.726971,-4466.13056,2030218580,8706,1
0.353292,0.002016,4.726752,-4465.69062,2030124650,8707,1
0.355315,0.002023,4.726745,-4465.67655,2030121396,8708,2
0.359353,0.004038,4.725428,-4463.03089,2029555989,8710,1
0.361369,0.002016,4.724286,-4460.73678,2029065469,8711,1
0.363392,0.002023,4.725046,-4462.26351,2029391588,8712,1
0.365408,0.002016,4.725517,-4463.20968,2029593947,8713,1
0.367424,0.002016,4.725602,-4463.38043,2029630719,8714,2
0.371462,0.004038,4.7267,-4465.58616,2030102289,8716,1
0.373484,0.002022,4.726236,-4464.65405,2029903127,8717,1
0.3755,0.002016,4.725772,-4463.72194,2029703858,8718,1
0.377523,0.002023,4.726654,-4465.49375,2030082589,8719,2
0.381561,0.004038,4.727417,-4467.02651,2030409977,8721,1
0.383577,0.002016,4.727183,-4466.55643,2030309560,8722,1
0.3856,0.002023,4.727929,-4468.05504,2030629860,8723,1
0.387616,0.002016,4.727219,-4466.62875,2030324996,8724,2
0.391654,0.004038,4.725948,-4464.0755,2029779393,8726,1
0.39367,0.002016,4.726105,-4464.39089,2029846697,8727,1
0.395692,0.002022,4.726495,-4465.17434,2030014072,8728,1
0.397708,0.002016,4.725771,-4463.71993,2029703214,8729,2
0.401747,0.004039,4.72632,-4464.82279,2029939056,8731,1
0.403763,0.002016,4.725488,-4463.15142,2029581662,8732,1
0.405785,0.002022,4.724516,-4461.19881,2029164113,8733,1
0.407801,0.002016,4.724874,-4461.91798,2029318032,8734,1
0.409824,0.002023,4.725868,-4463.91479,2029744973,8735,2
0.413862,0.004038,4.725662,-4463.50096,2029656443,8737,1
0.415878,0.002016,4.726748,-4465.68258,2030122566,8738,1
0.417894,0.002016,4.726828,-4465.84329,2030157083,8739,1
0.421932,0.004038,4.726003,-4464.18598,2029802675,8741,1
0.423955,0.002023,4.726292,-4464.76654,2029927063,8742,1
0.425971,0.002016,4.727392,-4466.97628,2030399552,8743,1
0.427993,0.002022,4.72663,-4465.44554,2030072013,8744,1
0.430009,0.002016,4.727074,-4466.33747,2030262938,8745,2
0.434048,0.004039,4.726655,-4465.49576,2030082788,8747,1
0.436064,0.002016,4.725168,-4462.50859,2029444195,8748,1
0.438086,0.002022,4.724868,-4461.90593,2029315263,8749,1
0.440102,0.002016,4.72584,-4463.85854,2029732798,8750,2
0.44414,0.004038,4.725236,-4462.64519,2029473651,8752,1
0.446156,0.002016,4.725729,-4463.63556,2029685303,8753,1
0.448179,0.002023,4.725767,-4463.71189,2029701242,8754,1
0.450195,0.002016,4.724663,-4461.49412,2029227147,8755,2
0.454233,0.004038,4.72457,-4461.30729,2029187347,8757,1
0.456256,0.002023,4.725957,-4464.09358,2029783144,8758,1
0.458272,0.002016,4.725738,-4463.65364,2029688963,8759,1
0.460288,0.002016,4.726678,-4465.54196,2030092986,8760,1
0.46231,0.002022,4.727248,-4466.68701,2030337484,8761,2
0.466348,0.004038,4.726286,-4464.75449,2029924652,8763,1
0.468364,0.002016,4.725909,-4463.99715,2029762616,8764,1
0.470387,0.002023,4.727004,-4466.19685,2030232723,8765,1
0.472403,0.002016,4.726358,-4464.89913,2029955192,8766,2
0.476441,0.004038,4.726363,-4464.90917,2029957542,8768,1
0.478457,0.002016,4.72642,-4465.02368,2029981830,8769,1
0.48048,0.002023,4.724931,-4462.03249,2029342200,8770,1
0.482496,0.002016,4.724186,-4460.53589,2029022353,8771,2
0.486534,0.004038,4.725072,-4462.31574,2029403147,8773,1
0.48855,0.002016,4.724793,-4461.75527,2029282757,8774,1
0.490572,0.002022,4.725148,-4462.46841,2029435650,8775,1
0.492588,0.002016,4.725756,-4463.6898,2029696760,8776,2
0.496627,0.004039,4.724719,-4461.60661,2029251138,8778,1
0.498643,0.002016,4.724393,-4460.95173,2029111430,8779,1
0.500665,0.002022,4.725581,-4463.33825,2029621650,8780,1
0.502681,0.002016,4.725733,-4463.64359,2029686962,8781,1
0.504704,0.002023,4.726073,-4464.3266,2029833042,8782,2
0.508742,0.004038,4.726851,-4465.88949,2030166815,8784,1
0.510758,0.002016,4.726053,-4464.28643,2029824377,8785,1
0.512774,0.002016,4.72557,-4463.31615,2029616966,8786,1
0.514796,0.002022,4.726206,-4464.59378,2029890130,8787,2
0.518835,0.004039,4.726229,-4464.63998,2029899806,8789,1
0.520851,0.002016,4.725997,-4464.17393,2029800011,8790,1
0.522867,0.002016,4.725988,-4464.15585,2029796526,8791,1
0.524889,0.002022,4.724626,-4461.41979,2029211544,8792,2
0.528928,0.004039,4.723421,-4458.99912,2028694080,8794,1
0.530944,0.002016,4.724065,-4460.29282,2028970327,8795,1
0.53296,0.002016,4.724622,-4461.41175,2029209698,8796,1
0.534982,0.002022,4.724733,-4461.63474,2029257347,8797,2
0.53902,0.004038,4.725495,-4463.16548,2029584923,8799,1
0.541036,0.002016,4.72527,-4462.71349,2029487947,8800,1
0.543052,0.002016,4.724796,-4461.76129,2029284440,8801,1
0.545075,0.002023,4.725735,-4463.64761,2029687650,8802,1
0.547091,0.002016,4.726784,-4465.7549,2030138234,8803,1
1.251452,0.704361,4.727319,-4466.82964,2030368028,8804,1
1.253475,0.002023,4.72709,-4466.36961,2030269858,8805,2
1.257507,0.004032,4.725514,-4463.20365,2029592921,8807,1
1.259529,0.002022,4.725044,-4462.25949,2029391000,8808,1
1.261545,0.002016,4.725807,-4463.79225,2029718552,8809,1
1.263561,0.002016,4.725089,-4462.34989,2029410194,8810,1
1.265577,0.002016,4.725422,-4463.01884,2029553138,8811,2
1.269616,0.004039,4.725403,-4462.98067,2029545332,8813,1
1.271632,0.002016,4.724233,-4460.63031,2029042481,8814,1
1.273654,0.002022,4.723907,-4459.97542,2028902371,8815,1
1.27567,0.002016,4.725109,-4462.39007,2029418857,8816,2
1.279708,0.004038,4.724735,-4461.63875,2029258390,8818,1
1.281724,0.002016,4.725342,-4462.85813,2029518897,8819,1
1.28374,0.002016,4.725772,-4463.72194,2029703768,8820,1
1.285756,0.002016,4.724876,-4461.922,2029318829,8821,2
1.289795,0.004039,4.724603,-4461.37359,2029201682,8823,1
1.291811,0.002016,4.725875,-4463.92885,2029747927,8824,1
1.293833,0.002022,4.725681,-4463.53913,2029664493,8825,1
1.295849,0.002016,4.725847,-4463.8726,2029735719,8826,2
1.299888,0.004039,4.725638,-4463.45275,2029646071,8828,1
1.301904,0.002016,4.72382,-4459.80065,2028865432,8829,1
1.30392,0.002016,4.722728,-4457.60698,2028396200,8830,1
1.305936,0.002016,4.723031,-4458.21566,2028526307,8831,2
1.309974,0.004038,4.722555,-4457.25945,2028321763,8833,1
1.31199,0.002016,4.722615,-4457.37998,2028347574,8834,1
1.314012,0.002022,4.723158,-4458.47079,2028581050,8835,1
1.316028,0.002016,4.722305,-4456.75723,2028214843,8836,1
1.318044,0.002016,4.722094,-4456.33337,2028123796,8837,2
1.322083,0.004039,4.723367,-4458.89064,2028670650,8839,1
1.324099,0.002016,4.723869,-4459.89908,2028886402,8840,1
1.326115,0.002016,4.724223,-4460.61022,2029038178,8841,1
1.328137,0.002022,4.724754,-4461.67692,2029266314,8842,2
1.332169,0.004032,4.72365,-4459.45915,2028792154,8844,1
1.334192,0.002023,4.722631,-4457.41212,2028354540,8845,1
1.336208,0.002016,4.723023,-4458.19959,2028523174,8846,1
1.338224,0.002016,4.723183,-4458.52101,2028591551,8847,2
1.342262,0.004038,4.722688,-4457.52663,2028378993,8849,1
1.344278,0.002016,4.72273,-4457.611,2028397098,8850,1
1.346301,0.002023,4.72162,-4455.38117,2027920186,8851,1
1.348317,0.002016,4.720423,-4452.97657,2027406101,8852,2
1.352349,0.004032,4.720947,-4454.02921,2027631347,8854,1
1.354371,0.002022,4.721473,-4455.08587,2027857322,8855,1
1.356387,0.002016,4.721444,-4455.02761,2027844745,8856,1
1.358403,0.002016,4.722207,-4456.56037,2028172239,8857,1
1.360425,0.002022,4.721848,-4455.83919,2028018064,8858,2
1.364457,0.004032,4.721226,-4454.58968,2027750953,8860,1
1.36648,0.002023,4.721956,-4456.05614,2028064746,8861,1
1.368496,0.002016,4.722815,-4457.78175,2028433348,8862,1
1.370512,0.002016,4.722619,-4457.38801,2028349287,8863,2
1.37455,0.004038,4.723226,-4458.60739,2028610192,8865,1
1.376566,0.002016,4.72229,-4456.7271,2028207863,8866,1
1.378582,0.002016,4.720568,-4453.26785,2027468395,8867,1
1.380604,0.002022,4.720167,-4452.4623,2027296240,8868,2
1.384636,0.004032,4.720337,-4452.80381,2027369339,8870,1
1.386652,0.002016,4.719373,-4450.86727,2026955269,8871,1
1.388675,0.002023,4.719552,-4451.22685,2027031896,8872,1
