t_s,src,stream,value,raw_code,seq
-1.999318,3,sma_v,0.422045,0,4289300
-1.999318,4,sma_i,0.130922,0,4289300
-1.999076,2,load,1.982212,3325600,2420620
-1.998329,3,sma_v,0.672815,0,4289301
-1.998329,4,sma_i,0.068511,0,4289301
-1.998072,1,laser,4.314127,1852903674,2420629
-1.997322,3,sma_v,0.557375,0,4289302
-1.997322,4,sma_i,0.131252,0,4289302
-1.997066,2,load,1.986587,3332940,2420621
-1.996333,3,sma_v,0.442056,0,4289303
-1.996333,4,sma_i,0.102344,0,4289303
-1.996053,1,laser,4.3136,1852677011,2420630
-1.995326,3,sma_v,0.646996,0,4289304
-1.995326,4,sma_i,0.111672,0,4289304
-1.995047,2,load,1.985174,3330570,2420622
-1.994317,3,sma_v,0.441553,0,4289305
-1.994317,4,sma_i,0.104342,0,4289305
-1.994043,1,laser,4.314343,1852996346,2420631
-1.993333,3,sma_v,0.63723,0,4289306
-1.993333,4,sma_i,0.130232,0,4289306
-1.993031,2,load,1.980281,3322360,2420623
-1.992327,3,sma_v,0.507634,0,4289307
-1.992327,4,sma_i,0.151671,0,4289307
-1.992024,1,laser,4.314007,1852851728,2420632
-1.991317,4,sma_i,0.075272,0,4289308
-1.991317,3,sma_v,0.485127,0,4289308
-1.991018,2,load,1.980376,3322520,2420624
-1.990334,4,sma_i,0.114485,0,4289309
-1.990334,3,sma_v,0.474233,0,4289309
-1.990011,1,laser,4.314007,1852851728,2420633
-1.989329,4,sma_i,0.121174,0,4289310
-1.989329,3,sma_v,0.508138,0,4289310
-1.988996,2,load,1.980376,3322520,2420625
-1.988318,3,sma_v,0.499812,0,4289311
-1.988318,4,sma_i,0.107245,0,4289311
-1.987989,1,laser,4.312601,1852247923,2420634
-1.987311,3,sma_v,0.667968,0,4289312
-1.987311,4,sma_i,0.101108,0,4289312
-1.986983,2,load,1.980466,3322670,2420626
-1.98633,3,sma_v,0.508186,0,4289313
-1.98633,4,sma_i,0.07346,0,4289313
-1.985976,1,laser,4.312559,1852230136,2420635
-1.985321,4,sma_i,0.080749,0,4289314
-1.985321,3,sma_v,0.532253,0,4289314
-1.98497,2,load,1.979113,3320400,2420627
-1.984331,4,sma_i,0.109471,0,4289315
-1.984331,3,sma_v,0.513225,0,4289315
-1.983963,1,laser,4.313802,1852763887,2420636
-1.983322,3,sma_v,0.481096,0,4289316
-1.983322,4,sma_i,0.105289,0,4289316
-1.982957,2,load,1.981032,3323620,2420628
-1.982334,4,sma_i,0.105553,0,4289317
-1.982334,3,sma_v,0.577267,0,4289317
-1.981944,1,laser,4.313553,1852656730,2420637
-1.981327,3,sma_v,0.481144,0,4289318
-1.981327,4,sma_i,0.146836,0,4289318
-1.980938,2,load,1.983255,3327350,2420629
-1.980319,3,sma_v,0.587705,0,4289319
-1.980319,4,sma_i,0.106903,0,4289319
-1.979931,1,laser,4.313553,1852656730,2420638
-1.979332,3,sma_v,0.607909,0,4289320
-1.979332,4,sma_i,0.110892,0,4289320
-1.978925,2,load,1.983255,3327350,2420630
-1.978322,3,sma_v,0.602942,0,4289321
-1.978322,4,sma_i,0.090119,0,4289321
-1.977912,1,laser,4.314556,1853087460,2420639
-1.977334,3,sma_v,0.475217,0,4289322
-1.977334,4,sma_i,0.082518,0,4289322
-1.976906,2,load,1.983756,3328190,2420631
-1.976323,4,sma_i,0.105067,0,4289323
-1.976323,3,sma_v,0.509818,0,4289323
-1.975902,1,laser,4.314694,1853146862,2420640
-1.975334,4,sma_i,0.171119,0,4289324
-1.975334,3,sma_v,0.490238,0,4289324
-1.974887,2,load,1.982659,3326350,2420632
-1.974323,4,sma_i,0.106345,0,4289325
-1.974323,3,sma_v,0.627056,0,4289325
-1.97388,1,laser,4.31342,1852599908,2420641
-1.973334,3,sma_v,0.607021,0,4289326
-1.973334,4,sma_i,0.099879,0,4289326
-1.972874,2,load,1.985258,3330710,2420633
-1.972335,3,sma_v,0.416022,0,4289327
-1.972335,4,sma_i,0.1043,0,4289327
-1.97187,1,laser,4.313503,1852635525,2420642
-1.971328,3,sma_v,0.486087,0,4289328
-1.971328,4,sma_i,0.106135,0,4289328
-1.970858,2,load,1.986212,3332310,2420634
-1.970324,4,sma_i,0.106531,0,4289329
-1.970324,3,sma_v,0.493669,0,4289329
-1.969854,1,laser,4.314872,1853223605,2420643
-1.969337,3,sma_v,0.603949,0,4289330
-1.969337,4,sma_i,0.10457,0,4289330
-1.968842,2,load,1.986212,3332310,2420635
-1.968329,3,sma_v,0.514065,0,4289331
-1.968329,4,sma_i,0.15959,0,4289331
-1.967835,1,laser,4.314872,1853223605,2420644
-1.967324,3,sma_v,0.474713,0,4289332
-1.967324,4,sma_i,0.073544,0,4289332
-1.966829,2,load,1.985252,3330700,2420636
-1.966336,3,sma_v,0.480664,0,4289333
-1.966336,4,sma_i,0.098487,0,4289333
-1.965816,1,laser,4.314583,1853099241,2420645
-1.965329,4,sma_i,0.05574,0,4289334
-1.965329,3,sma_v,0.489422,0,4289334
-1.96481,2,load,1.98195,3325160,2420637
-1.964325,3,sma_v,0.604069,0,4289335
-1.964325,4,sma_i,0.092212,0,4289335
-1.963803,1,laser,4.315518,1853500767,2420646
-1.963323,3,sma_v,0.507322,0,4289336
-1.963323,4,sma_i,0.102758,0,4289336
-1.962797,2,load,1.984775,3329900,2420638
-1.962335,3,sma_v,0.578659,0,4289337
-1.962335,4,sma_i,0.098991,0,4289337
-1.96179,1,laser,4.315789,1853617152,2420647
-1.961333,4,sma_i,0.104342,0,4289338
-1.961333,3,sma_v,0.447887,0,4289338
-1.960781,2,load,1.985192,3330600,2420639
-1.960331,3,sma_v,0.518864,0,4289339
-1.960331,4,sma_i,0.108223,0,4289339
-1.959774,1,laser,4.314248,1852955560,2420648
-1.959326,4,sma_i,0.078559,0,4289340
-1.959326,3,sma_v,0.445776,0,4289340
-1.958765,2,load,1.985192,3330600,2420640
-1.958319,3,sma_v,0.633175,0,4289341
-1.958319,4,sma_i,0.111468,0,4289341
-1.957758,1,laser,4.314248,1852955560,2420649
-1.957322,3,sma_v,0.515793,0,4289342
-1.957322,4,sma_i,0.147778,0,4289342
-1.956749,2,load,1.98136,3324170,2420641
