t_s,laser,load,sma_v,sma_i,cc_u,cc_r_est,laser_mm,force_mN,power_W,sma_r,phase
-1.999918,4.47696,1.878393,0.476009,0.114006,1.10474,4.485193,-3.96389447,184.140556,0.0542678821,4.17529779,pre
-1.999915,4.47696,1.878393,0.4374855,0.0962375,1.10474,4.485193,-3.96389447,184.140556,0.0421025108,4.54589427,pre
-1.998938,4.47696,1.87872225,0.398962,0.078469,1.10474,4.485193,-3.96389447,184.172833,0.0313061492,5.08432629,pre
-1.998908,4.47696,1.8790515,0.417666,0.0776025,1.10474,4.485193,-3.96389447,184.20511,0.0324119258,5.38212042,pre
-1.997937,4.477067,1.87938075,0.43637,0.076736,1.10474,4.485193,-3.96410942,184.237386,0.0334852883,5.68663991,pre
-1.997899,4.477174,1.87971,0.416526,0.0739345,1.10474,4.485193,-3.96432436,184.269663,0.0307956415,5.63371633,pre
-1.99693,4.477281,1.87899775,0.396682,0.071133,1.10474,4.485193,-3.96453931,184.199841,0.0282171807,5.57662407,pre
-1.996892,4.477388,1.8782855,0.4270595,0.079552,1.10474,4.485193,-3.96475426,184.130018,0.0339734373,5.36830627,pre
-1.995916,4.47753675,1.87757325,0.457437,0.087971,1.10474,4.485193,-3.96505308,184.060196,0.0402411903,5.19986132,pre
-1.995883,4.4776855,1.876861,0.4697465,0.1095635,1.10474,4.485193,-3.96535189,183.990373,0.0514670707,4.28743605,pre
-1.994933,4.47783425,1.87735875,0.482056,0.131156,1.10474,4.485193,-3.96565071,184.039168,0.0632245367,3.67543993,pre
-1.994876,4.477983,1.8778565,0.495481,0.099549,1.10474,4.485193,-3.96594953,184.087963,0.0493246381,4.97725743,pre
-1.993923,4.477983,1.87835425,0.508906,0.067942,1.10474,4.485193,-3.96594953,184.136758,0.0345760915,7.49030055,pre
-1.993867,4.477983,1.878852,0.5024155,0.07089,1.10474,4.485193,-3.96594953,184.185553,0.0356162348,7.0872549,pre
-1.992938,4.477983,1.878852,0.495925,0.073838,1.10474,4.485193,-3.96594953,184.185553,0.0366181102,6.71639264,pre
-1.99286,4.477983,1.878852,0.5896005,0.092848,1.10474,4.485193,-3.96594953,184.185553,0.0547432272,6.35016909,pre
-1.991927,4.477884,1.878852,0.683276,0.111858,1.10474,4.485193,-3.96575065,184.185553,0.0764298868,6.10842318,pre
-1.991851,4.477785,1.878852,0.680229,0.089531,1.10474,4.485193,-3.96555178,184.185553,0.0609015826,7.59769242,pre
-1.990941,4.477686,1.878676,0.677182,0.067204,1.10474,4.485193,-3.9653529,184.168299,0.0455093391,10.0765133,pre
-1.99085,4.477587,1.8785,0.643181,0.080737,1.10474,4.485193,-3.96515402,184.151046,0.0519285044,7.9663723,pre
-1.989931,4.47776125,1.878324,0.60918,0.09427,1.10474,4.485193,-3.96550407,184.133792,0.0574273986,6.46207701,pre
-1.989841,4.4779355,1.878148,0.559763,0.1101725,1.10474,4.485193,-3.96585411,184.116539,0.0616704891,5.08078695,pre
-1.988945,4.47810975,1.8780275,0.510346,0.126075,1.10474,4.485193,-3.96620415,184.104726,0.0643418719,4.04795558,pre
-1.988834,4.478284,1.877907,0.505403,0.11762,1.10474,4.485193,-3.96655419,184.092913,0.0594455009,4.29691379,pre
-1.987938,4.478112,1.8777865,0.50046,0.109165,1.10474,4.485193,-3.96620867,184.081101,0.0546327159,4.5844364,pre
-1.987825,4.47794,1.877666,0.5023315,0.1241135,1.10474,4.485193,-3.96586315,184.069288,0.0623461206,4.04735585,pre
-1.986928,4.477768,1.8777835,0.504203,0.139062,1.10474,4.485193,-3.96551762,184.080806,0.0701154776,3.62574247,pre
-1.986818,4.477596,1.877901,0.4916655,0.144251,1.10474,4.485193,-3.9651721,184.092325,0.07092324,3.40840271,pre
-1.985944,4.47726975,1.8780185,0.479128,0.14944,1.10474,4.485193,-3.96451671,184.103844,0.0716008883,3.20615632,pre
-1.985809,4.4769435,1.878136,0.4457635,0.148684,1.10474,4.485193,-3.96386132,184.115362,0.0662779002,2.99805964,pre
-1.984938,4.47661725,1.877482,0.412399,0.147928,1.10474,4.485193,-3.96320593,184.05125,0.0610053593,2.78783597,pre
-1.984802,4.476291,1.876828,0.449615,0.1240925,1.10474,4.485193,-3.96255054,183.987138,0.0557938494,3.62322461,pre
-1.983925,4.476291,1.876174,0.486831,0.100257,1.10474,4.485193,-3.96255054,183.923026,0.0488082156,4.85583052,pre
-1.983793,4.476291,1.87552,0.510514,0.0920685,1.10474,4.485193,-3.96255054,183.858914,0.0470022582,5.54493665,pre
-1.982942,4.476291,1.87552,0.534197,0.08388,1.10474,4.485193,-3.96255054,183.858914,0.0448084444,6.36858608,pre
-1.982786,4.476291,1.87552,0.524083,0.0818465,1.10474,4.485193,-3.96255054,183.858914,0.0428943593,6.40324266,pre
-1.981936,4.4763545,1.87552,0.513969,0.079813,1.10474,4.485193,-3.96267811,183.858914,0.0410214078,6.43966522,pre
