t_s,dt_s,v_sma_V,i_A,r_ohm,p_W,dac_code,seq
0.078278,0.000998,0.682292,0.142475,4.78885418,0.0972095527,76,75
0.079287,0.001009,0.571221,0.146255,3.90565109,0.0835439274,81,76
0.080261,0.000974,0.661729,0.117587,5.62756937,0.0778107279,81,77
0.081268,0.001007,0.571412,0.129314,4.41879456,0.0738915714,81,78
0.082276,0.001008,0.533885,0.145271,3.67509689,0.0775580078,86,79
0.083279,0.001003,0.724499,0.128924,5.61958208,0.0934053091,86,80
0.084278,0.000999,0.618682,0.164899,3.75188449,0.102020043,82,81
0.085274,0.000996,0.708543,0.130286,5.43836636,0.0923132333,82,82
0.086272,0.000998,0.678477,0.123124,5.51051785,0.0835368021,82,83
0.08727,0.000998,0.605701,0.128438,4.71590184,0.077795025,82,84
0.088269,0.000999,0.601886,0.125121,4.8104315,0.0753085782,82,85
0.089269,0.001,0.73808,0.13001,5.67710176,0.0959577808,82,86
0.09027,0.001001,0.544202,0.126225,4.31136463,0.0686918974,82,87
0.091271,0.001001,0.643733,0.121948,5.27874996,0.0785019519,82,88
0.092269,0.000998,0.566014,0.117731,4.80768871,0.0666373942,82,89
0.093269,0.001,0.596799,0.135643,4.39977736,0.0809516068,82,90
0.09427,0.001001,0.609684,0.127287,4.78983714,0.0776048473,82,91
0.095274,0.001004,0.596055,0.130094,4.58172552,0.0775431792,82,92
0.096278,0.001004,0.591352,0.132032,4.47885361,0.0780773873,82,93
0.097262,0.000984,0.604141,0.159212,3.7945695,0.0961864969,80,94
0.098269,0.001007,0.600566,0.112716,5.32813443,0.0676933973,80,95
0.099277,0.001008,0.630272,0.152907,4.12193032,0.0963730007,82,96
0.100262,0.000985,0.617842,0.147364,4.19262506,0.0910476685,86,97
0.101273,0.001011,0.589409,0.154827,3.80688769,0.0912564272,87,98
0.102278,0.001005,0.608556,0.115931,5.24929484,0.0705505056,87,99
0.103266,0.000988,0.569325,0.136471,4.17176543,0.0776963521,97,100
0.104275,0.001009,0.535468,0.126555,4.231109,0.0677661527,97,101
0.10526,0.000985,0.74991,0.133513,5.61675642,0.100122734,97,102
0.106271,0.001011,0.576859,0.134995,4.2731879,0.0778730807,97,103
0.107278,0.001007,0.567021,0.161905,3.50218338,0.091803535,94,104
0.108277,0.000999,0.527838,0.151383,3.48677196,0.0799057,96,105
0.109285,0.001008,0.631016,0.134653,4.68623796,0.0849681974,96,106
0.110269,0.000984,0.680637,0.13265,5.13107426,0.090286498,96,107
0.11127,0.001001,0.569493,0.131774,4.32174025,0.0750443706,96,108
0.112276,0.001006,0.518936,0.123268,4.20981926,0.0639682028,96,109
0.113285,0.001009,0.605437,0.117659,5.14569221,0.071235112,96,110
0.114264,0.000979,0.628136,0.125175,5.01806271,0.0786269238,96,111
0.115272,0.001008,0.615179,0.157292,3.9110635,0.0967627353,96,112
0.116275,0.001003,0.601214,0.13118,4.58312243,0.0788672525,96,113
0.117277,0.001002,0.5753,0.163105,3.52717575,0.0938343065,93,114
0.118279,0.001002,0.617578,0.122992,5.02128594,0.0759571534,93,115
0.119259,0.00098,0.573284,0.118637,4.83225301,0.0680126939,93,116
0.120266,0.001007,0.602534,0.14782,4.07613313,0.0890665759,97,117
0.121269,0.001003,0.553392,0.113088,4.8934635,0.0625819945,97,118
0.12227,0.001001,0.562126,0.134491,4.17965514,0.0756008879,97,119
0.123271,0.001001,0.717061,0.130502,5.4946361,0.0935778946,97,120
0.124272,0.001001,0.567261,0.136009,4.17076076,0.0771526013,97,121
0.125277,0.001005,0.555312,0.146836,3.78185186,0.0815397928,102,122
0.126284,0.001007,0.61002,0.13157,4.63646728,0.0802603314,102,123
0.12729,0.001006,0.777792,0.135979,5.71994205,0.105763378,102,124
0.128299,0.001009,0.609612,0.136609,4.46245855,0.0832784857,112,125
0.129266,0.000967,0.641405,0.156482,4.09890594,0.100368337,112,126
0.130282,0.001016,0.640134,0.119218,5.36944086,0.0763154952,112,127
0.131258,0.000976,0.742903,0.123016,6.03907622,0.0913889554,112,128
0.132284,0.001026,0.589385,0.119374,4.9372979,0.070357245,112,129
0.133259,0.000975,0.772489,0.132799,5.81697904,0.102585767,112,130
0.134273,0.001014,0.655538,0.161149,4.06789989,0.105639293,110,131
0.135283,0.00101,0.682652,0.136849,4.98835943,0.0934202435,120,132
0.136267,0.000984,0.669887,0.130478,5.13409924,0.087405516,120,133
0.137274,0.001007,0.568437,0.132997,4.27405881,0.0756004157,120,134
0.138284,0.00101,0.736065,0.137934,5.33635652,0.10152839,130,135
0.139264,0.00098,0.724379,0.166116,4.36068169,0.120330942,126,136
0.140276,0.001012,0.659233,0.170147,3.87449088,0.112166517,119,137
0.141283,0.001007,0.66696,0.134899,4.9441434,0.089972237,119,138
0.142263,0.00098,0.791949,0.139632,5.67168701,0.110581423,128,139
0.143274,0.001011,0.713366,0.137131,5.20207685,0.0978245929,138,140
0.144283,0.001009,0.649636,0.126315,5.14298381,0.0820587713,138,141
0.14526,0.000977,0.590704,0.131126,4.50485792,0.0774566527,138,142
0.14626,0.001,0.644045,0.134749,4.7795902,0.0867844197,138,143
0.147264,0.001004,0.560831,0.146555,3.82676128,0.0821925872,144,144
0.148269,0.001005,0.673222,0.143681,4.68553253,0.0967292102,152,145
0.149272,0.001003,0.640278,0.148648,4.30734352,0.0951760441,156,146
0.150276,0.001004,0.751566,0.148858,5.0488788,0.111876612,161,147
0.151277,0.001001,0.809873,0.144461,5.60617052,0.116995063,169,148
0.15228,0.001003,0.638862,0.172205,3.70989228,0.110015231,161,149
0.153261,0.000981,0.837035,0.139038,6.02018873,0.116379672,171,150
0.154264,0.001003,0.71363,0.187598,3.80403842,0.133875561,171,151
0.155267,0.001003,0.710031,0.183309,3.87341047,0.130155073,171,152
0.156276,0.001009,0.723228,0.140424,5.15031619,0.101558569,181,153
0.157262,0.000986,0.73057,0.178228,4.09907534,0.13020803,181,154
0.158276,0.001014,0.726299,0.153921,4.71864788,0.111792668,183,155
0.159267,0.000991,0.730858,0.147676,4.94906417,0.107930186,189,156
0.160278,0.001011,0.739952,0.159014,4.65337643,0.117662727,189,157
0.161267,0.000989,0.738632,0.140118,5.27149974,0.103495639,199,158
0.162279,0.001012,0.759844,0.163717,4.64120403,0.12439938,196,159
0.163272,0.000993,0.687067,0.144029,4.77033792,0.0989575729,204,160
0.164283,0.001011,0.724163,0.145505,4.97689426,0.105369337,211,161
0.165275,0.000992,0.76066,0.156134,4.87184085,0.118764888,213,162
0.166266,0.000991,0.686947,0.165954,4.139382,0.114001602,209,163
0.167277,0.001011,0.798595,0.165798,4.81667451,0.132405454,205,164
0.168267,0.00099,0.706263,0.160412,4.40280652,0.11329306,204,165
0.169277,0.00101,0.811457,0.147196,5.51276529,0.119443225,210,166
0.17028,0.001003,0.760084,0.147274,5.1610196,0.111940611,216,167
0.171286,0.001006,0.767522,0.192043,3.99661534,0.147397227,216,168
0.172275,0.000989,0.700529,0.153411,4.56635443,0.107468854,219,169
0.173279,0.001004,0.753581,0.178294,4.22662008,0.134358971,219,170
0.174293,0.001014,0.845097,0.167484,5.04583721,0.141540226,214,171
0.175279,0.000986,0.746143,0.154551,4.82781088,0.115317147,216,172
0.17629,0.001011,0.89028,0.164131,5.42420384,0.146122547,213,173
0.177263,0.000973,0.763347,0.215672,3.53938852,0.164632574,213,174
0.178266,0.001003,0.702304,0.190669,3.68336751,0.133907601,213,175
0.179265,0.000999,0.76721,0.190735,4.02238708,0.146333799,213,176
0.180272,0.001007,0.774888,0.163411,4.7419574,0.126625223,210,177
0.181277,0.001005,0.761355,0.152409,4.99547271,0.116037354,213,178
0.182279,0.001002,0.756628,0.161329,4.68996895,0.122066039,211,179
0.183277,0.000998,0.76901,0.182919,4.20410127,0.14066654,211,180
0.184279,0.001002,0.677877,0.164569,4.11910506,0.11155754,207,181
0.185281,0.001002,0.783119,0.182571,4.28939426,0.142974819,207,182
0.186263,0.000982,0.810953,0.163129,4.97123749,0.132289952,204,183
0.187268,0.001005,0.872739,0.162289,5.37768425,0.14163594,201,184
0.188278,0.00101,0.906116,0.162775,5.56667793,0.147493032,198,185
0.189262,0.000984,0.75135,0.150046,5.00746438,0.112737062,202,186
0.190272,0.00101,0.842458,0.145799,5.77821521,0.122829534,209,187
0.191261,0.000989,0.750318,0.170597,4.39818989,0.128002,201,188
0.192272,0.001011,0.772177,0.160022,4.82544275,0.123565308,200,189
0.193278,0.001006,0.72234,0.164737,4.3848073,0.118996125,195,190
0.194264,0.000986,0.706119,0.178258,3.96121913,0.125871361,195,191
0.195272,0.001008,0.728603,0.170639,4.26985039,0.124328087,187,192
0.196261,0.000989,0.726203,0.160316,4.52982235,0.11642196,185,193
0.197271,0.00101,0.846177,0.156308,5.4135233,0.132264235,185,194
0.198277,0.001006,0.851888,0.158132,5.38719551,0.134710753,184,195
0.199263,0.000986,0.652155,0.155637,4.19023111,0.101499448,184,196
0.20027,0.001007,0.715501,0.156722,4.56541519,0.112134748,184,197
0.201274,0.001004,0.82487,0.147034,5.61006298,0.121283936,190,198
0.202282,0.001008,0.76589,0.154041,4.97198798,0.117978461,191,199
0.203287,0.001005,0.74012,0.161227,4.59054625,0.119327327,188,200
0.204267,0.00098,0.875571,0.162205,5.39792855,0.142021994,185,201
0.205276,0.001009,0.75063,0.174658,4.29771325,0.131103535,185,202
0.206281,0.001005,0.74216,0.146057,5.08130387,0.108397663,191,203
0.207286,0.001005,0.816927,0.186284,4.38538468,0.152180429,191,204
0.208261,0.000975,0.736209,0.191131,3.85185553,0.140712362,191,205
0.209262,0.001001,0.755333,0.189775,3.98015018,0.14334332,191,206
0.210264,0.001002,0.700409,0.157628,4.4434301,0.11040407,191,207
0.21127,0.001006,0.706431,0.161251,4.38094027,0.113912705,188,208
0.212273,0.001003,0.655778,0.159908,4.10097056,0.104864148,185,209
0.213275,0.001002,0.741632,0.148606,4.99059257,0.110210965,190,210
0.214278,0.001003,0.75874,0.152331,4.98086404,0.115579623,192,211
