t_s,laser,load,sma_v,sma_i,cc_u,cc_r_est,laser_mm,force_mN,power_W,sma_r,phase
-1.999936,4.496016,1.867765,0.522655,0.108433,2.405823,4.353696,-4.00217523,183.098684,0.0566730496,4.82007322,pre
-1.999019,4.496016,1.867765,0.48166,0.107881,2.405823,4.353696,-4.00217523,183.098684,0.0519619625,4.46473429,pre
-1.998928,4.496016,1.8671585,0.440665,0.107329,2.405823,4.353696,-4.00217523,183.039228,0.0472961338,4.10574029,pre
-1.998012,4.496016,1.866552,0.4794285,0.106549,2.405823,4.353696,-4.00217523,182.979772,0.0510826272,4.49960582,pre
-1.997946,4.49624325,1.8659455,0.518192,0.105769,2.405823,4.353696,-4.00263174,182.920317,0.0548086496,4.89928051,pre
-1.997003,4.4964705,1.865339,0.5241425,0.133381,2.405823,4.353696,-4.00308825,182.860861,0.0699106508,3.9296639,pre
-1.996936,4.49669775,1.865339,0.530093,0.160993,2.405823,4.353696,-4.00354477,182.860861,0.0853412623,3.29264626,pre
-1.995996,4.496925,1.865339,0.6020175,0.161302,2.405823,4.353696,-4.00400128,182.860861,0.0971066268,3.73223829,pre
-1.995926,4.496925,1.865339,0.673942,0.161611,2.405823,4.353696,-4.00400128,182.860861,0.108916441,4.17014931,pre
-1.994987,4.496925,1.865339,0.5654255,0.147862,2.405823,4.353696,-4.00400128,182.860861,0.0836049453,3.8240082,pre
-1.99494,4.496925,1.86600375,0.456909,0.134113,2.405823,4.353696,-4.00400128,182.926027,0.0612774367,3.40689568,pre
-1.99398,4.496925,1.8666685,0.4792845,0.1143415,2.405823,4.353696,-4.00400128,182.991193,0.0548021087,4.1916933,pre
-1.993929,4.496909,1.86733325,0.50166,0.09457,2.405823,4.353696,-4.00396914,183.056359,0.0474419862,5.30464206,pre
-1.992971,4.496893,1.867998,0.504395,0.1142695,2.405823,4.353696,-4.00393699,183.121525,0.0576369645,4.4140825,pre
-1.992942,4.496877,1.86878025,0.50713,0.133969,2.405823,4.353696,-4.00390485,183.19821,0.067939699,3.78542797,pre
-1.991964,4.496861,1.8695625,0.4503825,0.120469,2.405823,4.353696,-4.00387271,183.274894,0.0542571294,3.7385759,pre
-1.991935,4.496525,1.87034475,0.393635,0.106969,2.405823,4.353696,-4.00319774,183.351579,0.0421067423,3.67989791,pre
-1.990955,4.496189,1.871127,0.443472,0.111192,2.405823,4.353696,-4.00252276,183.428264,0.0493105386,3.98834449,pre
-1.990927,4.495853,1.87131325,0.493309,0.115415,2.405823,4.353696,-4.00184778,183.446522,0.0569352582,4.27421912,pre
-1.989954,4.495517,1.8714995,0.493009,0.124203,2.405823,4.353696,-4.00117281,183.46478,0.0612331968,3.96938077,pre
-1.989938,4.4955264,1.87168575,0.492709,0.132991,2.405823,4.353696,-4.00119169,183.483039,0.0655258626,3.70482965,pre
-1.988945,4.4955358,1.871872,0.499248,0.10112,2.405823,4.353696,-4.00121058,183.501297,0.0504839578,4.93718354,pre
-1.988928,4.4955452,1.8716324,0.505787,0.069249,2.405823,4.353696,-4.00122946,183.477809,0.035025244,7.30388886,pre
-1.987943,4.4955546,1.8713928,0.503315,0.12265,2.405823,4.353696,-4.00124834,183.45432,0.0617315847,4.10366898,pre
-1.987938,4.495564,1.8711532,0.5050185,0.122581,2.405823,4.353696,-4.00126723,183.430832,0.0619056727,4.11987584,pre
-1.986933,4.495843,1.8709136,0.506722,0.122512,2.405823,4.353696,-4.0018277,183.407344,0.0620795257,4.13610095,pre
-1.986929,4.496122,1.870674,0.559907,0.1046895,2.405823,4.353696,-4.00238817,183.383856,0.0586163839,5.3482632,pre
-1.985925,4.496401,1.870674,0.613092,0.086867,2.405823,4.353696,-4.00294864,183.383856,0.0532574628,7.05782403,pre
-1.985922,4.49668,1.870674,0.6510155,0.0936485,2.405823,4.353696,-4.00350911,183.383856,0.0609666251,6.9516917,pre
-1.984915,4.49668,1.870674,0.688939,0.10043,2.405823,4.353696,-4.00350911,183.383856,0.0691901438,6.85989246,pre
-1.984913,4.49668,1.870674,0.592624,0.105739,2.405823,4.353696,-4.00350911,183.383856,0.0626634691,5.60459244,pre
-1.983941,4.49668,1.8709645,0.496309,0.111048,2.405823,4.353696,-4.00350911,183.412334,0.0551141218,4.46931957,pre
-1.983906,4.49668,1.871255,0.4989845,0.107539,2.405823,4.353696,-4.00350911,183.440812,0.0536602941,4.64003292,pre
-1.982933,4.496578,1.8715455,0.50166,0.10403,2.405823,4.353696,-4.00330421,183.46929,0.0521876898,4.82226281,pre
-1.982897,4.496476,1.871836,0.499644,0.0958595,2.405823,4.353696,-4.0030993,183.497768,0.047895624,5.21225335,pre
-1.981923,4.496374,1.8713295,0.497628,0.087689,2.405823,4.353696,-4.0028944,183.448115,0.0436365017,5.67491932,pre
-1.98189,4.496272,1.870823,0.572264,0.1094615,2.405823,4.353696,-4.0026895,183.398462,0.0626408758,5.2279934,pre
-1.980946,4.49645375,1.8703165,0.6469,0.131234,2.405823,4.353696,-4.0030546,183.34881,0.0848952746,4.92936282,pre
-1.980881,4.4966355,1.86981,0.558623,0.11708,2.405823,4.353696,-4.00341971,183.299157,0.0654035808,4.77129313,pre
-1.979939,4.49681725,1.87004825,0.470346,0.102926,2.405823,4.353696,-4.00378482,183.322513,0.0484108324,4.56974914,pre
-1.979874,4.496999,1.8702865,0.462368,0.102764,2.405823,4.353696,-4.00414993,183.345869,0.0475147852,4.49931883,pre
-1.978932,4.496981,1.87052475,0.45439,0.102602,2.405823,4.353696,-4.00411377,183.369225,0.0466213228,4.42866611,pre
-1.978865,4.496963,1.870763,0.5672375,0.103544,2.405823,4.353696,-4.00407761,183.392581,0.0587340397,5.47822665,pre
-1.977926,4.496945,1.87075275,0.680085,0.104486,2.405823,4.353696,-4.00404146,183.391576,0.0710593613,6.50886243,pre
-1.977858,4.496927,1.8707425,0.646984,0.099225,2.405823,4.353696,-4.0040053,183.390571,0.0641969874,6.52037289,pre
-1.976945,4.496594,1.87073225,0.613883,0.093964,2.405823,4.353696,-4.00333635,183.389566,0.0576829022,6.53317228,pre
-1.976849,4.496261,1.870722,0.583362,0.097431,2.405823,4.353696,-4.0026674,183.388561,0.056837543,5.98743726,pre
-1.975936,4.495928,1.870111,0.552841,0.100898,2.405823,4.353696,-4.00199845,183.328664,0.0557805512,5.47920672,pre
-1.975842,4.495595,1.8695,0.575816,0.1031895,2.405823,4.353696,-4.0013295,183.268768,0.0594181651,5.58018015,pre
-1.974928,4.495595,1.868889,0.598791,0.105481,2.405823,4.353696,-4.0013295,183.208871,0.0631610735,5.67676643,pre
-1.974833,4.495595,1.868278,0.5400995,0.1052085,2.405823,4.353696,-4.0013295,183.148974,0.0568230582,5.13361088,pre
-1.97394,4.495595,1.868278,0.481408,0.104936,2.405823,4.353696,-4.0013295,183.148974,0.0505170299,4.58763437,pre
-1.973826,4.495595,1.868278,0.5204235,0.1057275,2.405823,4.353696,-4.0013295,183.148974,0.0550230756,4.92230971,pre
-1.972926,4.4956075,1.868278,0.559439,0.106519,2.405823,4.353696,-4.00135461,183.148974,0.0595908828,5.25201138,pre
-1.972817,4.49562,1.868278,0.6255925,0.101621,2.405823,4.353696,-4.00137972,183.148974,0.0635733354,6.15613407,pre
-1.971942,4.4956325,1.86898725,0.691746,0.096723,2.405823,4.353696,-4.00140483,183.218502,0.0669077484,7.15182532,pre
-1.97181,4.495645,1.8696965,0.594855,0.0995755,2.405823,4.353696,-4.00142994,183.288031,0.0592329841,5.97390924,pre
-1.970934,4.49595325,1.87040575,0.497964,0.102428,2.405823,4.353696,-4.00204917,183.357559,0.0510054566,4.86160034,pre
-1.970801,4.4962615,1.871115,0.5159365,0.102716,2.405823,4.353696,-4.0026684,183.427087,0.0529949335,5.0229419,pre
-1.969927,4.49656975,1.87148,0.533909,0.103004,2.405823,4.353696,-4.00328763,183.462869,0.0549947626,5.18338123,pre
-1.969794,4.496878,1.871845,0.5556,0.1058475,2.405823,4.353696,-4.00390686,183.49865,0.058808871,5.24906115,pre
-1.96894,4.49676975,1.87221,0.577291,0.108691,2.405823,4.353696,-4.0036894,183.534431,0.0627463361,5.31130452,pre
-1.968785,4.4966615,1.872575,0.5293015,0.108238,2.405823,4.353696,-4.00347194,183.570213,0.0572905358,4.89016334,pre
-1.967933,4.49655325,1.87156775,0.481312,0.107785,2.405823,4.353696,-4.00325449,183.471471,0.0518782139,4.46548221,pre
-1.967778,4.496445,1.8705605,0.522415,0.1048305,2.405823,4.353696,-4.00303703,183.372729,0.0547650257,4.98342563,pre
-1.966946,4.4966085,1.86955325,0.563518,0.101876,2.405823,4.353696,-4.00336548,183.273988,0.0574089598,5.53141073,pre
-1.966769,4.496772,1.868546,0.5102375,0.1041915,2.405823,4.353696,-4.00369392,183.175246,0.0531624105,4.89711253,pre
-1.965939,4.4969355,1.86806025,0.456957,0.106507,2.405823,4.353696,-4.00402237,183.127628,0.0486691192,4.29039406,pre
-1.965762,4.497099,1.8675745,0.5530325,0.1148995,2.405823,4.353696,-4.00435082,183.080009,0.0635431577,4.81318457,pre
-1.964929,4.497099,1.86708875,0.649108,0.123292,2.405823,4.353696,-4.00435082,183.032391,0.0800298235,5.26480226,pre
-1.964753,4.497099,1.866603,0.527778,0.1151965,2.405823,4.353696,-4.00435082,182.984772,0.0607981784,4.58154545,pre
-1.96394,4.497099,1.866603,0.406448,0.107101,2.405823,4.353696,-4.00435082,182.984772,0.0435309872,3.79499725,pre
-1.963746,4.497099,1.866603,0.406952,0.103667,2.405823,4.353696,-4.00435082,182.984772,0.042187493,3.92556937,pre
-1.962929,4.49714175,1.866603,0.407456,0.100233,2.405823,4.353696,-4.0044367,182.984772,0.0408405372,4.06508834,pre
-1.962737,4.4971845,1.866603,0.4879465,0.1025725,2.405823,4.353696,-4.00452258,182.984772,0.0500498924,4.75708889,pre
-1.961945,4.49722725,1.86673125,0.568437,0.104912,2.405823,4.353696,-4.00460846,182.997344,0.0596358625,5.4182267,pre
-1.96173,4.49727,1.8668595,0.4979885,0.104285,2.405823,4.353696,-4.00469433,183.009917,0.0519327307,4.7752649,pre
-1.960935,4.496909,1.86698775,0.42754,0.103658,2.405823,4.353696,-4.00396914,183.022489,0.0443179413,4.12452488,pre
-1.960721,4.496548,1.867116,0.4372455,0.103022,2.405823,4.353696,-4.00324394,183.035062,0.0450459059,4.24419541,pre
-1.959933,4.496187,1.86675975,0.446951,0.102386,2.405823,4.353696,-4.00251874,183.000138,0.0457615251,4.36535268,pre
-1.959714,4.495826,1.8664035,0.4768845,0.102689,2.405823,4.353696,-4.00179355,182.965215,0.0489707924,4.64396868,pre
-1.958926,4.49572075,1.86604725,0.506818,0.102992,2.405823,4.353696,-4.00158211,182.930291,0.0521981995,4.92094532,pre
-1.958705,4.4956155,1.865691,0.493753,0.131456,2.405823,4.353696,-4.00137068,182.895368,0.0649067944,3.75603244,pre
-1.957945,4.49551025,1.86603675,0.480688,0.15992,2.405823,4.353696,-4.00115925,182.929262,0.076871625,3.0058029,pre
