t_s,src,stream,value,raw_code,seq
-1.955946,3,sma_v,0.501995,0,3181738
-1.955946,4,sma_i,0.099789,0,3181738
-1.955576,2,load,1.873112,3142560,1795911
-1.954942,3,sma_v,0.502547,0,3181739
-1.954942,4,sma_i,0.127083,0,3181739
-1.954569,1,laser,4.478687,1923581494,1795919
-1.95394,3,sma_v,0.4983,0,3181740
-1.95394,4,sma_i,0.056832,0,3181740
-1.953559,2,load,1.873899,3143880,1795912
-1.952932,3,sma_v,0.498852,0,3181741
-1.952932,4,sma_i,0.109117,0,3181741
-1.952552,1,laser,4.478823,1923639786,1795920
-1.951923,3,sma_v,0.513369,0,3181742
-1.951923,4,sma_i,0.104726,0,3181742
-1.951544,2,load,1.873899,3143880,1795913
-1.950941,4,sma_i,0.080077,0,3181743
-1.950941,3,sma_v,0.51097,0,3181743
-1.950537,1,laser,4.478823,1923639786,1795921
-1.949936,4,sma_i,0.10238,0,3181744
-1.949936,3,sma_v,0.515816,0,3181744
-1.949527,2,load,1.876223,3147780,1795914
-1.948927,4,sma_i,0.105229,0,3181745
-1.948927,3,sma_v,0.446447,0,3181745
-1.948517,1,laser,4.480049,1924166466,1795922
-1.947944,3,sma_v,0.559895,0,3181746
-1.947944,4,sma_i,0.106117,0,3181746
-1.947508,2,load,1.877892,3150580,1795915
-1.946941,3,sma_v,0.487887,0,3181747
-1.946941,4,sma_i,0.107281,0,3181747
-1.946501,1,laser,4.479774,1924048191,1795923
-1.945937,3,sma_v,0.659138,0,3181748
-1.945937,4,sma_i,0.134779,0,3181748
-1.945492,2,load,1.876104,3147580,1795916
-1.944924,3,sma_v,0.517088,0,3181749
-1.944924,4,sma_i,0.059543,0,3181749
-1.944492,1,laser,4.480508,1924363539,1795924
-1.943938,4,sma_i,0.108919,0,3181750
-1.943938,3,sma_v,0.418781,0,3181750
-1.943476,2,load,1.881927,3157350,1795917
-1.942931,4,sma_i,0.109393,0,3181751
-1.942931,3,sma_v,0.601142,0,3181751
-1.942476,1,laser,4.480477,1924350364,1795925
-1.941923,4,sma_i,0.105295,0,3181752
-1.941923,3,sma_v,0.642149,0,3181752
-1.941467,2,load,1.879889,3153930,1795918
-1.940914,4,sma_i,0.14689,0,3181753
-1.940914,3,sma_v,0.558143,0,3181753
-1.94046,1,laser,4.480477,1924350364,1795926
-1.939904,4,sma_i,0.112134,0,3181754
-1.939904,3,sma_v,0.606901,0,3181754
-1.939451,2,load,1.879889,3153930,1795919
-1.938904,3,sma_v,0.40556,0,3181755
-1.938904,4,sma_i,0.098907,0,3181755
-1.938444,1,laser,4.478848,1923650551,1795927
-1.937926,3,sma_v,0.416814,0,3181756
-1.937926,4,sma_i,0.12899,0,3181756
-1.937435,2,load,1.878446,3151510,1795920
-1.936923,3,sma_v,0.458613,0,3181757
-1.936923,4,sma_i,0.134671,0,3181757
-1.936428,1,laser,4.478467,1923487097,1795928
-1.935919,4,sma_i,0.111402,0,3181758
-1.935919,3,sma_v,0.402033,0,3181758
-1.935419,2,load,1.877934,3150650,1795921
-1.934902,4,sma_i,0.1034,0,3181759
-1.934902,3,sma_v,0.421013,0,3181759
-1.934412,1,laser,4.479584,1923966501,1795929
-1.933943,4,sma_i,0.136159,0,3181760
-1.933943,3,sma_v,0.563806,0,3181760
-1.933403,2,load,1.879096,3152600,1795922
-1.93294,3,sma_v,0.47253,0,3181761
-1.93294,4,sma_i,0.14905,0,3181761
-1.932396,1,laser,4.479219,1923810026,1795930
-1.931937,3,sma_v,0.507874,0,3181762
-1.931937,4,sma_i,0.089933,0,3181762
-1.931387,2,load,1.879585,3153420,1795923
-1.93038,1,laser,4.479219,1923810026,1795931
-1.929371,2,load,1.879585,3153420,1795924
-1.928364,1,laser,4.479713,1924022279,1795932
-1.927355,2,load,1.879096,3152600,1795925
-1.926348,1,laser,4.47986,1924085341,1795933
-1.925941,4,sma_i,0.091696,0,3181763
-1.925941,3,sma_v,0.6839,0,3181763
-1.925339,2,load,1.876223,3147780,1795926
-1.924938,3,sma_v,0.634399,0,3181764
-1.924938,4,sma_i,0.107773,0,3181764
-1.924332,1,laser,4.478376,1923447808,1795934
-1.923931,3,sma_v,0.60882,0,3181765
-1.923931,4,sma_i,0.129794,0,3181765
-1.923323,2,load,1.877767,3150370,1795927
-1.922947,3,sma_v,0.504347,0,3181766
-1.922947,4,sma_i,0.105187,0,3181766
-1.922316,1,laser,4.477991,1923282472,1795935
-1.921941,3,sma_v,0.397786,0,3181767
-1.921941,4,sma_i,0.103574,0,3181767
-1.921307,2,load,1.878268,3151210,1795928
-1.920939,3,sma_v,0.692394,0,3181768
-1.920939,4,sma_i,0.101354,0,3181768
-1.9203,1,laser,4.477991,1923282472,1795936
-1.919933,3,sma_v,0.60942,0,3181769
-1.919933,4,sma_i,0.104078,0,3181769
-1.919291,2,load,1.878268,3151210,1795929
-1.918927,3,sma_v,0.637974,0,3181770
-1.918927,4,sma_i,0.105991,0,3181770
-1.918284,1,laser,4.479168,1923787891,1795937
-1.917946,4,sma_i,0.132308,0,3181771
-1.917946,3,sma_v,0.398578,0,3181771
-1.917275,2,load,1.875895,3147230,1795930
-1.916941,3,sma_v,0.428763,0,3181772
-1.916941,4,sma_i,0.126705,0,3181772
-1.916268,1,laser,4.478961,1923698833,1795938
-1.915936,3,sma_v,0.500964,0,3181773
-1.915936,4,sma_i,0.12022,0,3181773
-1.915259,2,load,1.878464,3151540,1795931
-1.914924,4,sma_i,0.139248,0,3181774
-1.914924,3,sma_v,0.505907,0,3181774
-1.914258,1,laser,4.479503,1923931802,1795939
-1.913939,3,sma_v,0.500364,0,3181775
-1.913939,4,sma_i,0.101318,0,3181775
-1.913249,2,load,1.876259,3147840,1795932
-1.912931,3,sma_v,0.467347,0,3181776
-1.912931,4,sma_i,0.10259,0,3181776
-1.912242,1,laser,4.479844,1924078152,1795940
-1.911945,3,sma_v,0.669431,0,3181777
-1.911945,4,sma_i,0.135313,0,3181777
-1.911233,2,load,1.876915,3148940,1795933
-1.910939,3,sma_v,0.509266,0,3181778
-1.910939,4,sma_i,0.136627,0,3181778
-1.910226,1,laser,4.478547,1923521238,1795941
-1.90993,4,sma_i,0.10986,0,3181779
-1.90993,3,sma_v,0.486807,0,3181779
-1.909217,2,load,1.876915,3148940,1795934
-1.908921,3,sma_v,0.587249,0,3181780
-1.908921,4,sma_i,0.102872,0,3181780
-1.90821,1,laser,4.478547,1923521238,1795942
-1.907937,3,sma_v,0.595959,0,3181781
-1.907937,4,sma_i,0.105511,0,3181781
-1.907201,2,load,1.877677,3150220,1795935
-1.90693,3,sma_v,0.445128,0,3181782
-1.90693,4,sma_i,0.105511,0,3181782
-1.906194,1,laser,4.478199,1923372076,1795943
-1.90593,3,sma_v,0.642917,0,3181783
-1.90593,4,sma_i,0.115721,0,3181783
-1.905185,2,load,1.87878,3152070,1795936
-1.904926,4,sma_i,0.088541,0,3181784
-1.904926,3,sma_v,0.570237,0,3181784
-1.904178,1,laser,4.479466,1923915768,1795944
-1.90392,3,sma_v,0.619186,0,3181785
-1.90392,4,sma_i,0.135529,0,3181785
-1.903169,2,load,1.879251,3152860,1795937
-1.90293,3,sma_v,0.400305,0,3181786
-1.90293,4,sma_i,0.090785,0,3181786
-1.902162,1,laser,4.479224,1923812205,1795945
-1.90193,3,sma_v,0.477929,0,3181787
-1.90193,4,sma_i,0.11385,0,3181787
-1.901153,2,load,1.88148,3156600,1795938
-1.900928,3,sma_v,0.673174,0,3181788
-1.900928,4,sma_i,0.077929,0,3181788
-1.900146,1,laser,4.479795,1924057041,1795946
-1.899918,4,sma_i,0.073982,0,3181789
-1.899918,3,sma_v,0.651195,0,3181789
-1.899137,2,load,1.88148,3156600,1795939
-1.89894,3,sma_v,0.460125,0,3181790
-1.89894,4,sma_i,0.081247,0,3181790
-1.89813,1,laser,4.479795,1924057041,1795947
-1.897929,3,sma_v,0.443136,0,3181791
-1.897929,4,sma_i,0.081295,0,3181791
-1.897121,2,load,1.879913,3153970,1795940
-1.896942,3,sma_v,0.602966,0,3181792
-1.896942,4,sma_i,0.131252,0,3181792
-1.896114,1,laser,4.480565,1924388014,1795948
-1.895935,3,sma_v,0.498564,0,3181793
-1.895935,4,sma_i,0.098985,0,3181793
-1.895105,2,load,1.88126,3156230,1795941
-1.894922,3,sma_v,0.513729,0,3181794
-1.894922,4,sma_i,0.125211,0,3181794
-1.894098,1,laser,4.479189,1923797197,1795949
-1.893939,3,sma_v,0.502715,0,3181795
-1.893939,4,sma_i,0.134107,0,3181795
-1.893089,2,load,1.882219,3157840,1795942
-1.892929,3,sma_v,0.508162,0,3181796
-1.892929,4,sma_i,0.11304,0,3181796
-1.892082,1,laser,4.4787,1923587065,1795950
-1.891943,3,sma_v,0.508618,0,3181797
-1.891943,4,sma_i,0.100538,0,3181797
-1.891073,2,load,1.88002,3154150,1795943
-1.890929,3,sma_v,0.400185,0,3181798
-1.890929,4,sma_i,0.093316,0,3181798
-1.890066,1,laser,4.479847,1924079910,1795951
-1.889944,3,sma_v,0.404816,0,3181799
-1.889944,4,sma_i,0.107785,0,3181799
-1.889057,2,load,1.879603,3153450,1795944
-1.888935,3,sma_v,0.404577,0,3181800
-1.888935,4,sma_i,0.10472,0,3181800
-1.88805,1,laser,4.479847,1924079910,1795952
-1.887945,3,sma_v,0.576691,0,3181801
-1.887945,4,sma_i,0.101762,0,3181801
-1.887041,2,load,1.879603,3153450,1795945
-1.88693,3,sma_v,0.543123,0,3181802
-1.88693,4,sma_i,0.125385,0,3181802
-1.886041,1,laser,4.479906,1924105044,1795953
-1.88594,3,sma_v,0.618682,0,3181803
-1.88594,4,sma_i,0.140646,0,3181803
-1.885025,2,load,1.879019,3152470,1795946
-1.884925,4,sma_i,0.155469,0,3181804
-1.884925,3,sma_v,0.617291,0,3181804
-1.884024,1,laser,4.480371,1924304768,1795954
-1.883936,3,sma_v,0.378686,0,3181805
-1.883936,4,sma_i,0.076502,0,3181805
-1.883016,2,load,1.878262,3151200,1795947
-1.882945,3,sma_v,0.433394,0,3181806
-1.882945,4,sma_i,0.116891,0,3181806
-1.882008,1,laser,4.481325,1924714460,1795955
-1.881939,3,sma_v,0.511185,0,3181807
-1.881939,4,sma_i,0.111726,0,3181807
-1.880999,2,load,1.876992,3149070,1795948
-1.88093,3,sma_v,0.490166,0,3181808
-1.88093,4,sma_i,0.122626,0,3181808
-1.879992,1,laser,4.480136,1924203591,1795956
-1.879941,4,sma_i,0.109591,0,3181809
-1.879941,3,sma_v,0.574508,0,3181809
-1.878983,2,load,1.874214,3144410,1795949
-1.87893,3,sma_v,0.56251,0,3181810
-1.87893,4,sma_i,0.052921,0,3181810
-1.877976,1,laser,4.480136,1924203591,1795957
-1.877946,3,sma_v,0.53818,0,3181811
-1.877946,4,sma_i,0.126651,0,3181811
-1.876968,2,load,1.874214,3144410,1795950
-1.87694,3,sma_v,0.540531,0,3181812
-1.87694,4,sma_i,0.058068,0,3181812
-1.87596,1,laser,4.479467,1923916691,1795958
-1.87593,3,sma_v,0.500196,0,3181813
-1.87593,4,sma_i,0.131918,0,3181813
-1.874951,2,load,1.870966,3138960,1795951
-1.874929,3,sma_v,0.504131,0,3181814
-1.874929,4,sma_i,0.144143,0,3181814
-1.873919,3,sma_v,0.563302,0,3181815
-1.873919,4,sma_i,0.086166,0,3181815
-1.873548,1,laser,4.480351,1924295790,1795959
-1.872939,3,sma_v,0.496045,0,3181816
-1.872939,4,sma_i,0.107629,0,3181816
-1.872932,2,load,1.875615,3146760,1795952
-1.871932,1,laser,4.48056,1924385974,1795960
-1.871929,3,sma_v,0.456525,0,3181817
-1.871929,4,sma_i,0.102152,0,3181817
-1.870923,2,load,1.875544,3146640,1795953
-1.870919,3,sma_v,0.455134,0,3181818
-1.870919,4,sma_i,0.103466,0,3181818
-1.869939,3,sma_v,0.685964,0,3181819
-1.869939,4,sma_i,0.104864,0,3181819
-1.869916,1,laser,4.480648,1924423685,1795961
