t_s,src,stream,value,raw_code,seq
-1.99991,1,laser,4.555797,1956699849,761028
-1.999407,3,sma_v,0.469411,1,1334939
-1.999407,4,sma_i,0.099357,0,1334939
-1.999407,6,cc_u,0.500763,1,1334728
-1.999407,7,cc_r_est,4.89185,0,1334728
-1.998901,2,load,1.833922,3076810,761028
-1.998405,3,sma_v,0.550009,0,1334940
-1.998405,4,sma_i,0.107527,0,1334940
-1.998405,6,cc_u,0.5,0,1334729
-1.998405,7,cc_r_est,4.886726,0,1334729
-1.997894,1,laser,4.556093,1956827107,761029
-1.997423,7,cc_r_est,4.884771,0,1334730
-1.997423,3,sma_v,0.465715,0,1334941
-1.997423,4,sma_i,0.10427,0,1334941
-1.997423,6,cc_u,0.5,0,1334730
-1.996885,2,load,1.833922,3076810,761029
-1.996415,3,sma_v,0.444096,0,1334942
-1.996415,4,sma_i,0.107533,0,1334942
-1.996415,6,cc_u,0.5,0,1334731
-1.996415,7,cc_r_est,4.879632,0,1334731
-1.995878,1,laser,4.556093,1956827107,761030
-1.995407,7,cc_r_est,4.873677,0,1334732
-1.995407,6,cc_u,0.5,0,1334732
-1.995407,4,sma_i,0.108511,0,1334943
-1.995407,3,sma_v,0.610116,0,1334943
-1.994869,2,load,1.838005,3083660,761030
-1.9944,3,sma_v,0.488726,0,1334944
-1.9944,4,sma_i,0.170603,0,1334944
-1.9944,6,cc_u,0.5,0,1334733
-1.9944,7,cc_r_est,4.873677,0,1334733
-1.993868,1,laser,4.554578,1956176467,761031
-1.99342,6,cc_u,0.5,0,1334734
-1.99342,4,sma_i,0.106171,0,1334945
-1.99342,7,cc_r_est,4.870172,0,1334734
-1.99342,3,sma_v,0.558047,0,1334945
-1.992859,2,load,1.835591,3079610,761031
-1.992415,3,sma_v,0.515577,0,1334946
-1.992415,4,sma_i,0.074882,0,1334946
-1.992415,6,cc_u,0.5,0,1334735
-1.992415,7,cc_r_est,4.870172,0,1334735
-1.991849,1,laser,4.55432,1956065818,761032
-1.991408,3,sma_v,0.452806,0,1334947
-1.991408,4,sma_i,0.087215,0,1334947
-1.991408,6,cc_u,0.5,0,1334736
-1.991408,7,cc_r_est,4.870172,0,1334736
-1.99084,2,load,1.835346,3079200,761032
-1.990398,7,cc_r_est,4.876524,0,1334737
-1.990398,4,sma_i,0.096891,0,1334948
-1.990398,6,cc_u,0.502816,2,1334737
-1.990398,3,sma_v,0.502211,2,1334948
-1.989833,1,laser,4.555413,1956534935,761033
-1.989417,3,sma_v,0.517664,0,1334949
-1.989417,4,sma_i,0.104804,0,1334949
-1.989417,6,cc_u,0.5,0,1334738
-1.989417,7,cc_r_est,4.874835,0,1334738
-1.988824,2,load,1.831639,3072980,761033
-1.98841,6,cc_u,0.5,0,1334739
-1.98841,4,sma_i,0.133759,0,1334950
-1.98841,7,cc_r_est,4.874835,0,1334739
-1.98841,3,sma_v,0.507394,0,1334950
-1.987817,1,laser,4.554956,1956338377,761034
-1.987404,3,sma_v,0.504299,0,1334951
-1.987404,4,sma_i,0.068493,0,1334951
-1.987404,6,cc_u,0.5,0,1334740
-1.987404,7,cc_r_est,4.874835,0,1334740
-1.986808,2,load,1.831639,3072980,761034
-1.986427,3,sma_v,0.501012,0,1334952
-1.986427,4,sma_i,0.145499,0,1334952
-1.986427,6,cc_u,0.5,0,1334741
-1.986427,7,cc_r_est,4.874835,0,1334741
-1.985808,1,laser,4.554956,1956338377,761035
-1.985394,7,cc_r_est,4.874835,0,1334742
-1.985394,6,cc_u,0.5,0,1334742
-1.985394,3,sma_v,0.406232,0,1334953
-1.985394,4,sma_i,0.082986,0,1334953
-1.984792,2,load,1.831216,3072270,761035
-1.984424,3,sma_v,0.503315,0,1334954
-1.984424,4,sma_i,0.085614,0,1334954
-1.984424,6,cc_u,0.5,0,1334743
-1.984424,7,cc_r_est,4.874835,0,1334743
-1.983792,1,laser,4.555471,1956559874,761036
-1.983404,7,cc_r_est,4.874835,0,1334744
-1.983404,6,cc_u,0.5,0,1334744
-1.983404,4,sma_i,0.141828,0,1334955
-1.983404,3,sma_v,0.648484,0,1334955
-1.982783,2,load,1.8305,3071070,761036
-1.982394,3,sma_v,0.416526,4,1334956
-1.982394,4,sma_i,0.094384,0,1334956
-1.982394,6,cc_u,0.504837,4,1334745
-1.982394,7,cc_r_est,4.884023,0,1334745
-1.981776,1,laser,4.555789,1956696209,761037
-1.981424,6,cc_u,0.504837,4,1334746
-1.981424,4,sma_i,0.062399,0,1334957
-1.981424,7,cc_r_est,4.884023,0,1334746
-1.981424,3,sma_v,0.512025,4,1334957
-1.980767,2,load,1.831019,3071940,761037
-1.980398,3,sma_v,0.433946,0,1334958
-1.980398,4,sma_i,0.106345,0,1334958
-1.980398,7,cc_r_est,4.880987,0,1334747
-1.980398,6,cc_u,0.500016,0,1334747
-1.97976,1,laser,4.554088,1955965647,761038
-1.979391,3,sma_v,0.515648,0,1334959
-1.979391,4,sma_i,0.108085,0,1334959
-1.979391,6,cc_u,0.5,0,1334748
-1.979391,7,cc_r_est,4.875441,0,1334748
-1.978751,2,load,1.828706,3068060,761038
-1.978412,3,sma_v,0.57542,0,1334960
-1.978412,4,sma_i,0.106849,0,1334960
-1.978412,6,cc_u,0.5,0,1334749
-1.978412,7,cc_r_est,4.871256,0,1334749
-1.977744,1,laser,4.553781,1955833810,761039
-1.977413,7,cc_r_est,4.868363,0,1334750
-1.977413,3,sma_v,0.384229,0,1334961
-1.977413,4,sma_i,0.105511,0,1334961
-1.977413,6,cc_u,0.5,0,1334750
-1.976735,2,load,1.827103,3065370,761039
-1.976413,3,sma_v,0.554376,0,1334962
-1.976413,4,sma_i,0.105373,0,1334962
-1.976413,6,cc_u,0.5,0,1334751
-1.976413,7,cc_r_est,4.865682,0,1334751
-1.975728,1,laser,4.553781,1955833810,761040
-1.975417,6,cc_u,0.5,0,1334752
-1.975417,4,sma_i,0.087269,0,1334963
-1.975417,7,cc_r_est,4.865682,0,1334752
-1.975417,3,sma_v,0.472602,0,1334963
-1.974719,2,load,1.827103,3065370,761040
-1.97442,3,sma_v,0.459045,3,1334964
