t_s,dt_s,v_sma_V,i_A,r_ohm,p_W,dac_code,seq
0.083654,0.001005,0.560039,-0.006844,,-0.00383290692,0,80
0.084663,0.001009,0.530909,-0.00694,,-0.00368450846,0,81
0.085669,0.001006,0.539067,-0.00835,,-0.00450120945,0,82
0.086655,0.000986,0.529685,-0.007594,,-0.00402242789,0,83
0.08766,0.001005,0.449063,0.018758,,0.00842352375,0,84
0.088666,0.001006,0.478481,0.005315,,0.00254312652,0,85
0.089653,0.000987,0.528942,-0.005825,,-0.00308108715,0,86
0.09066,0.001007,0.508978,-0.005837,,-0.00297090459,0,87
0.091666,0.001006,0.62984,-0.004811,,-0.00303016024,0,88
0.092654,0.000988,0.488846,-0.00835,,-0.0040818641,0,89
0.093663,0.001009,0.47229,-0.005705,,-0.00269441445,0,90
0.094671,0.001008,0.52683,-0.003167,,-0.00166847061,0,91
0.095654,0.000983,0.506746,0.031667,16.0023368,0.0160471256,0,92
0.096659,0.001005,0.531797,-0.006064,,-0.00322481701,0,93
0.097663,0.001004,0.524023,-0.007438,,-0.00389768307,0,94
0.098667,0.001004,0.508018,0.017822,,0.0090538968,0,95
0.099673,0.001006,0.631735,0.01117,,0.00705647995,0,96
0.100671,0.000998,0.586505,0.011374,,0.00667090787,0,97
0.101678,0.001007,0.484983,0.012519,,0.00607150218,0,98
0.102657,0.000979,0.536836,-0.008206,,-0.00440527622,0,99
0.103659,0.001002,0.526446,-0.00835,,-0.0043958241,0,100
0.104661,0.001002,0.507442,-0.006005,,-0.00304718921,0,101
0.105664,0.001003,0.523255,0.019598,,0.0102547515,0,102
0.106671,0.001007,0.526494,0.010978,,0.00577985113,0,103
0.107656,0.000985,0.518264,0.01787,,0.00926137768,0,104
0.108661,0.001005,0.498252,-0.004949,,-0.00246584915,0,105
0.109664,0.001003,0.528486,-0.002921,,-0.00154370761,0,106
0.110667,0.001003,0.535732,0.020762,25.8034871,0.0111228678,0,107
0.111655,0.000988,0.432099,-0.007774,,-0.00335913763,0,108
0.11266,0.001005,0.613643,0.024235,25.3205282,0.0148716381,0,109
0.113667,0.001007,0.481048,-0.006184,,-0.00297480083,0,110
0.114654,0.000987,0.469482,-0.005891,,-0.00276571846,0,111
0.115659,0.001005,0.470298,-0.005195,,-0.00244319811,0,112
0.116667,0.001008,0.586433,-0.006736,,-0.00395021269,0,113
