t_s,dt_s,v_sma_V,i_A,r_ohm,p_W,dac_code,seq
0,,0.49226,0.102378,4.80825959,0.0503965943,0,0
0.002967,0.002967,0.502739,0.119092,4.22143385,0.059872193,0,1
0.004811,0.001844,0.478433,0.090497,5.28672774,0.0432967512,0,2
0.006422,0.001611,0.568197,0.098619,5.76153682,0.0560350199,3,3
0.007404,0.000982,0.460436,0.119974,3.83779819,0.0552403487,3,4
0.008411,0.001007,0.401577,0.120772,3.32508363,0.0484992574,3,5
0.009416,0.001005,0.487887,0.102584,4.75597559,0.0500494,3,6
0.010419,0.001003,0.554016,0.085506,6.47926461,0.0473716921,3,7
0.011426,0.001007,0.578131,0.088583,6.52643284,0.0512125784,11,8
0.012409,0.000983,0.496285,0.089453,5.54799727,0.0443941821,19,9
0.013409,0.001,0.484407,0.125511,3.85947845,0.060798407,19,10
0.014413,0.001004,0.4989,0.136309,3.66006647,0.0680045601,19,11
0.015417,0.001004,0.471402,0.087449,5.39059337,0.0412236335,19,12
0.016423,0.001006,0.55584,0.088157,6.30511474,0.0490011869,28,13
0.017408,0.000985,0.437617,0.109357,4.00172828,0.0478564823,24,14
0.018414,0.001006,0.565006,0.105787,5.34097762,0.0597702897,22,15
0.01941,0.000996,0.521503,0.136927,3.80862065,0.0714078413,22,16
0.020431,0.001021,0.524935,0.135313,3.87941292,0.0710305297,22,17
0.02144,0.001009,0.514497,0.101216,5.08315879,0.0520753284,23,18
0.022447,0.001007,0.502523,0.127965,3.92703474,0.0643053557,23,19
0.023427,0.00098,0.536116,0.096015,5.58366922,0.0514751777,27,20
0.024415,0.000988,0.523687,0.09256,5.65781115,0.0484724687,33,21
0.025451,0.001036,0.639054,0.13971,4.57414645,0.0892822343,33,22
0.026437,0.000986,0.504155,0.11391,4.42590642,0.0574282961,33,23
0.027444,0.001007,0.626025,0.118025,5.30417284,0.0738866006,33,24
0.028405,0.000961,0.551641,0.11391,4.84277939,0.0628374263,33,25
0.029407,0.001002,0.526038,0.109309,4.81239422,0.0575006877,29,26
0.030404,0.000997,0.626745,0.111984,5.59673703,0.0701854121,23,27
0.031405,0.001001,0.543842,0.109555,4.96410022,0.0595806103,19,28
0.032402,0.000997,0.51644,0.129758,3.98002435,0.0670122215,19,29
0.033426,0.001024,0.433682,0.101222,4.28446385,0.0438981594,19,30
0.034427,0.001001,0.498756,0.095614,5.21634907,0.0476880562,23,31
0.035426,0.000999,0.45211,0.110304,4.09876342,0.0498695414,18,32
0.036425,0.000999,0.454918,0.107581,4.22860914,0.0489405334,15,33
0.037424,0.000999,0.469986,0.107515,4.37135283,0.0505305448,11,34
0.038407,0.000983,0.483471,0.108097,4.47256631,0.0522617647,8,35
0.039412,0.001005,0.455422,0.106057,4.29412486,0.0483006911,5,36
0.040426,0.001014,0.497916,0.105391,4.72446414,0.0524758652,2,37
0.041406,0.00098,0.497125,0.117119,4.24461445,0.0582227829,2,38
0.04241,0.001004,0.505691,0.135073,3.74383482,0.0683052004,2,39
0.043413,0.001003,0.593992,0.105841,5.61211629,0.0628687073,0,40
0.044414,0.001001,0.493525,0.09514,5.18735548,0.0469539685,4,41
0.045419,0.001005,0.457845,0.115199,3.97438346,0.0527432862,4,42
0.046424,0.001005,0.483543,0.129974,3.7203056,0.0628480179,4,43
0.047408,0.000984,0.739424,0.090869,8.13725253,0.0671907195,10,44
