t_s,laser,load,sma_v,sma_i,cc_u,cc_r_est,laser_mm,force_mN,power_W,sma_r,phase
-1.999318,4.314127,1.982212,0.422045,0.130922,3.395523,4.04894,-3.63678643,194.318026,0.0552549755,3.22363697,pre
-1.999076,4.314127,1.982212,0.54743,0.0997165,3.395523,4.04894,-3.63678643,194.318026,0.0545878036,5.48986376,pre
-1.998329,4.314127,1.98330575,0.672815,0.068511,3.395523,4.04894,-3.63678643,194.425248,0.0460952285,9.82053977,pre
-1.998072,4.314127,1.9843995,0.615095,0.0998815,3.395523,4.04894,-3.63678643,194.532469,0.0614366112,6.15824752,pre
-1.997322,4.31399525,1.98549325,0.557375,0.131252,3.395523,4.04894,-3.63652176,194.63969,0.0731565835,4.24660196,pre
-1.997066,4.3138635,1.986587,0.4997155,0.116798,3.395523,4.04894,-3.63625709,194.746912,0.058365771,4.27845939,pre
-1.996333,4.31373175,1.98623375,0.442056,0.102344,3.395523,4.04894,-3.63599243,194.712282,0.0452417793,4.31931525,pre
-1.996053,4.3136,1.9858805,0.544526,0.107008,3.395523,4.04894,-3.63572776,194.677653,0.0582686382,5.08864758,pre
-1.995326,4.31378575,1.98552725,0.646996,0.111672,3.395523,4.04894,-3.6361009,194.643023,0.0722513373,5.79371731,pre
-1.995047,4.3139715,1.985174,0.5442745,0.108007,3.395523,4.04894,-3.63647405,194.608394,0.0587854559,5.03925209,pre
-1.994317,4.31415725,1.98395075,0.441553,0.104342,3.395523,4.04894,-3.63684719,194.488478,0.0460725231,4.23178586,pre
-1.994043,4.314343,1.9827275,0.5393915,0.117287,3.395523,4.04894,-3.63722034,194.368561,0.0632636109,4.59890269,pre
-1.993333,4.314259,1.98150425,0.63723,0.130232,3.395523,4.04894,-3.6370516,194.248645,0.0829877374,4.89303704,pre
-1.993031,4.314175,1.980281,0.572432,0.1409515,3.395523,4.04894,-3.63688285,194.128729,0.080685149,4.06119836,pre
-1.992327,4.314091,1.98030475,0.507634,0.151671,3.395523,4.04894,-3.63671411,194.131057,0.0769933564,3.34694174,pre
-1.992024,4.314007,1.9803285,0.4963805,0.1134715,3.395523,4.04894,-3.63654536,194.133385,0.0563250399,4.37449492,pre
-1.991317,4.314007,1.98035225,0.485127,0.075272,3.395523,4.04894,-3.63654536,194.135713,0.0365164795,6.44498618,pre
-1.991018,4.314007,1.980376,0.47968,0.0948785,3.395523,4.04894,-3.63654536,194.138042,0.0455113189,5.05572917,pre
-1.990334,4.314007,1.980376,0.474233,0.114485,3.395523,4.04894,-3.63654536,194.138042,0.054292565,4.14231559,pre
-1.990011,4.314007,1.980376,0.4911855,0.1178295,3.395523,4.04894,-3.63654536,194.138042,0.0578761419,4.16861227,pre
-1.989329,4.3136555,1.980376,0.508138,0.121174,3.395523,4.04894,-3.63583925,194.138042,0.061573114,4.19345734,pre
-1.988996,4.313304,1.980376,0.503975,0.1142095,3.395523,4.04894,-3.63513314,194.138042,0.0575587328,4.41272399,pre
