t_s,dt_s,volts,force_mN,raw_code,seq,n_held
0.223866,0.004032,0.005221,3.86305692,8760,1579068,1
0.225882,0.002016,0.007915,4.12715217,13280,1579069,1
0.227898,0.002016,0.010133,4.3445847,17000,1579070,1
0.229914,0.002016,0.009429,4.27557095,15820,1579071,2
0.233946,0.004032,0.001538,3.50200912,2580,1579073,1
0.235968,0.002022,0.001621,3.51014568,2720,1579074,1
0.237984,0.002016,-0.000346,3.3173189,-580,1579075,1
0.24,0.002016,-0.000739,3.27879276,-1240,1579076,2
0.244032,0.004032,0.006717,4.00971115,11270,1579078,1
0.246048,0.002016,0.005972,3.93667813,10020,1579079,1
0.248064,0.002016,-0.001323,3.22154271,-2220,1579080,1
0.250087,0.002023,-0.006568,2.70737064,-11020,1579081,1
0.252103,0.002016,0.000572,3.40731127,960,1579082,2
0.256135,0.004032,-0.003242,3.03342141,-5440,1579084,1
0.258151,0.002016,-0.003737,2.98489612,-6270,1579085,1
0.260167,0.002016,-0.003195,3.03802887,-5360,1579086,1
0.262183,0.002016,0.001079,3.45701293,1810,1579087,2
0.266215,0.004032,0.009924,4.32409624,16650,1579089,1
0.268237,0.002022,0.002128,3.55984735,3570,1579090,1
0.270253,0.002016,-0.002509,3.10527806,-4210,1579091,1
0.272269,0.002016,-0.004977,2.8633378,-8350,1579092,2
0.276301,0.004032,-0.005943,2.76863995,-9970,1579094,1
0.278317,0.002016,-0.002325,3.12331575,-3900,1579095,1
0.280333,0.002016,0.001574,3.50553823,2640,1579096,1
0.282355,0.002022,-0.000185,3.33310188,-310,1579097,2
0.286387,0.004032,0.001329,3.48152066,2230,1579099,1
0.288403,0.002016,0.003809,3.72463729,6390,1579100,1
0.290419,0.002016,0.001174,3.46632587,1970,1579101,1
0.292435,0.002016,-0.004154,2.94401723,-6970,1579102,2
0.296474,0.004039,0.006056,3.94491272,10160,1579104,1
0.29849,0.002016,0.007772,4.11313375,13040,1579105,1
0.300506,0.002016,0.016111,4.93061342,27030,1579106,1
0.302522,0.002016,0.001109,3.45995386,1860,1579107,1
0.304538,0.002016,-0.005752,2.78736385,-9650,1579108,2
0.30857,0.004032,-0.00264,3.09243602,-4430,1579110,1
0.310586,0.002016,0.010175,4.348702,17070,1579111,1
0.312608,0.002022,0.013894,4.71327892,23310,1579112,1
0.314624,0.002016,0.013745,4.69867231,23060,1579113,2
0.318656,0.004032,-0.000894,3.26359797,-1500,1579115,1
0.320672,0.002016,0.001156,3.46456131,1940,1579116,1
0.322688,0.002016,0.002539,3.60013805,4260,1579117,1
0.324704,0.002016,0.006515,3.98990891,10930,1579118,2
0.328743,0.004039,0.006574,3.99569273,11030,1579120,1
0.330775,0.002032,0.008523,4.18675495,14300,1579121,1
0.332771,0.001996,0.006181,3.95716658,10370,1579122,1
0.334794,0.002023,0.005406,3.88119264,9070,1579123,2
0.338826,0.004032,-0.001371,3.21683723,-2300,1579125,1
0.340842,0.002016,0.000924,3.44181814,1550,1579126,1
0.342858,0.002016,0.00093,3.44240633,1560,1579127,1
0.344874,0.002016,0.002915,3.63699767,4890,1579128,1
0.34689,0.002016,0.002491,3.59543256,4180,1579129,2
0.350928,0.004038,-0.00428,2.93166534,-7180,1579131,1
0.352944,0.002016,-0.004834,2.87735622,-8110,1579132,1
0.35496,0.002016,0.001431,3.49151981,2400,1579133,1
0.356976,0.002016,0.004947,3.83619645,8300,1579134,2
0.361008,0.004032,0.007808,4.11666286,13100,1579136,1
0.363024,0.002016,0.00779,4.1148983,13070,1579137,1
0.365047,0.002023,0.004739,3.81580603,7950,1579138,1
0.367063,0.002016,-0.00121,3.2326202,-2030,1579139,2
0.371095,0.004032,0.002116,3.55867098,3550,1579141,1
0.373111,0.002016,0.003666,3.71061887,6150,1579142,1
0.375127,0.002016,0.008702,4.20430248,14600,1579143,1
0.377143,0.002016,0.00366,3.71003069,6140,1579144,2
0.381175,0.004032,-0.00056,3.29634029,-940,1579146,1
0.383197,0.002022,0.006914,4.02902323,11600,1579147,1
0.385213,0.002016,0.007856,4.12136834,13180,1579148,1
0.387229,0.002016,0.008154,4.15058155,13680,1579149,2
0.391261,0.004032,0.007725,4.10852629,12960,1579151,1
0.393277,0.002016,0.004458,3.78825934,7480,1579152,1
0.395293,0.002016,0.005746,3.91452314,9640,1579153,1
0.397309,0.002016,-0.003451,3.01293296,-5790,1579154,1
0.399331,0.002022,0.009149,4.2481223,15350,1579155,2
0.403363,0.004032,0.007856,4.12136834,13180,1579157,1
0.405379,0.002016,0.000924,3.44181814,1550,1579158,1
0.407395,0.002016,-0.002944,3.06263462,-4940,1579159,1
0.409411,0.002016,-0.001526,3.20164244,-2560,1579160,2
0.413443,0.004032,0.001723,3.52014483,2890,1579162,1
0.415466,0.002023,0.009888,4.32056713,16590,1579163,1
0.417482,0.002016,0.005686,3.90864129,9540,1579164,1
0.419498,0.002016,0.007433,4.07990127,12470,1579165,2
0.42353,0.004032,0.00478,3.81982529,8020,1579167,1
0.425546,0.002016,-0.0054,2.82187073,-9060,1579168,1
0.427562,0.002016,0.004554,3.79767031,7640,1579169,1
0.429578,0.002016,-4.8e-05,3.34653211,-80,1579170,2
0.433616,0.004038,-0.004047,2.95450654,-6790,1579172,1
0.435632,0.002016,0.009811,4.31301875,16460,1579173,1
0.437648,0.002016,0.00841,4.17567746,14110,1579174,1
0.439664,0.002016,0.008035,4.13891587,13480,1579175,1
0.44168,0.002016,0.007808,4.11666286,13100,1579176,2
0.445712,0.004032,0.008059,4.14126861,13520,1579178,1
0.447728,0.002016,0.007915,4.12715217,13280,1579179,1
0.449751,0.002023,0.000417,3.39211648,700,1579180,1
0.451767,0.002016,0.003743,3.71816725,6280,1579181,2
0.455799,0.004032,0.000322,3.38280354,540,1579183,1
0.457815,0.002016,-0.001538,3.20046607,-2580,1579184,1
0.459831,0.002016,0.003374,3.68199385,5660,1579185,1
0.461847,0.002016,0.005013,3.84266649,8410,1579186,2
0.465885,0.004038,0.007963,4.13185765,13360,1579188,1
0.467901,0.002016,0.001943,3.54171163,3260,1579189,1
0.469917,0.002016,-0.00481,2.87970896,-8070,1579190,1
0.471933,0.002016,-0.006491,2.71491902,-10890,1579191,2
0.475965,0.004032,0.000817,3.43132884,1370,1579193,1
0.477981,0.002016,0.00338,3.68258203,5670,1579194,1
0.480003,0.002022,4.8e-05,3.35594307,80,1579195,1
0.482019,0.002016,0.009793,4.3112542,16430,1579196,2
0.486051,0.004032,0.007844,4.12019197,13160,1579198,1
0.488067,0.002016,0.001365,3.48504977,2290,1579199,1
0.490083,0.002016,0.007808,4.11666286,13100,1579200,1
0.492099,0.002016,0.010377,4.36850424,17410,1579201,1
0.494122,0.002023,0.003839,3.72757822,6440,1579202,2
0.498154,0.004032,0.003278,3.67258288,5500,1579204,1
0.50017,0.002016,0.002432,3.58964874,4080,1579205,1
0.502186,0.002016,0.002074,3.55455368,3480,1579206,1
0.504202,0.002016,0.003016,3.64689879,5060,1579207,2
0.508234,0.004032,-0.007319,2.63374943,-12280,1579209,1
0.51025,0.002016,0.004554,3.79767031,7640,1579210,1
0.512272,0.002022,0.010622,4.39252181,17820,1579211,1
0.514288,0.002016,0.00366,3.71003069,6140,1579212,2
0.51832,0.004032,0.003159,3.6609172,5300,1579214,1
0.520336,0.002016,0.007129,4.05009988,11960,1579215,1
0.522352,0.002016,0.009191,4.25223959,15420,1579216,1
0.524368,0.002016,0.015044,4.82601445,25240,1579217,2
0.528407,0.004039,0.005168,3.85786128,8670,1579219,1
0.530423,0.002016,0.007915,4.12715217,13280,1579220,1
0.532439,0.002016,-0.002187,3.13684401,-3670,1579221,1
0.534455,0.002016,0.004232,3.76610436,7100,1579222,2
0.538487,0.004032,0.006759,4.01382844,11340,1579224,1
0.540509,0.002022,0.008845,4.2183209,14840,1579225,1
0.542525,0.002016,0.003517,3.69601227,5900,1579226,1
0.544541,0.002016,0.001717,3.51955665,2880,1579227,1
0.546557,0.002016,0.007546,4.09097876,12660,1579228,2
0.550589,0.004032,0.002074,3.55455368,3480,1579230,1
0.552605,0.002016,0.009859,4.31772423,16540,1579231,1
0.554627,0.002022,0.006557,3.9940262,11000,1579232,1
0.556643,0.002016,0.001884,3.53592781,3160,1579233,2
0.560675,0.004032,0.00304,3.64925153,5100,1579235,1
0.562691,0.002016,0.009978,4.32938991,16740,1579236,1
0.564707,0.002016,0.004137,3.75679143,6940,1579237,1
0.566723,0.002016,0.006616,3.99981003,11100,1579238,2
0.570762,0.004039,0.007761,4.11205541,13020,1579240,1
0.572778,0.002016,0.008893,4.22302639,14920,1579241,1
0.574794,0.002016,0.007486,4.08509691,12560,1579242,1
0.57681,0.002016,0.007427,4.07931309,12460,1579243,2
0.580842,0.004032,0.002033,3.55053441,3410,1579245,1
0.582864,0.002022,-0.0063,2.73364292,-10570,1579246,1
0.58488,0.002016,0.001031,3.45230745,1730,1579247,1
0.586896,0.002016,0.009346,4.26743438,15680,1579248,1
0.588912,0.002016,0.004107,3.7538505,6890,1579249,2
0.592944,0.004032,0.004685,3.81051236,7860,1579251,1
0.59496,0.002016,0.003612,3.7053252,6060,1579252,1
0.596983,0.002023,-0.000197,3.3319255,-330,1579253,1
0.598999,0.002016,0.000823,3.43191702,1380,1579254,2
0.603031,0.004032,0.000471,3.39741015,790,1579256,1
0.605047,0.002016,0.008374,4.17214835,14050,1579257,1
0.607063,0.002016,0.002521,3.59837349,4230,1579258,1
0.609079,0.002016,0.002837,3.62935126,4760,1579259,2
0.613117,0.004038,0.004864,3.82805989,8160,1579261,1
0.615133,0.002016,0.005209,3.86188055,8740,1579262,1
0.617149,0.002016,-0.000525,3.29977137,-880,1579263,1
0.619165,0.002016,-0.004888,2.87206255,-8200,1579264,2
0.623197,0.004032,0.000834,3.43299536,1400,1579266,1
0.625213,0.002016,0.007391,4.07578397,12400,1579267,1
0.627235,0.002022,0.00819,4.15411066,13740,1579268,1
0.629251,0.002016,0.007832,4.1190156,13140,1579269,2
0.633283,0.004032,0.002295,3.57621851,3850,1579271,1
0.635299,0.002016,0.010234,4.35448582,17170,1579272,1
0.637315,0.002016,0.010824,4.41232405,18160,1579273,1
0.639331,0.002016,0.001377,3.48622614,2310,1579274,1
0.641347,0.002016,0.003248,3.66964195,5450,1579275,2
0.645386,0.004039,0.002921,3.63758585,4900,1579277,1
0.647402,0.002016,0.005019,3.84325468,8420,1579278,1
0.649418,0.002016,0.005943,3.93383523,9970,1579279,1
0.651434,0.002016,-0.000513,3.30094774,-860,1579280,2
0.655466,0.004032,0.007409,4.07754853,12430,1579282,1
0.657482,0.002016,0.009644,4.29664759,16180,1579283,1
0.659498,0.002016,0.003421,3.6866013,5740,1579284,1
0.66152,0.002022,-0.00025,3.32672987,-420,1579285,2
0.665552,0.004032,0.011003,4.42987158,18460,1579287,1
0.667568,0.002016,0.006366,3.9753023,10680,1579288,1
0.669584,0.002016,-0.004518,2.90833399,-7580,1579289,1
0.6716,0.002016,-0.0018,3.17478197,-3020,1579290,2
0.675639,0.004039,0.00639,3.97765504,10720,1579292,1
0.677655,0.002016,-0.005257,2.83588915,-8820,1579293,1
0.679671,0.002016,0.003588,3.70297246,6020,1579294,1
0.681687,0.002016,0.003004,3.64572242,5040,1579295,1
0.683703,0.002016,0.01142,4.47075047,19160,1579296,2
0.687735,0.004032,0.003469,3.69130678,5820,1579298,1
0.689751,0.002016,-0.006151,2.74824953,-10320,1579299,1
0.691767,0.002016,-0.00931,2.43856991,-15620,1579300,1
0.693789,0.002022,0.005734,3.91334677,9620,1579301,2
0.697821,0.004032,0.001645,3.51249842,2760,1579303,1
0.699837,0.002016,0.008792,4.21312526,14750,1579304,1
0.701853,0.002016,0.009143,4.24753411,15340,1579305,1
0.703869,0.002016,0.000709,3.4207415,1190,1579306,2
0.707907,0.004038,0.007498,4.08627328,12580,1579308,1
0.709923,0.002016,0.014329,4.75592236,24040,1579309,1
0.711939,0.002016,-0.000793,3.27349909,-1330,1579310,1
0.713955,0.002016,-0.002688,3.08773053,-4510,1579311,2
0.717987,0.004032,0.004578,3.80002305,7680,1579313,1
0.720003,0.002016,0.002468,3.59317785,4140,1579314,1
0.722026,0.002023,0.004113,3.75443868,6900,1579315,1
0.724042,0.002016,-0.000387,3.31329963,-650,1579316,2
0.728074,0.004032,-0.008738,2.49464359,-14660,1579318,1
0.73009,0.002016,0.001764,3.5241641,2960,1579319,1
0.732106,0.002016,0.012267,4.55378264,20580,1579320,1
0.734122,0.002016,0.010878,4.41761772,18250,1579321,1
0.736138,0.002016,0.016481,4.96688485,27650,1579322,2
0.740176,0.004038,0.008339,4.16871727,13990,1579324,1
0.742192,0.002016,0.002635,3.60954901,4420,1579325,1
0.744208,0.002016,0.002503,3.59660893,4200,1579326,1
