t_s,dt_s,v_sma_V,i_A,r_ohm,p_W,dac_code,seq
0.078658,0.001008,0.513441,0.12926,3.97215689,0.0663673837,0,75
0.079643,0.000985,0.592096,0.103634,5.71333732,0.0613612769,0,76
0.080659,0.001016,0.499044,0.108937,4.58103307,0.0543643562,0,77
0.081649,0.00099,0.492302,0.090809,5.42129084,0.0447054523,0,78
0.082638,0.000989,0.572948,0.133771,4.28305089,0.0766438269,0,79
0.08365,0.001012,0.479272,0.105139,4.5584607,0.0503901788,0,80
0.084661,0.001011,0.431475,0.105811,4.07778964,0.0456548012,0,81
0.085652,0.000991,0.477209,0.101306,4.71056996,0.048344135,0,82
0.086637,0.000985,0.611172,0.09145,6.68312739,0.0558916794,0,83
0.08765,0.001013,0.477161,0.130796,3.64813144,0.0624107502,0,84
0.088638,0.000988,0.50142,0.089765,5.58591879,0.0450099663,0,85
0.089655,0.001017,0.502523,0.118721,4.23280633,0.0596600331,0,86
0.09064,0.000985,0.496717,0.090053,5.51582957,0.044730856,0,87
0.091655,0.001015,0.505379,0.096963,5.2120809,0.049003064,0,88
0.092649,0.000994,0.507322,0.111726,4.54076938,0.0566810578,0,89
0.093635,0.000986,0.406304,0.093514,4.34484676,0.0379951123,0,90
0.094651,0.001016,0.504971,0.13178,3.83192442,0.0665450784,0,91
0.095637,0.000986,0.589217,0.089765,6.56399488,0.052891064,0,92
0.096653,0.001016,0.444336,0.098841,4.49546241,0.0439186146,0,93
0.097637,0.000984,0.5168,0.103298,5.00300103,0.0533844064,0,94
0.098652,0.001015,0.490334,0.101816,4.81588355,0.0499238465,0,95
0.099661,0.001009,0.594232,0.113946,5.21503168,0.0677103595,0,96
0.100642,0.000981,0.460652,0.103382,4.45582403,0.0476231251,0,97
0.101652,0.00101,0.499284,0.103694,4.81497483,0.0517727551,0,98
0.102663,0.001011,0.629096,0.139248,4.51780995,0.0876003598,0,99
0.103649,0.000986,0.597255,0.107041,5.57968442,0.0639307725,0,100
0.104659,0.00101,0.446711,0.105181,4.24706934,0.0469855097,0,101
0.10564,0.000981,0.579163,0.09187,6.30415805,0.0532077048,0,102
0.10665,0.00101,0.495877,0.094528,5.24582134,0.0468742611,0,103
0.107636,0.000986,0.588185,0.107467,5.47316851,0.0632104774,0,104
0.108644,0.001008,0.439297,0.116165,3.78166401,0.051030936,0,105
0.109657,0.001013,0.433082,0.087671,4.93985468,0.037968732,0,106
0.110646,0.000989,0.471162,0.13067,3.60573965,0.0615667385,0,107
0.111657,0.001011,0.408968,0.13914,2.93925543,0.0569038075,0,108
0.112642,0.000985,0.448079,0.140094,3.19841678,0.0627731794,0,109
0.113654,0.001012,0.466675,0.107101,4.3573356,0.0499813592,0,110
0.11464,0.000986,0.43409,0.099741,4.35217213,0.0432965707,0,111
0.11565,0.00101,0.439945,0.10304,4.26965256,0.0453319328,0,112
0.116637,0.000987,0.520927,0.086657,6.01136665,0.045141971,0,113
0.117648,0.001011,0.594016,0.092908,6.39359366,0.0551888385,0,114
0.118634,0.000986,0.5001,0.127947,3.90864968,0.0639862947,0,115
0.11964,0.001006,0.518552,0.093376,5.5533756,0.0484203116,0,116
0.120649,0.001009,0.453118,0.091954,4.92765948,0.0416660126,0,117
0.121659,0.00101,0.510658,0.120268,4.2460006,0.0614158163,0,118
0.122644,0.000985,0.523327,0.106129,4.93104618,0.0555401712,0,119
0.123657,0.001013,0.493069,0.096603,5.10407544,0.0476319446,0,120
0.124643,0.000986,0.606613,0.110574,5.4860365,0.0670756259,0,121
0.125657,0.001014,0.502139,0.094006,5.3415633,0.0472040788,0,122
0.126642,0.000985,0.574124,0.106645,5.38350602,0.061227454,0,123
0.127655,0.001013,0.49247,0.108475,4.53994008,0.0534206833,0,124
0.128639,0.000984,0.539979,0.088397,6.10856703,0.0477325237,0,125
0.129649,0.00101,0.481888,0.136435,3.53199692,0.0657463893,0,126
0.130656,0.001007,0.510178,0.135847,3.7555338,0.0693061508,0,127
0.131635,0.000979,0.557304,0.085986,6.48133417,0.0479203417,0,128
0.13264,0.001005,0.500436,0.097971,5.10800135,0.0490282154,0,129
0.133641,0.001001,0.506554,0.086603,5.84915072,0.0438690961,0,130
0.134645,0.001004,0.587681,0.111744,5.25917275,0.0656698257,0,131
0.135651,0.001006,0.516296,0.094354,5.47190368,0.0487145928,0,132
0.136662,0.001011,0.505595,0.137281,3.68292043,0.0694085872,0,133
0.137643,0.000981,0.498252,0.099867,4.98915558,0.0497589325,0,134
0.138654,0.001011,0.52623,0.125091,4.20677747,0.0658266369,0,135
0.139637,0.000983,0.503363,0.106447,4.72876643,0.0535814813,0,136
0.140649,0.001012,0.499164,0.09181,5.43692408,0.0458282468,0,137
0.141633,0.000984,0.503051,0.12908,3.89720328,0.0649338231,0,138
0.14264,0.001007,0.497316,0.105847,4.69844209,0.0526394067,0,139
0.143649,0.001009,0.500556,0.10082,4.96484824,0.0504660559,0,140
0.144633,0.000984,0.505139,0.131462,3.84247159,0.0664065832,0,141
0.145641,0.001008,0.495157,0.134629,3.67793715,0.0666624918,0,142
0.14665,0.001009,0.489566,0.090635,5.40151156,0.0443718144,0,143
0.147635,0.000985,0.566565,0.098433,5.75584408,0.0557686926,0,144
0.148643,0.001008,0.520327,0.102818,5.06066058,0.0534989815,0,145
0.14965,0.001007,0.434042,0.102608,4.23009902,0.0445361815,0,146
0.150634,0.000984,0.536356,0.100083,5.35911194,0.0536801175,0,147
0.151634,0.001,0.49842,0.103568,4.81249034,0.0516203626,0,148
0.152639,0.001005,0.50677,0.116027,4.36769028,0.0587990028,0,149
0.153651,0.001012,0.516176,0.122896,4.20010415,0.0634359657,0,150
0.154633,0.000982,0.641117,0.094192,6.806491,0.0603880925,0,151
0.155638,0.001005,0.514953,0.134935,3.81630415,0.0694851831,0,152
0.156649,0.001011,0.584058,0.103394,5.64885777,0.0603880929,0,153
0.157636,0.000987,0.50905,0.102374,4.97245394,0.0521134847,0,154
0.15865,0.001014,0.505403,0.104516,4.83565196,0.0528226999,0,155
0.159657,0.001007,0.495181,0.094492,5.24045422,0.0467906431,0,156
0.160668,0.001011,0.633775,0.107527,5.89410102,0.0681479244,0,157
0.161678,0.00101,0.513729,0.106321,4.83186765,0.054620181,0,158
0.162634,0.000956,0.599079,0.09523,6.29086422,0.0570502932,0,159
0.163646,0.001012,0.470058,0.13001,3.61555265,0.0611122406,0,160
0.164662,0.001016,0.497364,0.105457,4.71627298,0.0524505153,0,161
0.165678,0.001016,0.503147,0.130028,3.8695281,0.0654231981,0,162
0.166665,0.000987,0.569205,0.106153,5.36211883,0.0604228184,0,163
0.167681,0.001016,0.508138,0.133405,3.80898767,0.0677881499,0,164
0.168643,0.000962,0.448271,0.115637,3.87653606,0.0518367136,0,165
0.169654,0.001011,0.531125,0.121354,4.37665837,0.0644541432,0,166
0.170637,0.000983,0.50106,0.115607,4.33416662,0.0579260434,0,167
0.17165,0.001013,0.482752,0.093364,5.17064393,0.0450716577,0,168
0.172634,0.000984,0.438841,0.101792,4.31115412,0.0446705031,0,169
0.17364,0.001006,0.539379,0.087485,6.16538835,0.0471875718,0,170
0.17465,0.00101,0.540315,0.129038,4.18725492,0.069721167,0,171
0.175633,0.000983,0.513897,0.087575,5.86807879,0.0450045298,0,172
0.176639,0.001006,0.495757,0.089735,5.52467822,0.0444867544,0,173
0.177648,0.001009,0.4989,0.127293,3.91930428,0.0635064777,0,174
0.178656,0.001008,0.506315,0.115109,4.39857005,0.0582814133,0,175
0.179641,0.000985,0.52004,0.102806,5.05845962,0.0534632322,0,176
0.180651,0.00101,0.444216,0.102812,4.32066296,0.0456707354,0,177
0.181636,0.000985,0.445728,0.123753,3.60175511,0.0551601772,0,178
0.182649,0.001013,0.508234,0.12854,3.95389762,0.0653283984,0,179
0.183661,0.001012,0.503003,0.091246,5.51260329,0.0458970117,0,180
0.184645,0.000984,0.604669,0.084642,7.14384112,0.0511803935,0,181
0.185657,0.001012,0.494293,0.092614,5.33713046,0.0457784519,0,182
0.186644,0.000987,0.459597,0.11959,3.84310561,0.0549632052,0,183
0.187659,0.001015,0.56275,0.090317,6.2308314,0.0508258917,0,184
0.188643,0.000984,0.413047,0.106231,3.88819648,0.0438783959,0,185
0.189649,0.001006,0.478097,0.111468,4.28909642,0.0532925164,0,186
0.190636,0.000987,0.45451,0.103688,4.38343878,0.0471272329,0,187
0.191645,0.001009,0.50809,0.119698,4.24476599,0.0608173568,0,188
0.192651,0.001006,0.557591,0.095122,5.8618511,0.0530391711,0,189
0.19366,0.001009,0.453334,0.107353,4.22283495,0.0486667649,0,190
0.194646,0.000986,0.470898,0.105175,4.47728072,0.0495266972,0,191
0.195658,0.001012,0.575468,0.142229,4.04606655,0.0818482382,0,192
0.19664,0.000982,0.474161,0.103634,4.57534207,0.0491392011,0,193
0.197649,0.001009,0.580027,0.103268,5.61671573,0.0598982282,0,194
0.198657,0.001008,0.501516,0.102554,4.89026269,0.0514324719,0,195
0.19964,0.000983,0.505571,0.087575,5.77300599,0.0442753803,0,196
0.200652,0.001012,0.498228,0.096405,5.1680722,0.0480316703,0,197
0.201639,0.000987,0.476009,0.086639,5.49416545,0.0412409438,0,198
0.202653,0.001014,0.475721,0.138396,3.43738981,0.0658378835,0,199
0.203641,0.000988,0.498996,0.101666,4.90818956,0.0507309273,0,200
0.204652,0.001011,0.402225,0.10334,3.89224889,0.0415659315,0,201
0.205653,0.001001,0.475913,0.085686,5.5541512,0.0407790813,0,202
0.206641,0.000988,0.42742,0.106033,4.03100921,0.0453206249,0,203
0.207656,0.001015,0.618706,0.102368,6.04393951,0.0633356958,0,204
0.208644,0.000988,0.492877,0.085782,5.74569257,0.0422799748,0,205
0.209662,0.001018,0.511113,0.124143,4.11713105,0.0634511012,0,206
0.210652,0.00099,0.634711,0.088703,7.15546261,0.0563007698,0,207
0.211641,0.000989,0.471114,0.102854,4.58041496,0.0484559594,0,208
0.212652,0.001011,0.467491,0.106525,4.38855668,0.0497994788,0,209
0.213641,0.000989,0.463508,0.129674,3.57440967,0.0601049364,0,210
0.214658,0.001017,0.463268,0.131708,3.51738695,0.0610161017,0,211
0.215652,0.000994,0.448103,0.112608,3.97931763,0.0504599826,0,212
0.216642,0.00099,0.480472,0.133669,3.59449087,0.0642242118,0,213
0.217652,0.00101,0.521959,0.089129,5.85621964,0.0465216837,0,214
0.218639,0.000987,0.46094,0.101108,4.55888753,0.0466047215,0,215
0.21965,0.001011,0.42718,0.104672,4.08112962,0.044713785,0,216
0.220637,0.000987,0.478625,0.098613,4.853569,0.0471986471,0,217
0.221651,0.001014,0.479632,0.110106,4.35609322,0.052810361,0,218
0.222665,0.001014,0.494797,0.109908,4.50191979,0.0543821487,0,219
0.223644,0.000979,0.509218,0.096933,5.25329867,0.0493600284,0,220
