t_s,src,stream,value,raw_code,seq
-1.999936,3,sma_v,0.522655,0,3735318
-1.999936,4,sma_i,0.108433,0,3735318
-1.999019,2,load,1.867765,3133590,2107700
-1.998928,3,sma_v,0.440665,0,3735319
-1.998928,4,sma_i,0.107329,0,3735319
-1.998012,1,laser,4.496016,1931024081,2107708
-1.997946,3,sma_v,0.518192,0,3735320
-1.997946,4,sma_i,0.105769,0,3735320
-1.997003,2,load,1.865339,3129520,2107701
-1.996936,3,sma_v,0.530093,0,3735321
-1.996936,4,sma_i,0.160993,0,3735321
-1.995996,1,laser,4.496925,1931414658,2107709
-1.995926,4,sma_i,0.161611,0,3735322
-1.995926,3,sma_v,0.673942,0,3735322
-1.994987,2,load,1.865339,3129520,2107702
-1.99494,3,sma_v,0.456909,0,3735323
-1.99494,4,sma_i,0.134113,0,3735323
-1.99398,1,laser,4.496925,1931414658,2107710
-1.993929,3,sma_v,0.50166,0,3735324
-1.993929,4,sma_i,0.09457,0,3735324
-1.992971,2,load,1.867998,3133980,2107703
-1.992942,3,sma_v,0.50713,0,3735325
-1.992942,4,sma_i,0.133969,0,3735325
-1.991964,1,laser,4.496861,1931386851,2107711
-1.991935,3,sma_v,0.393635,0,3735326
-1.991935,4,sma_i,0.106969,0,3735326
-1.990955,2,load,1.871127,3139230,2107704
-1.990927,3,sma_v,0.493309,0,3735327
-1.990927,4,sma_i,0.115415,0,3735327
-1.989954,1,laser,4.495517,1930809902,2107712
-1.989938,3,sma_v,0.492709,0,3735328
-1.989938,4,sma_i,0.132991,0,3735328
-1.988945,2,load,1.871872,3140480,2107705
-1.988928,3,sma_v,0.505787,0,3735329
-1.988928,4,sma_i,0.069249,0,3735329
-1.987943,3,sma_v,0.503315,0,3735330
-1.987943,4,sma_i,0.12265,0,3735330
-1.987938,1,laser,4.495564,1930830051,2107713
-1.986933,3,sma_v,0.506722,0,3735331
-1.986933,4,sma_i,0.122512,0,3735331
-1.986929,2,load,1.870674,3138470,2107706
-1.985925,3,sma_v,0.613092,0,3735332
-1.985925,4,sma_i,0.086867,0,3735332
-1.985922,1,laser,4.49668,1931309167,2107714
-1.984915,4,sma_i,0.10043,0,3735333
-1.984915,3,sma_v,0.688939,0,3735333
-1.984913,2,load,1.870674,3138470,2107707
-1.983941,3,sma_v,0.496309,0,3735334
-1.983941,4,sma_i,0.111048,0,3735334
-1.983906,1,laser,4.49668,1931309167,2107715
-1.982933,3,sma_v,0.50166,0,3735335
-1.982933,4,sma_i,0.10403,0,3735335
-1.982897,2,load,1.871836,3140420,2107708
-1.981923,4,sma_i,0.087689,0,3735336
-1.981923,3,sma_v,0.497628,0,3735336
-1.98189,1,laser,4.496272,1931134242,2107716
