t_s,dt_s,v_sma_V,i_A,r_ohm,p_W,dac_code,seq
0.078443,0.001007,0.549745,0.097359,5.64657607,0.0535226235,49,75
0.079431,0.000988,0.54713,0.105931,5.16496587,0.057958028,51,76
0.080436,0.001005,0.574532,0.130322,4.40855727,0.0748741593,51,77
0.081442,0.001006,0.534005,0.126945,4.20658553,0.0677892647,51,78
0.082449,0.001007,0.501276,0.142139,3.52666052,0.0712508694,51,79
0.08343,0.000981,0.576211,0.14199,4.05810973,0.0818161999,51,80
0.084436,0.001006,0.504539,0.117101,4.30857977,0.0590820214,45,81
0.085441,0.001005,0.614123,0.108193,5.67618053,0.0664438097,45,82
0.086444,0.001003,0.722676,0.104114,6.94119907,0.0752406891,47,83
0.087452,0.001008,0.512961,0.110274,4.65169487,0.0565662613,46,84
0.088436,0.000984,0.547706,0.101642,5.38857952,0.0556699333,50,85
0.08944,0.001004,0.659497,0.105925,6.22607505,0.0698572197,51,86
0.090419,0.000979,0.669071,0.118924,5.62603848,0.0795685996,51,87
0.091423,0.001004,0.58449,0.147538,3.96162345,0.0862344856,51,88
0.092434,0.001011,0.564238,0.110112,5.12421898,0.0621293747,50,89
0.09344,0.001006,0.579955,0.112032,5.17669059,0.0649735186,47,90
0.094444,0.001004,0.481864,0.1128,4.27184397,0.0543542592,44,91
0.095421,0.000977,0.549313,0.131318,4.18307467,0.0721346845,44,92
0.096431,0.00101,0.550417,0.106195,5.1830783,0.0584515333,45,93
0.097436,0.001005,0.557256,0.146722,3.79803983,0.0817617148,45,94
0.098444,0.001008,0.72222,0.102134,7.07129849,0.0737632175,48,95
0.099426,0.000982,0.614171,0.118607,5.17820196,0.0728449798,41,96
0.100434,0.001008,0.548377,0.107071,5.12162023,0.0587152738,42,97
0.101423,0.000989,0.547058,0.107731,5.07799983,0.0589351054,41,98
0.10244,0.001017,0.536068,0.112578,4.76174741,0.0603494633,38,99
0.103432,0.000992,0.553392,0.102836,5.38130616,0.0569086197,41,100
0.104443,0.001011,0.595143,0.104672,5.6857899,0.0622948081,42,101
0.105426,0.000983,0.552816,0.127149,4.34778095,0.0702900016,42,102
0.106436,0.00101,0.557591,0.139962,3.98387419,0.0780415515,42,103
0.107423,0.000987,0.506147,0.126519,4.00056118,0.0640372123,42,104
0.108438,0.001015,0.613667,0.14064,4.36338879,0.0863061269,42,105
0.109426,0.000988,0.552241,0.106525,5.18414457,0.0588274725,43,106
0.110439,0.001013,0.489326,0.117989,4.14721711,0.0577350854,36,107
0.111425,0.000986,0.53506,0.112404,4.76015088,0.0601428842,33,108
0.112439,0.001014,0.559631,0.094774,5.90490008,0.0530384684,41,109
0.113448,0.001009,0.553536,0.133513,4.14593335,0.073904252,41,110
0.114454,0.001006,0.558479,0.114641,4.87154683,0.064024591,36,111
0.115465,0.001011,0.650691,0.109189,5.95930909,0.0710482996,35,112
0.116431,0.000966,0.682077,0.114299,5.96748003,0.077960719,30,113
0.117467,0.001036,0.52611,0.098301,5.35203101,0.0517171391,36,114
0.118435,0.000968,0.496285,0.102068,4.86229768,0.0506548174,39,115
0.119451,0.001016,0.448919,0.113028,3.97175036,0.0507404167,35,116
0.120421,0.00097,0.584826,0.115277,5.07322363,0.0674169868,30,117
0.121425,0.001004,0.448751,0.115451,3.88693905,0.0518087517,24,118
0.122432,0.001007,0.50797,0.141816,3.58189485,0.0720382735,24,119
0.123433,0.001001,0.483423,0.13815,3.49926167,0.0667848874,24,120
0.124437,0.001004,0.432698,0.11142,3.88348591,0.0482112112,21,121
0.125442,0.001005,0.434426,0.112836,3.85006558,0.0490188921,17,122
0.126443,0.001001,0.552913,0.106093,5.21158795,0.0586601989,17,123
0.127421,0.000978,0.520759,0.100029,5.20608024,0.052091002,21,124
0.128428,0.001007,0.535228,0.11373,4.70612855,0.0608714804,16,125
0.129436,0.001008,0.468187,0.103106,4.54083177,0.0482728888,18,126
0.130439,0.001003,0.517496,0.094234,5.491606,0.0487657181,26,127
0.131444,0.001005,0.498948,0.106657,4.67806145,0.0532162968,26,128
0.132427,0.000983,0.547418,0.13923,3.93175321,0.0762170081,26,129
0.133438,0.001011,0.523063,0.146992,3.55844536,0.0768860765,26,130
0.134425,0.000987,0.464204,0.09478,4.89769994,0.0439972551,34,131
0.13544,0.001015,0.528366,0.100161,5.27516698,0.0529216669,38,132
0.136424,0.000984,0.558383,0.146746,3.80509861,0.0819404717,38,133
0.137436,0.001012,0.617051,0.126057,4.89501575,0.0777835979,38,134
0.13842,0.000984,0.552073,0.141036,3.91441192,0.0778621676,38,135
0.139439,0.001019,0.446543,0.108031,4.13347095,0.0482404868,38,136
0.140431,0.000992,0.456837,0.114174,4.00123496,0.0521589076,33,137
0.141442,0.001011,0.609396,0.116567,5.22786037,0.0710354635,26,138
0.142432,0.00099,0.63056,0.094834,6.6490921,0.059798527,34,139
0.143444,0.001012,0.495901,0.111726,4.43854609,0.0554050351,31,140
0.144431,0.000987,0.456045,0.124647,3.65869215,0.0568446411,31,141
0.145438,0.001007,0.484479,0.107665,4.49987461,0.0521614315,30,142
0.14645,0.001012,0.616475,0.095422,6.46051225,0.0588252775,37,143
0.147432,0.000982,0.485103,0.137556,3.52658554,0.0667288283,37,144
0.148441,0.001009,0.559103,0.107893,5.18201366,0.0603233,37,145
0.149452,0.001011,0.54653,0.097389,5.61182474,0.0532260102,43,146
0.150438,0.000986,0.481864,0.098637,4.88522563,0.0475296194,48,147
0.151441,0.001003,0.483543,0.1234,3.91850081,0.0596692062,48,148
0.152449,0.001008,0.506842,0.106411,4.76306021,0.0539335641,49,149
0.153435,0.000986,0.474185,0.116081,4.0849493,0.055043869,43,150
0.154443,0.001008,0.494653,0.106513,4.64406223,0.052686975,43,151
0.155448,0.001005,0.554112,0.111966,4.94893093,0.0620417042,39,152
0.156433,0.000985,0.60071,0.100682,5.96640909,0.0604806842,43,153
0.157439,0.001006,0.50701,0.114563,4.42559989,0.0580845866,38,154
0.158443,0.001004,0.540651,0.136027,3.97458593,0.0735431336,38,155
0.159444,0.001001,0.548234,0.096375,5.68854994,0.0528360518,45,156
0.160428,0.000984,0.478553,0.106393,4.49797449,0.0509146893,45,157
0.161437,0.001009,0.638838,0.152877,4.17877117,0.0976636369,45,158
0.16244,0.001003,0.502283,0.140268,3.58088089,0.0704542318,45,159
0.163427,0.000987,0.588041,0.117899,4.98766741,0.0693294459,38,160
0.164444,0.001017,0.669095,0.107191,6.24208189,0.0717209621,38,161
0.165434,0.00099,0.540843,0.10169,5.31854656,0.0549983247,41,162
0.166446,0.001012,0.482176,0.088757,5.43254053,0.0427964952,41,163
0.167436,0.00099,0.448295,0.102068,4.39212094,0.0457565741,44,164
0.168435,0.000999,0.520975,0.100233,5.1976395,0.0522188872,48,165
0.169424,0.000989,0.674422,0.117815,5.7244154,0.0794570279,41,166
0.170439,0.001015,0.638238,0.117773,5.41922172,0.075167204,34,167
0.171428,0.000989,0.6278,0.111852,5.61277402,0.0702206856,30,168
0.172442,0.001014,0.469387,0.107707,4.35799902,0.0505562656,29,169
0.173431,0.000989,0.540579,0.109956,4.91632107,0.0594399045,27,170
0.174442,0.001011,0.629432,0.116351,5.40976872,0.0732350426,20,171
0.175454,0.001012,0.406832,0.109638,3.71068425,0.0446042468,17,172
0.176433,0.000979,0.631831,0.101444,6.2283723,0.064095464,20,173
0.177443,0.00101,0.53554,0.096855,5.52929637,0.0518697267,26,174
0.17842,0.000977,0.5001,0.095997,5.2095378,0.0480080997,33,175
0.179426,0.001006,0.506123,0.135997,3.72157474,0.0688312096,33,176
0.180433,0.001007,0.502979,0.133795,3.75932583,0.0672960753,33,177
0.181439,0.001006,0.536812,0.141066,3.80539606,0.0757259216,33,178
0.182441,0.001002,0.503795,0.101726,4.95247036,0.0512490502,36,179
0.183441,0.001,0.51956,0.127155,4.08603673,0.0660646518,36,180
0.184441,0.001,0.585497,0.11367,5.15084895,0.066553444,31,181
0.185442,0.001001,0.467779,0.134479,3.47845388,0.0629064521,31,182
0.186415,0.000973,0.554064,0.110778,5.00157071,0.0613781018,28,183
0.18744,0.001025,0.639918,0.112416,5.69241033,0.0719370219,24,184
0.188444,0.001004,0.690331,0.094636,7.29459191,0.0653301645,32,185
0.189422,0.000978,0.547322,0.099897,5.47886323,0.0546758258,36,186
0.190423,0.001001,0.64522,0.123693,5.21630165,0.0798091975,36,187
0.191428,0.001005,0.680829,0.101774,6.68961621,0.0692906906,39,188
0.19244,0.001012,0.615779,0.11899,5.17504832,0.0732715432,39,189
0.193447,0.001007,0.571053,0.114539,4.98566427,0.0654078396,34,190
