level_mA,heat_ms,cycle,bootstrap,i_mA,dx_um,x_base_um,baseline_V,peak_V,rise_V,clipped
150,300,1,1,123.32,90.63,-3794.60,1.95074,1.98521,0.03447,0
150,300,2,0,147.21,93.85,-3793.35,1.95138,1.98521,0.03383,0
150,300,3,0,153.25,37.60,-3615.79,2.00707,2.02605,0.01898,0
150,300,4,0,135.01,55.18,-3607.55,2.00965,2.03064,0.02098,0
150,300,5,0,122.98,48.68,-3587.54,2.01561,2.03561,0.02000,0
150,300,6,0,135.98,47.26,-3585.65,2.01602,2.03727,0.02125,0
150,300,7,0,133.14,30.93,-3546.80,2.02815,2.04437,0.01622,0
150,300,8,0,124.10,-38.14,-3528.64,2.03348,2.04437,0.01089,0
150,300,9,0,152.00,28.61,-3589.72,2.01376,2.02815,0.01439,0
150,300,10,0,156.52,44.81,-3618.70,2.00640,2.02583,0.01942,0
150,300,11,0,134.30,75.75,-3668.47,1.99027,2.01847,0.02820,0
150,300,12,0,133.39,70.27,-3658.81,1.99275,2.02175,0.02900,0
150,300,13,0,123.04,-18.93,-3596.76,2.01178,2.02101,0.00923,0
150,300,14,0,152.69,32.13,-3610.32,2.00709,2.02286,0.01577,0
150,300,15,0,121.38,7.87,-3598.56,2.01096,2.02357,0.01261,0
150,300,16,0,155.86,46.04,-3581.20,2.01712,2.03741,0.02030,0
150,300,17,0,131.43,11.45,-3589.21,2.01456,2.02491,0.01036,0
150,300,18,0,126.19,7.96,-3586.44,2.01527,2.02491,0.00965,0
250,300,1,1,176.68,74.96,-3798.34,1.94882,1.98159,0.03278,0
250,300,2,0,250.74,139.86,-3633.12,2.00145,2.04853,0.04708,0
250,300,3,0,252.37,125.48,-3626.29,2.00249,2.04477,0.04229,0
250,300,4,0,256.95,162.66,-3672.65,1.98876,2.04515,0.05639,0
250,300,5,0,248.75,141.73,-3649.21,1.99655,2.04392,0.04736,0
250,300,6,0,250.13,146.83,-3631.55,2.00159,2.05133,0.04974,0
350,300,1,1,191.10,248.35,-3772.51,1.95723,2.04143,0.08420,0
350,300,2,0,350.89,309.87,-3589.81,2.01468,2.12311,0.10842,0
350,300,3,0,346.11,279.54,-3592.46,2.01314,2.11171,0.09857,0
350,300,4,0,352.84,291.40,-3545.19,2.02813,2.13112,0.10300,0
350,300,5,0,348.47,278.77,-3572.73,2.01814,2.11840,0.10026,0
350,300,6,0,350.48,305.11,-3486.91,2.04707,2.15645,0.10938,0
450,300,1,1,224.58,254.75,-3759.62,1.96052,2.04740,0.08689,0
450,300,2,0,449.79,563.23,-3544.75,2.02924,2.21865,0.18941,0
450,300,3,0,448.50,519.70,-3620.86,2.00450,2.18144,0.17693,0
450,300,4,0,447.07,524.44,-3530.34,2.03145,2.20792,0.17648,0
450,300,5,0,448.36,542.73,-3533.67,2.03065,2.21226,0.18161,0
450,300,6,0,448.07,520.32,-3504.92,2.03957,2.21446,0.17489,0
550,300,1,1,275.57,301.27,-3761.76,1.96188,2.06158,0.09970,0
550,300,2,0,547.52,896.65,-3532.05,2.03391,2.32620,0.29229,0
550,300,3,0,547.29,878.81,-3461.58,2.05528,2.34366,0.28838,0
550,300,4,0,715.55,2301.22,-3438.47,2.06288,2.80367,0.74078,0
550,300,5,0,549.16,910.36,-3247.00,2.12255,2.41861,0.29606,0
550,300,6,0,549.01,883.20,-3348.47,2.08919,2.37948,0.29029,0
650,300,1,1,342.91,400.79,-3763.56,1.96376,2.09382,0.13007,0
650,300,2,0,647.62,1440.65,-3576.26,2.02042,2.48531,0.46489,0
650,300,3,0,952.72,7653.85,-2626.10,2.32256,5.00000,2.67744,1
650,300,4,0,1010.42,996.81,4030.80,4.41681,5.00000,0.58319,1
650,300,5,0,1027.19,257.12,4770.50,4.65188,5.00000,0.34812,1
650,300,6,0,648.82,2158.12,1190.76,3.52283,4.21220,0.68937,0
750,300,1,1,131.19,8683.37,-3655.61,1.99365,5.00000,3.00635,1
750,300,2,0,109.32,-578.79,-1118.74,2.79417,2.78662,-0.00755,0
850,300,1,1,399.12,629.34,-3741.87,1.96697,2.17662,0.20965,0
850,300,2,0,848.29,4369.63,-3486.98,2.04487,3.45384,1.40897,0
850,300,3,0,846.37,4105.21,-2673.29,2.30461,3.62872,1.32411,0
850,300,4,0,846.16,3923.59,-2483.40,2.36744,3.61908,1.25164,0
850,300,5,0,847.06,3927.67,-2224.73,2.44802,3.69931,1.25130,0
850,300,6,0,1211.84,7114.85,-2087.33,2.49042,5.00000,2.50958,1
950,300,1,1,394.60,900.98,-3782.92,1.95295,2.24395,0.29100,0
950,300,2,0,946.97,7239.70,-3541.59,2.02791,4.35775,2.32984,0
950,300,3,0,946.56,6124.43,-1889.96,2.54863,4.51715,1.96852,0
950,300,4,0,947.53,5588.26,-1369.76,2.71274,4.49421,1.78147,0
950,300,5,0,945.97,5353.74,-1148.92,2.78401,4.48945,1.70543,0
950,300,6,0,948.20,5878.10,-976.91,2.84322,4.72797,1.88475,0
150,400,1,1,142.09,106.46,-3801.55,1.94687,1.98720,0.04033,0
150,400,2,0,135.60,-88.85,-3651.42,1.99361,1.99603,0.00243,0
150,400,3,0,153.40,85.55,-3775.99,1.95224,1.98835,0.03610,0
150,400,4,0,131.70,98.62,-3617.16,2.00553,2.04371,0.03818,0
150,400,5,0,150.54,50.35,-3568.89,2.02216,2.04371,0.02155,0
150,400,6,0,119.79,7.65,-3558.27,2.02320,2.03182,0.00862,0
150,400,7,0,126.87,8.09,-3558.71,2.02303,2.03182,0.00879,0
150,400,8,0,149.28,36.86,-3610.75,2.00830,2.02581,0.01751,0
150,400,9,0,152.16,36.66,-3620.00,2.00276,2.02282,0.02006,0
150,400,10,0,136.35,69.03,-3631.91,1.99950,2.02970,0.03020,0
150,400,11,0,151.34,49.25,-3597.92,2.01112,2.03317,0.02205,0
250,400,1,1,189.32,243.19,-3828.21,1.93845,2.01912,0.08067,0
250,400,2,0,155.38,236.57,-3789.23,1.95110,2.03130,0.08020,0
250,400,3,0,152.23,94.63,-3631.74,2.00106,2.03768,0.03662,0
250,400,4,0,247.60,148.63,-3708.52,1.97545,2.02774,0.05229,0
250,400,5,0,247.77,182.50,-3653.88,1.99317,2.05819,0.06502,0
250,400,6,0,250.02,156.25,-3596.26,2.01046,2.06585,0.05539,0
250,400,7,0,252.39,173.74,-3617.97,2.00454,2.06724,0.06269,0
250,400,8,0,153.97,213.29,-3577.04,2.01913,2.09251,0.07338,0
250,400,9,0,249.50,185.83,-3549.58,2.02809,2.09251,0.06442,0
350,400,1,1,198.93,310.81,-3842.76,1.93514,2.04023,0.10509,0
350,400,2,0,346.63,372.98,-3694.80,1.97857,2.10419,0.12562,0
350,400,3,0,348.56,397.44,-3674.62,1.98674,2.12454,0.13780,0
