level_mA,heat_ms,cycle,bootstrap,i_mA,dx_um,x_base_um,baseline_V,peak_V,rise_V,clipped
750,400,1,1,354.36,740.96,-4226.70,1.80083,2.04376,0.24293,0
750,400,2,0,748.29,3949.01,-4020.68,1.86544,3.13559,1.27016,0
750,400,3,0,748.09,3752.12,-3691.72,1.96969,3.16001,1.19033,0
750,400,4,0,747.98,3783.58,-3656.65,1.98249,3.17847,1.19598,0
950,300,1,1,388.75,804.40,-4210.17,1.80726,2.07044,0.26318,0
950,300,2,0,946.54,6230.99,-4034.53,1.86035,3.90196,2.04161,0
950,300,3,0,946.25,5910.87,-3556.88,2.01170,3.91464,1.90294,0
950,300,4,0,946.66,5983.18,-3581.59,2.00415,3.90909,1.90494,0
850,400,1,1,393.21,1063.17,-4242.36,1.79449,2.13799,0.34350,0
850,400,2,0,848.04,6832.42,-4021.58,1.86475,4.08130,2.21655,0
850,400,3,0,847.44,6446.10,-3645.94,1.98221,4.02837,2.04616,0
850,400,4,0,849.07,6248.76,-3573.97,2.00507,3.99206,1.98699,0
950,400,1,1,431.27,1330.93,-4253.09,1.79268,2.22024,0.42756,0
950,400,2,0,947.25,9125.79,-4098.05,1.83616,4.98117,3.14501,0
950,400,3,0,947.29,8621.74,-3593.99,2.00074,5.00000,2.99926,1
950,400,4,0,946.82,8576.71,-3548.96,2.01547,5.00000,2.98453,1
