t_rel_s,displacement_um,force_N,sma_v,sma_i,sma_r,stage_mm
0.74999928,-3873.6734,0.21517824,0.52900939,0.13017717,3.9603265,79.999979
0.75999928,-3874.326,0.21504058,0.52790957,0.12978609,3.9692361,79.999979
0.76999927,-3874.6109,0.2144685,0.52662825,0.12963375,3.9639655,79.999979
0.77999926,-3874.8838,0.21469259,0.52534693,0.12948142,3.9586949,79.999979
0.78999925,-3874.1484,0.21501113,0.52406561,0.12932908,3.9534243,79.999979
0.79999924,-3875.6104,0.21448638,0.52278429,0.12917675,3.9481536,79.999979
0.80999923,-3872.307,0.21508864,0.52150297,0.12902442,3.942883,79.999979
0.81999922,-3873.006,0.21548149,0.52022165,0.12887208,3.9376124,79.999979
0.82999921,-3873.333,0.21525502,0.51894032,0.12871975,3.9323418,79.999979
0.8399992,-3872.9115,0.21536542,0.517659,0.12856741,3.9270712,79.999979
0.84999919,-3872.7041,0.21517755,0.51637768,0.12841508,3.9218006,79.999979
0.85999918,-3872.3127,0.21528367,0.51509636,0.12826274,3.91653,79.999979
0.86999917,-3870.4905,0.21528055,0.51381504,0.12811041,3.9112594,79.999979
0.87999916,-3868.8774,0.21573218,0.51253372,0.12795807,3.9059888,79.999979
0.88999915,-3870.4499,0.21576504,0.5112524,0.12780574,3.9007182,79.999979
0.89999914,-3870.3939,0.21539753,0.50997108,0.1276534,3.8954475,79.999979
0.90999913,-3869.4354,0.21503001,0.50868976,0.12750107,3.8901769,79.999979
0.91999912,-3868.1458,0.21556563,0.50740844,0.12734873,3.8849063,79.999979
0.92999911,-3869.9971,0.2156824,0.50618871,0.12790741,3.8611593,79.999979
0.9399991,-3867.2525,0.21565372,0.50502519,0.12926779,3.8165787,79.999979
0.94999909,-3867.3629,0.21505413,0.50386168,0.13062818,3.7719981,79.999979
0.95999908,-3867.3947,0.21499248,0.50269816,0.13198857,3.7274176,79.999979
0.96999907,-3868.3338,0.21544051,0.50153464,0.13334895,3.682837,79.999979
0.97999907,-3867.835,0.21508347,0.50037113,0.13470934,3.6382564,79.999979
0.98999906,-3868.4296,0.21552975,0.49920761,0.13606973,3.5936759,79.999979
0.99999905,-3867.7484,0.21538492,0.49804409,0.13743011,3.5490953,79.999979
1.009999,-3866.8049,0.21512586,0.49688058,0.1387905,3.5045147,79.999979
1.019999,-3865.7509,0.21551412,0.49571706,0.14015089,3.4599341,79.999979
1.029999,-3865.1588,0.21551412,0.49455354,0.14151127,3.4153536,79.999979
1.039999,-3865.1327,0.21515001,0.49339003,0.14287166,3.370773,79.999979
1.049999,-3864.4792,0.2155048,0.49222651,0.14423205,3.3261924,79.999979
1.059999,-3863.9768,0.21635499,0.49106299,0.14559243,3.2816119,79.999979
1.069999,-3863.1231,0.21586245,0.49020544,0.14596687,3.2573223,79.999979
1.079999,-3861.7929,0.21555086,0.4896541,0.14482868,3.2830024,79.999979
1.089999,-3862.0882,0.21584287,0.48910276,0.1436905,3.3086825,79.999979
1.099999,-3862.3006,0.21650214,0.48855141,0.14255232,3.3343625,79.999979
1.1099989,-3861.3028,0.21607163,0.48800007,0.14141413,3.3600426,79.999979
1.1199989,-3860.9417,0.21638786,0.48744873,0.14027595,3.3857227,79.999979
1.1299989,-3858.1314,0.21599233,0.48689739,0.13913777,3.4114027,79.999979
1.1399989,-3862.0328,0.21586392,0.48634605,0.13799958,3.4370828,79.999979
1.1499989,-3861.5528,0.21588356,0.4857947,0.1368614,3.4627629,79.999979
1.1599989,-3862.0932,0.21575743,0.48524336,0.13572322,3.4884429,79.999979
1.1699989,-3861.712,0.21612886,0.48469202,0.13458504,3.514123,79.999979
1.1799989,-3858.6009,0.21548138,0.48414068,0.13344685,3.5398031,79.999979
1.1899989,-3857.8641,0.21553341,0.48358933,0.13230867,3.5654832,79.999979
1.1999989,-3856.4776,0.21562755,0.48303799,0.13117049,3.5911632,79.999979
1.2099988,-3858.7215,0.2162055,0.48248665,0.1300323,3.6168433,79.999979
1.2199988,-3859.6395,0.21611835,0.48193531,0.12889412,3.6425234,79.999979
1.2299988,-3856.1455,0.21513387,0.48138397,0.12775594,3.6682034,79.999979
1.2399988,-3853.5244,0.21613899,0.48167375,0.12820117,3.6608423,79.999979
1.2499988,-3858.0981,0.21614735,0.48222035,0.1294398,3.6323898,79.999979
1.2599988,-3856.3058,0.21517111,0.48276696,0.13067843,3.6039373,79.999979
1.2699988,-3856.5754,0.21521299,0.48331356,0.13191707,3.5754848,79.999979
1.2799988,-3856.333,0.2154476,0.48386016,0.1331557,3.5470324,79.999979
1.2899988,-3855.1039,0.21578829,0.48440677,0.13439433,3.5185799,79.999979
1.2999988,-3857.9138,0.21598214,0.48495337,0.13563297,3.4901274,79.999979
1.3099988,-3853.6863,0.21596584,0.48549998,0.1368716,3.4616749,79.999979
1.3199987,-3853.3275,0.21622658,0.48604658,0.13811023,3.4332224,79.999979
1.3299987,-3855.8979,0.21615867,0.48659319,0.13934887,3.4047699,79.999979
1.3399987,-3853.715,0.21611675,0.48713979,0.1405875,3.3763175,79.999979
1.3499987,-3850.665,0.21634232,0.4876864,0.14182613,3.347865,79.999979
1.3599987,-3852.9303,0.21608503,0.488233,0.14306477,3.3194125,79.999979
1.3699987,-3851.026,0.21596215,0.48877961,0.1443034,3.29096,79.999979
1.3799987,-3850.3541,0.21591492,0.48831808,0.14500692,3.2698084,79.999979
1.3899987,-3851.8173,0.21538027,0.48739996,0.14514826,3.2602223,79.999979
1.3999987,-3850.3597,0.21544547,0.48648183,0.1452896,3.2506362,79.999979
1.4099987,-3847.5395,0.21589331,0.48556371,0.14543093,3.2410501,79.999979
1.4199986,-3849.3592,0.2158984,0.48464558,0.14557227,3.231464,79.999979
1.4299986,-3850.7077,0.21630268,0.48372745,0.14571361,3.2218779,79.999979
1.4399986,-3848.2229,0.21596912,0.48280933,0.14585494,3.2122918,79.999979
1.4499986,-3848.7448,0.21690719,0.4818912,0.14599628,3.2027057,79.999979
1.4599986,-3848.2179,0.21679843,0.48097308,0.14613761,3.1931196,79.999979
1.4699986,-3847.1429,0.21576183,0.48005495,0.14627895,3.1835335,79.999979
1.4799986,-3846.058,0.21635166,0.47913682,0.14642029,3.1739473,79.999979
1.4899986,-3845.9278,0.21677495,0.4782187,0.14656162,3.1643612,79.999979
1.4999986,-3846.9148,0.21653776,0.47730057,0.14670296,3.1547751,79.999979
