host_timestamp_s,monotonic_s,kind,detail
1783536792.935580,703445.312000,session,start console_20260708_145312
1783536811.856412,703464.234000,warn,H7 silent 1.0s — no new samples (critical; other instruments still recording)
1783536813.852762,703466.234000,disarm,disarm
1783536813.914016,703466.296000,disarm,disarm
1783536813.975727,703466.359000,disarm,disarm
1783536814.037530,703466.421000,disarm,disarm
1783536814.099664,703466.484000,disarm,disarm
1783536814.160786,703466.546000,disarm,disarm
1783536814.223508,703466.609000,disarm,disarm
1783536814.286277,703466.671000,disarm,disarm
1783536814.362974,703466.750000,disarm,disarm
1783536814.424269,703466.812000,disarm,disarm
1783536814.486534,703466.859000,disarm,disarm
1783536814.549448,703466.937000,disarm,disarm
1783536814.611753,703467.000000,disarm,disarm
1783536814.674855,703467.062000,disarm,disarm
1783536814.737377,703467.125000,disarm,disarm
1783536814.797884,703467.171000,disarm,disarm
1783536814.862406,703467.250000,disarm,disarm
1783536814.922321,703467.296000,disarm,disarm
1783536814.982927,703467.359000,disarm,disarm
1783536815.045801,703467.421000,disarm,disarm
1783536815.108818,703467.484000,disarm,disarm
1783536815.170089,703467.546000,disarm,disarm
1783536815.231287,703467.609000,disarm,disarm
1783536815.294747,703467.671000,disarm,disarm
1783536815.357347,703467.734000,disarm,disarm
1783536815.419310,703467.796000,disarm,disarm
1783536815.480521,703467.859000,disarm,disarm
1783536815.542876,703467.921000,disarm,disarm
1783536815.604912,703467.984000,disarm,disarm
1783536815.666755,703468.046000,disarm,disarm
1783536815.729195,703468.109000,disarm,disarm
1783536815.791233,703468.171000,disarm,disarm
1783536815.853708,703468.234000,disarm,disarm
1783536815.915623,703468.296000,disarm,disarm
1783536815.977880,703468.359000,disarm,disarm
1783536816.041609,703468.421000,disarm,disarm
1783536816.101596,703468.484000,disarm,disarm
1783536816.175641,703468.562000,disarm,disarm
1783536816.226556,703468.609000,disarm,disarm
1783536816.287025,703468.671000,disarm,disarm
1783536816.349936,703468.734000,disarm,disarm
1783536816.410468,703468.796000,disarm,disarm
1783536816.473278,703468.859000,disarm,disarm
1783536816.535915,703468.921000,disarm,disarm
1783536816.612453,703469.000000,disarm,disarm
1783536816.674241,703469.062000,disarm,disarm
1783536816.736042,703469.109000,disarm,disarm
1783536816.797662,703469.171000,disarm,disarm
1783536816.859804,703469.234000,disarm,disarm
1783536816.921331,703469.296000,disarm,disarm
1783536816.983372,703469.359000,disarm,disarm
1783536817.045222,703469.421000,disarm,disarm
1783536817.107506,703469.484000,disarm,disarm
1783536817.169910,703469.546000,disarm,disarm
1783536817.243281,703469.625000,disarm,disarm
1783536817.292341,703469.671000,disarm,disarm
1783536817.352464,703469.734000,disarm,disarm
1783536817.418078,703469.796000,disarm,disarm
1783536817.474281,703469.859000,disarm,disarm
1783536817.548321,703469.921000,disarm,disarm
1783536817.605176,703469.984000,disarm,disarm
1783536817.666202,703470.046000,disarm,disarm
1783536817.727248,703470.109000,disarm,disarm
1783536817.787587,703470.171000,disarm,disarm
1783536817.851013,703470.234000,disarm,disarm
1783536817.911816,703470.296000,disarm,disarm
1783536817.974572,703470.359000,disarm,disarm
1783536818.036036,703470.421000,disarm,disarm
1783536818.099233,703470.484000,disarm,disarm
1783536818.169401,703470.546000,disarm,disarm
1783536818.230114,703470.609000,disarm,disarm
1783536818.286749,703470.671000,disarm,disarm
1783536818.348021,703470.734000,disarm,disarm
1783536818.411799,703470.796000,disarm,disarm
1783536818.476039,703470.859000,disarm,disarm
1783536818.539933,703470.921000,disarm,disarm
1783536818.607438,703470.984000,disarm,disarm
1783536818.650288,703471.031000,reconnect,H7 restart requested
1783536819.662138,703472.046000,warn,H7 silent 1.0s — no new samples (critical; other instruments still recording)
1783536830.196523,703482.578000,arm,arm
1783536830.197526,703482.578000,cmd,idle 0.5
1783536832.939175,703485.312000,session,recording start
1783536833.016959,703485.390000,camera,video recording start
1783536848.552023,703500.937000,cmd,cycle 3 0.5 100 3000 10
1783536849.588340,703501.968000,cmd,ping
1783536850.589713,703502.968000,cmd,ping
