t_rel_s,displacement_um,force_N,sma_v,sma_i,sma_r,sma_power_W,stage_mm
0,-4811.3966,0.22436112,0.49595,0.112168,4.321486,0.05562972,79.999979
0.0099999905,-4810.1523,0.22436112,0.49595,0.112168,4.321486,0.05562972,79.999979
0.019999981,-4807.5343,0.22383628,0.49595,0.112168,4.321486,0.05562972,79.999979
0.029999971,-4809.3855,0.2243249,0.49595,0.112168,4.321486,0.05562972,79.999979
0.039999962,-4810.679,0.22521599,0.49595,0.112168,4.321486,0.05562972,79.999979
0.049999952,-4809.8761,0.2248069,0.49595,0.112168,4.321486,0.05562972,79.999979
0.059999943,-4811.4522,0.224668,0.49595,0.112168,4.321486,0.05562972,79.999979
0.069999933,-4809.7284,0.2248611,0.49595,0.112168,4.321486,0.05562972,79.999979
0.079999924,-4811.1358,0.22526837,0.49595,0.112168,4.321486,0.05562972,79.999979
0.089999914,-4808.0789,0.22544452,0.49595,0.112168,4.321486,0.05562972,79.999979
0.099999905,-4810.367,0.22406753,0.49595,0.112168,4.321486,0.05562972,79.999979
0.1099999,-4810.0487,0.22437261,0.49595,0.112168,4.321486,0.05562972,79.999979
0.11999989,-4808.6525,0.22432896,0.49595,0.112168,4.321486,0.05562972,79.999979
0.12999988,-4808.326,0.22432896,0.49595,0.112168,4.321486,0.05562972,79.999979
0.13999987,-4807.6219,0.22432896,0.49595,0.112168,4.321486,0.05562972,79.999979
0.14999986,-4812.0977,0.22513772,0.49595,0.112168,4.321486,0.05562972,79.999979
0.15999985,-4807.9926,0.22514468,0.49595,0.112168,4.321486,0.05562972,79.999979
0.16999984,-4809.1274,0.22460822,0.49595,0.112168,4.321486,0.05562972,79.999979
0.17999983,-4810.2703,0.22539096,0.49595,0.112168,4.321486,0.05562972,79.999979
0.18999982,-4808.3417,0.22530085,0.49595,0.112168,4.321486,0.05562972,79.999979
0.19999981,-4808.4013,0.2252513,0.49595,0.112168,4.321486,0.05562972,79.999979
0.2099998,-4810.5175,0.22541146,0.49595,0.112168,4.321486,0.05562972,79.999979
0.21999979,-4807.9051,0.22500075,0.49595,0.112168,4.321486,0.05562972,79.999979
0.22999978,-4808.2304,0.22473189,0.49595,0.112168,4.321486,0.05562972,79.999979
0.23999977,-4810.7924,0.22470515,0.49595,0.112168,4.321486,0.05562972,79.999979
0.24999976,-4807.7819,0.22427464,0.49595,0.112168,4.321486,0.05562972,79.999979
