level_mA,heat_ms,cycle,bootstrap,i_mA,dx_um,x_base_um,baseline_V,peak_V,rise_V,clipped
750,400,1,1,747.27,3486.99,-4349.41,1.76368,2.87659,1.11291,0
750,400,2,0,748.43,3709.88,-3872.03,1.91042,3.10078,1.19036,0
750,400,3,0,747.73,3579.45,-3742.50,1.95194,3.09033,1.13840,0
750,400,4,0,748.42,3696.18,-3751.50,1.94893,3.12164,1.17271,0
950,300,1,1,946.15,5609.03,-4267.57,1.78716,3.61703,1.82987,0
950,300,2,0,1190.72,8688.63,-3661.08,1.97954,5.00000,3.02046,1
950,300,3,0,946.40,6481.30,-3569.97,2.00670,4.10255,2.09584,0
950,300,4,0,945.75,6018.88,-3746.73,1.94946,3.89397,1.94451,0
850,400,1,1,848.15,6213.23,-4269.46,1.78587,3.77855,1.99268,0
850,400,2,0,847.83,7017.36,-3557.68,2.01310,4.29217,2.27907,0
850,400,3,0,847.34,6882.02,-3598.59,1.99900,4.20097,2.20196,0
850,400,4,0,847.61,6686.85,-3603.89,1.99714,4.14260,2.14546,0
950,400,1,1,127.41,9321.11,-4293.36,1.77841,5.00000,3.22159,1
950,400,2,0,109.07,-50.68,-3481.84,2.03437,2.04800,0.01363,0
