file,level_mA,heat_ms,cycle,bootstrap,railed,i_mA,dx_um,x_base_um,F_base_mN,dF_mN,clipped
c00_level_750mA_h400ms,750,400,1,1,0,747.27,3486.99,-4349.41,176.246,109.099,0
c00_level_750mA_h400ms,750,400,2,0,0,748.43,3709.88,-3872.03,190.631,116.692,0
c00_level_750mA_h400ms,750,400,3,0,0,747.73,3579.45,-3742.50,194.701,111.598,0
c00_level_750mA_h400ms,750,400,4,0,0,748.42,3696.18,-3751.50,194.407,114.962,0
c01_level_950mA_h300ms,950,300,1,1,0,946.15,5609.03,-4267.57,178.548,179.384,0
c01_level_950mA_h300ms,950,300,2,0,0,1190.72,8688.63,-3661.08,197.408,296.098,1
c01_level_950mA_h300ms,950,300,3,0,0,946.40,6481.30,-3569.97,200.070,205.457,0
c01_level_950mA_h300ms,950,300,4,0,0,945.75,6018.88,-3746.73,194.458,190.622,0
c02_level_850mA_h400ms,850,400,1,1,0,848.15,6213.23,-4269.46,178.422,195.345,0
c02_level_850mA_h400ms,850,400,2,0,0,847.83,7017.36,-3557.68,200.697,223.419,0
c02_level_850mA_h400ms,850,400,3,0,0,847.34,6882.02,-3598.59,199.315,215.860,0
c02_level_850mA_h400ms,850,400,4,0,0,847.61,6686.85,-3603.89,199.133,210.321,0
c03_level_950mA_h400ms,950,400,1,1,0,127.41,9321.11,-4293.36,177.690,315.815,1
c03_level_950mA_h400ms,950,400,2,0,0,109.07,-50.68,-3481.84,202.783,1.336,0
