wall_us,step,phase,stage_mm,set_vel_mm_s
306582812000,1,static,9.999960,0.0000
306583828000,1,static,9.999960,0.0000
306584828000,1,static,9.999960,0.0000
306585437000,1,static,9.999960,0.0000
306586453000,1,static,9.999960,0.0000
306587453000,1,static,9.999960,0.0000
306588468000,1,static,9.999960,0.0000
306589468000,1,static,9.999960,0.0000
306590468000,1,static,9.999960,0.0000
306591484000,1,static,9.999960,0.0000
306592484000,1,static,9.999960,0.0000
306593500000,1,static,9.999960,0.0000
306594500000,1,static,9.999960,0.0000
306595500000,1,static,9.999960,0.0000
306595781000,1,static,9.999960,0.0000
306596796000,1,static,9.999960,0.0000
306597812000,1,static,9.999960,0.0000
306598812000,1,static,9.999960,0.0000
306599828000,1,static,9.999960,0.0000
306600828000,1,static,9.999960,0.0000
306601843000,1,static,9.999960,0.0000
306602843000,1,static,9.999960,0.0000
306603859000,1,static,9.999960,0.0000
306604859000,1,static,9.999960,0.0000
