step,load,from_v,to_v,code_from,code_to,repeat,v_base,v_final,span_v,settle_1pct_ms,settle_0p1pct_ms,overshoot_pct,rise_10_90_ms
small_up,unloaded,0.5,1.0,141,514,0,0.5922,0.9046,0.3124,nan,nan,17.7283,57.16
small_up,unloaded,0.5,1.0,141,514,1,0.5945,0.9063,0.3118,nan,nan,30.0316,55.56
small_up,unloaded,0.5,1.0,141,514,2,0.5967,0.9073,0.3106,nan,nan,29.835,62.04
mid_up,unloaded,0.5,2.5,141,1631,0,0.5959,1.8161,1.2202,nan,nan,15.071,67.42
mid_up,unloaded,0.5,2.5,141,1631,1,0.59,1.8146,1.2246,nan,nan,11.87,67.38
mid_up,unloaded,0.5,2.5,141,1631,2,0.5975,1.818,1.2205,nan,nan,11.6343,66.6
large_up,unloaded,0.5,5.0,141,3492,0,0.5951,3.6233,3.0282,nan,nan,15.0832,68.4
large_up,unloaded,0.5,5.0,141,3492,1,0.5975,3.6263,3.0288,nan,nan,14.978,68.1
large_up,unloaded,0.5,5.0,141,3492,2,0.5951,3.6239,3.0288,nan,nan,15.0571,68.46
large_dn,unloaded,5.0,0.5,3492,141,0,5.08,2.361,-2.719,nan,nan,10.3331,56.4
large_dn,unloaded,5.0,0.5,3492,141,1,5.08,2.3596,-2.7204,nan,nan,8.8075,57.24
large_dn,unloaded,5.0,0.5,3492,141,2,5.08,2.3597,-2.7203,nan,nan,8.8129,57.08
small_up,loaded,0.5,1.0,141,514,0,0.5987,0.9113,0.3125,nan,nan,15.5977,68.26
small_up,loaded,0.5,1.0,141,514,1,0.5988,0.912,0.3132,nan,nan,15.3335,73.36
small_up,loaded,0.5,1.0,141,514,2,0.5977,0.9081,0.3104,nan,nan,16.7076,57.02
mid_up,loaded,0.5,2.5,141,1631,0,0.5969,1.8215,1.2246,nan,nan,14.574,65.88
mid_up,loaded,0.5,2.5,141,1631,1,0.5955,1.8225,1.2269,nan,nan,11.2107,66.84
mid_up,loaded,0.5,2.5,141,1631,2,0.5987,1.8232,1.2244,nan,nan,11.1747,65.06
large_up,loaded,0.5,5.0,141,3492,0,0.5961,3.6326,3.0364,nan,nan,14.7358,67.9
large_up,loaded,0.5,5.0,141,3492,1,0.5988,3.6355,3.0367,nan,nan,14.6387,67.52
large_up,loaded,0.5,5.0,141,3492,2,0.5909,3.6359,3.045,nan,nan,14.5838,67.68
large_dn,loaded,5.0,0.5,3492,141,0,5.08,2.3662,-2.7138,nan,nan,9.0738,57.22
large_dn,loaded,5.0,0.5,3492,141,1,5.08,2.3674,-2.7126,nan,nan,9.1188,57.5
large_dn,loaded,5.0,0.5,3492,141,2,5.08,2.3679,-2.7121,nan,nan,10.6151,57.06
