host_timestamp_s,monotonic_s,primary,secondary,status
1782848330.704498,14995.843000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848330.710255,14995.859000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848330.720021,14995.859000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848330.731685,14995.875000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848330.743617,14995.890000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848330.755263,14995.906000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848330.766850,14995.906000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848330.782139,14995.921000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848330.790510,14995.937000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848330.801634,14995.953000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848330.814004,14995.953000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848330.826881,14995.968000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848330.839489,14995.984000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848330.847487,14996.000000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848330.859875,14996.000000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848330.871647,14996.015000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848330.883528,14996.031000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848330.899525,14996.046000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848330.906345,14996.046000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848330.916450,14996.062000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848330.927794,14996.078000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848330.939915,14996.078000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848330.953064,14996.093000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848330.962526,14996.109000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848330.973418,14996.125000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848330.984900,14996.125000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848330.996395,14996.140000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848331.008719,14996.156000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848331.039407,14996.187000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848331.050969,14996.203000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848331.062684,14996.203000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848331.075615,14996.218000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848331.086310,14996.234000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848331.095926,14996.234000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
1782848331.107604,14996.250000,9.90000000e+37,98999999999999993426744560981400092672.00000000,1
