level_mA,heat_ms,cycle,bootstrap,i_mA,dx_um,x_base_um,baseline_V,peak_V,rise_V,clipped
350,200,1,1,347.97,204.61,-4124.17,1.83470,1.90583,0.07113,0
350,200,2,0,350.86,192.15,-3961.06,1.88476,1.95054,0.06579,0
350,200,3,0,345.78,195.35,-3932.38,1.89525,1.96289,0.06764,0
350,200,4,0,351.76,209.53,-3939.72,1.89237,1.96656,0.07419,0
350,200,5,0,351.10,203.70,-3910.45,1.90464,1.97268,0.06804,0
350,200,6,0,348.67,195.09,-3944.34,1.89014,1.95758,0.06743,0
450,200,1,1,446.47,344.94,-4101.57,1.84178,1.95601,0.11423,0
450,200,2,0,447.19,369.83,-3922.19,1.90044,2.01927,0.11883,0
450,200,3,0,445.23,343.51,-3962.99,1.88510,1.99811,0.11301,0
450,200,4,0,448.49,362.20,-3918.31,1.90193,2.01835,0.11642,0
450,200,5,0,448.24,344.70,-3914.01,1.90214,2.01154,0.10939,0
450,200,6,0,443.96,339.88,-3928.99,1.89518,2.00782,0.11264,0
550,200,1,1,546.75,532.84,-4101.50,1.84068,2.01503,0.17435,0
550,200,2,0,548.23,568.83,-3896.99,1.90852,2.08773,0.17921,0
550,200,3,0,547.87,529.96,-3947.11,1.88834,2.06060,0.17227,0
550,200,4,0,544.86,546.34,-3908.91,1.90083,2.07654,0.17571,0
550,200,5,0,547.30,551.35,-3932.22,1.89417,2.07701,0.18285,0
550,200,6,0,547.10,552.96,-3908.62,1.90421,2.08283,0.17862,0
650,200,1,1,646.16,781.15,-4097.51,1.84127,2.09292,0.25165,0
650,200,2,0,645.66,824.52,-3913.48,1.90258,2.17232,0.26974,0
650,200,3,0,647.71,852.89,-3863.05,1.91828,2.19376,0.27549,0
650,200,4,0,646.41,786.27,-3907.58,1.89983,2.15868,0.25884,0
650,200,5,0,644.34,793.21,-3936.81,1.89280,2.14911,0.25631,0
650,200,6,0,645.19,787.46,-3921.93,1.89602,2.15566,0.25964,0
750,200,1,1,746.11,1099.54,-4067.85,1.84948,2.20978,0.36030,0
750,200,2,0,745.68,1176.69,-3903.51,1.90408,2.29198,0.38790,0
750,200,3,0,745.07,1157.61,-3853.75,1.92053,2.30259,0.38207,0
750,200,4,0,745.10,1157.13,-3868.20,1.91347,2.29309,0.37961,0
750,200,5,0,743.97,1129.04,-3822.33,1.92839,2.29976,0.37137,0
750,200,6,0,745.28,1132.35,-3861.66,1.91543,2.28267,0.36724,0
850,200,1,1,845.39,1533.37,-4059.41,1.85282,2.35294,0.50013,0
850,200,2,0,844.24,1649.12,-3871.74,1.91204,2.45863,0.54659,0
850,200,3,0,843.40,1642.68,-3836.51,1.92115,2.46424,0.54309,0
850,200,4,0,844.96,1629.29,-3873.82,1.91247,2.44207,0.52960,0
850,200,5,0,844.53,1694.62,-3816.19,1.93085,2.48407,0.55321,0
850,200,6,0,844.54,1626.38,-3859.84,1.91455,2.44996,0.53541,0
950,200,1,1,943.76,2293.30,-4035.89,1.86024,2.61198,0.75173,0
