t_rel_s,displacement_um,force_N,sma_v,sma_i,sma_r,sma_power_W,stage_mm
0.59999943,-5014.6065,0.0015612721,0.603933,0.136247,4.332631,0.082284059,40.000039
0.60999942,-5014.6065,0.0015832029,0.603933,0.136247,4.332631,0.082284059,40.000039
0.61999941,-5014.6065,0.0011255868,0.603933,0.136247,4.332631,0.082284059,40.000039
0.6299994,-5014.6065,0.0019216081,0.603933,0.136247,4.332631,0.082284059,40.000039
0.63999939,-5014.6065,0.0011377985,0.603933,0.136247,4.332631,0.082284059,40.000039
0.64999938,-5014.6065,0.0011107628,0.603933,0.136247,4.332631,0.082284059,40.000039
0.65999937,-5014.6065,0.00048095417,0.603933,0.136247,4.332631,0.082284059,40.000039
0.66999936,-5014.6065,0.0015469539,0.603933,0.136247,4.332631,0.082284059,40.000039
0.67999935,-5014.6065,0.0008316474,0.603933,0.136247,4.332631,0.082284059,40.000039
0.68999934,-5014.6065,0.00062064504,0.603933,0.136247,4.332631,0.082284059,40.000039
0.69999933,-5014.6065,0.0011457871,0.603933,0.136247,4.332631,0.082284059,40.000039
0.70999932,-5014.6065,0.00094918645,0.603933,0.136247,4.332631,0.082284059,40.000039
0.71999931,-5014.6065,0.00070581697,0.603933,0.136247,4.332631,0.082284059,40.000039
0.7299993,-5014.6065,0.0013370558,0.603933,0.136247,4.332631,0.082284059,40.000039
0.73999929,-5014.6065,0.0014723609,0.603933,0.136247,4.332631,0.082284059,40.000039
0.74999928,-5014.6065,0.00092399133,0.603933,0.136247,4.332631,0.082284059,40.000039
0.75999928,-5014.6065,0.0012398456,0.603933,0.136247,4.332631,0.082284059,40.000039
0.76999927,-5014.6065,0.00018153412,0.603933,0.136247,4.332631,0.082284059,40.000039
0.77999926,-5014.6065,0.00048106286,0.603933,0.136247,4.332631,0.082284059,40.000039
0.78999925,-5014.6065,0.0019204501,0.603933,0.136247,4.332631,0.082284059,40.000039
0.79999924,-5014.6065,0.0015018602,0.603933,0.136247,4.332631,0.082284059,40.000039
0.80999923,-5014.6065,0.0010084721,0.603933,0.136247,4.332631,0.082284059,40.000039
0.81999922,-5014.6065,0.0015585465,0.603933,0.136247,4.332631,0.082284059,40.000039
0.82999921,-5014.6065,0.0018951846,0.603933,0.136247,4.332631,0.082284059,40.000039
0.8399992,-5014.6065,0.0012202419,0.603933,0.136247,4.332631,0.082284059,40.000039
0.84999919,-5014.6065,0.00096722413,0.603933,0.136247,4.332631,0.082284059,40.000039
