pass_index,sweep_index,direction,displacement_mm,stage_actual_mm,expected_force_mN,mean_V,std_V,n_samples,timestamp_start_us,timestamp_end_us,mean_V_adc2,std_V_adc2,n_samples_adc2
-1,-1,baseline_pre,0.000000,9.999960,0.0000,0.93761186,0.00047709,500,6000000,7000000,0.94695630,0.00052064,500
0,0,fwd,0.000000,9.999960,0.0000,0.93814489,0.00041447,500,10468000,11468000,0.94750294,0.00043833,500
0,1,fwd,0.500000,10.500023,15.4300,1.06595268,0.00042984,500,14940000,15940000,1.07606571,0.00045062,500
0,2,fwd,1.000000,10.999986,30.8600,1.23928555,0.00041730,500,19414000,20414000,1.25043696,0.00044896,501
0,3,fwd,1.500000,11.500048,46.2900,1.41168252,0.00041364,500,23882000,24882000,1.42389842,0.00044872,500
0,4,fwd,2.000000,12.000012,61.7200,1.58192547,0.00041471,500,28356000,29356000,1.59515917,0.00043613,500
0,5,fwd,2.500000,12.499975,77.1500,1.75978657,0.00040715,500,32842000,33842000,1.77410938,0.00042509,500
0,6,fwd,3.000000,13.000037,92.5800,1.93446533,0.00040086,500,37310000,38310000,1.94982944,0.00041816,501
0,7,fwd,3.500000,13.500001,108.0100,2.10041296,0.00041026,500,41792000,42792000,2.11678110,0.00040823,501
0,8,fwd,4.000000,13.999964,123.4400,2.27190404,0.00035506,500,46262000,47262000,2.28931017,0.00038447,501
0,9,fwd,4.500000,14.500027,138.8700,2.44632992,0.00036142,500,50746000,51746000,2.46477453,0.00037976,500
0,10,fwd,5.000000,14.999990,154.3000,2.62176899,0.00037623,500,55214000,56214000,2.64127449,0.00038749,502
0,11,fwd,5.500000,15.499953,169.7300,2.79234025,0.00035068,500,59694000,60694000,2.81287797,0.00038258,500
0,12,fwd,6.000000,16.000016,185.1600,2.97479230,0.00036930,500,64164000,65164000,2.99643286,0.00039179,500
0,13,fwd,6.500000,16.499979,200.5900,3.14709825,0.00036720,500,68648000,69648000,3.16978755,0.00039923,500
0,14,fwd,7.000000,17.000041,216.0200,3.33136161,0.00041093,500,73112000,74112000,3.35517832,0.00042374,500
0,15,fwd,7.500000,17.500005,231.4500,3.50748379,0.00041177,500,77592000,78592000,3.53232874,0.00044717,500
0,16,fwd,8.000000,17.999968,246.8800,3.68307499,0.00037432,500,82212000,83212000,3.70893941,0.00039046,501
0,17,fwd,8.500000,18.500030,262.3100,3.85423577,0.00038122,500,86682000,87680000,3.88115631,0.00039593,500
0,18,fwd,9.000000,18.999994,277.7400,4.02857635,0.00037094,500,91302000,92302000,4.05655362,0.00039576,500
0,19,fwd,9.500000,19.499957,293.1700,4.20096002,0.00036828,500,95766000,96766000,4.22998633,0.00037732,500
0,20,fwd,10.000000,20.000020,308.6000,4.37776296,0.00038646,500,100250000,101250000,4.40787239,0.00040893,500
0,21,fwd,10.500000,20.499983,324.0300,4.55144877,0.00037476,500,104714000,105714000,4.58262160,0.00038681,501
0,22,fwd,11.000000,21.000045,339.4600,4.72610786,0.00037413,500,109316000,110316000,4.75836583,0.00040469,500
0,23,fwd,11.500000,21.500009,354.8900,4.90297560,0.00037291,500,113796000,114796000,4.93632921,0.00040244,500
0,24,fwd,12.000000,21.999972,370.3200,5.00000000,0.00000000,500,118260000,119260000,5.00000000,0.00000000,500
