cycle,t_fire_s,R0_ref_ohm,R_pre_ohm,R_pre_norm,R_fire_ohm,dR_fire_ohm,dR_fire_pct,R_end_ohm,R_end_norm,F_pre_N,dF_peak_N,t_F_peak_s,dF_end_N,dDisp_peak_um,dDisp_in_fire_um,dDisp_at_Fpeak_um
1,0,4.34801,nan,nan,4.28014,nan,-1.56093,4.34439,0.999169,0.231598,0.0140924,0.953267,0.0118762,361.653,35.6062,279.401
2,4.91829,4.34801,4.46185,1.02618,4.3637,-0.0981592,0.360794,4.37321,1.0058,0.242727,0.0157106,0.51388,0.00684692,404.441,2.76903,130.644
3,10.4152,4.34801,4.32554,0.994832,4.27526,-0.0502793,-1.6732,4.5123,1.03779,0.2491,0.0127012,0.562381,0.0027205,320.229,-7.70829,25.4263
4,14.2445,4.34801,4.46667,1.02729,4.26612,-0.200552,-1.88338,4.36042,1.00286,0.251767,0.0146563,0.565333,0.00726734,366.702,-7.1103,8.6233
5,22.8552,4.34801,4.536,1.04324,4.23047,-0.305528,-2.7033,4.45159,1.02382,0.256513,0.00869336,0.520754,0.00290638,211.762,-20.7706,-67.5329
6,26.8199,4.34801,4.47619,1.02948,4.24173,-0.234465,-2.44433,4.28383,0.985241,0.258145,0.00951274,0.56589,0.0016795,224.167,-11.8144,-103.413
7,31.2146,4.34801,4.39891,1.01171,4.23207,-0.166844,-2.66646,4.38835,1.00928,0.256993,-0.0084459,0.089767,0.00234105,-217.398,-32.3477,-84.3812
8,35.1094,4.34801,4.33885,0.997894,4.14302,-0.195828,-4.71443,4.42985,1.01882,0.258016,0.00917962,0.516657,0.00339437,229.412,-10.1164,-110.077
9,45.1526,4.34801,4.30966,0.99118,4.22847,-0.0811877,-2.7492,4.33156,0.996218,0.255108,0.0174601,0.342933,0.0098546,443.329,14.9439,268.647
10,51.9595,4.34801,4.39243,1.01022,4.12805,-0.264379,-5.05881,4.32438,0.994565,0.25999,-0.0109183,0.121111,0.00120097,-261.614,-12.5265,-124.28
