pass_index,sweep_index,direction,target_mm,stage_actual_mm,timestamp_us,voltage_V,raw_code,adc_source
-1,-1,baseline_pre,0.000000,-0.000040,6183000,2.49054200,1069679512,1
-1,-1,baseline_pre,0.000000,-0.000040,6186000,2.49107400,1069908036,1
-1,-1,baseline_pre,0.000000,-0.000040,6189000,2.49134100,1070022942,1
-1,-1,baseline_pre,0.000000,-0.000040,6192000,2.49175400,1070200050,1
-1,-1,baseline_pre,0.000000,-0.000040,6195000,2.49127700,1069995381,1
-1,-1,baseline_pre,0.000000,-0.000040,6198000,2.49055200,1069684017,1
-1,-1,baseline_pre,0.000000,-0.000040,6201000,2.49097200,1069864451,1
-1,-1,baseline_pre,0.000000,-0.000040,6204000,2.49139700,1070046717,1
-1,-1,baseline_pre,0.000000,-0.000040,6207000,2.49173500,1070191777,1
-1,-1,baseline_pre,0.000000,-0.000040,6210000,2.49137800,1070038776,1
-1,-1,baseline_pre,0.000000,-0.000040,6213000,2.49057100,1069691954,1
-1,-1,baseline_pre,0.000000,-0.000040,6216000,2.49088000,1069825020,1
-1,-1,baseline_pre,0.000000,-0.000040,6219000,2.49136400,1070032514,1
-1,-1,baseline_pre,0.000000,-0.000040,6222000,2.49170200,1070177674,1
-1,-1,baseline_pre,0.000000,-0.000040,6225000,2.49147600,1070080737,1
-1,-1,baseline_pre,0.000000,-0.000040,6228000,2.49061200,1069709664,1
-1,-1,baseline_pre,0.000000,-0.000040,6231000,2.49143300,1070062194,1
-1,-1,baseline_pre,0.000000,-0.000040,6234000,2.49133300,1070019492,1
-1,-1,baseline_pre,0.000000,-0.000040,6237000,2.49166700,1070162899,1
-1,-1,baseline_pre,0.000000,-0.000040,6240000,2.49156800,1070120186,1
-1,-1,baseline_pre,0.000000,-0.000040,6243000,2.49065200,1069726732,1
-1,-1,baseline_pre,0.000000,-0.000040,6246000,2.49143900,1070065014,1
-1,-1,baseline_pre,0.000000,-0.000040,6249000,2.49130000,1070005245,1
-1,-1,baseline_pre,0.000000,-0.000040,6252000,2.49163200,1070147811,1
-1,-1,baseline_pre,0.000000,-0.000040,6255000,2.49164200,1070151972,1
-1,-1,baseline_pre,0.000000,-0.000040,6258000,2.49070500,1069749866,1
-1,-1,baseline_pre,0.000000,-0.000040,6261000,2.49143400,1070062677,1
-1,-1,baseline_pre,0.000000,-0.000040,6264000,2.49127500,1069994607,1
-1,-1,baseline_pre,0.000000,-0.000040,6267000,2.49161300,1070139603,1
-1,-1,baseline_pre,0.000000,-0.000040,6270000,2.49169800,1070176049,1
-1,-1,baseline_pre,0.000000,-0.000040,6273000,2.49059900,1069704162,1
-1,-1,baseline_pre,0.000000,-0.000040,6276000,2.49140400,1070049892,1
-1,-1,baseline_pre,0.000000,-0.000040,6279000,2.49125300,1069984986,1
-1,-1,baseline_pre,0.000000,-0.000040,6282000,2.49158400,1070127144,1
-1,-1,baseline_pre,0.000000,-0.000040,6285000,2.49174500,1070196066,1
-1,-1,baseline_pre,0.000000,-0.000040,6288000,2.49055800,1069686480,1
-1,-1,baseline_pre,0.000000,-0.000040,6291000,2.49135100,1070026975,1
-1,-1,baseline_pre,0.000000,-0.000040,6294000,2.49125200,1069984789,1
-1,-1,baseline_pre,0.000000,-0.000040,6297000,2.49156900,1070120670,1
-1,-1,baseline_pre,0.000000,-0.000040,6300000,2.49092500,1069844130,1
-1,-1,baseline_pre,0.000000,-0.000040,6303000,2.49054100,1069679263,1
-1,-1,baseline_pre,0.000000,-0.000040,6306000,2.49129400,1070002632,1
-1,-1,baseline_pre,0.000000,-0.000040,6309000,2.49125700,1069986627,1
-1,-1,baseline_pre,0.000000,-0.000040,6312000,2.49152300,1070100793,1
-1,-1,baseline_pre,0.000000,-0.000040,6315000,2.49101700,1069883594,1
-1,-1,baseline_pre,0.000000,-0.000040,6318000,2.49053200,1069675214,1
-1,-1,baseline_pre,0.000000,-0.000040,6321000,2.49121300,1069967940,1
-1,-1,baseline_pre,0.000000,-0.000040,6324000,2.49128000,1069996761,1
-1,-1,baseline_pre,0.000000,-0.000040,6327000,2.49150200,1070091893,1
-1,-1,baseline_pre,0.000000,-0.000040,6330000,2.49111200,1069924476,1
-1,-1,baseline_pre,0.000000,-0.000040,6333000,2.49053200,1069675460,1
-1,-1,baseline_pre,0.000000,-0.000040,6336000,2.49113300,1069933691,1
-1,-1,baseline_pre,0.000000,-0.000040,6339000,2.49131300,1070010893,1
-1,-1,baseline_pre,0.000000,-0.000040,6342000,2.49178200,1070212210,1
-1,-1,baseline_pre,0.000000,-0.000040,6345000,2.49121000,1069966507,1
-1,-1,baseline_pre,0.000000,-0.000040,6348000,2.49054000,1069678560,1
-1,-1,baseline_pre,0.000000,-0.000040,6351000,2.49103700,1069892117,1
-1,-1,baseline_pre,0.000000,-0.000040,6354000,2.49135400,1070028420,1
-1,-1,baseline_pre,0.000000,-0.000040,6357000,2.49175500,1070200563,1
-1,-1,baseline_pre,0.000000,-0.000040,6360000,2.49131500,1070011536,1
-1,-1,baseline_pre,0.000000,-0.000040,6363000,2.49056100,1069687742,1
-1,-1,baseline_pre,0.000000,-0.000040,6366000,2.49094700,1069853690,1
-1,-1,baseline_pre,0.000000,-0.000040,6369000,2.49138200,1070040406,1
-1,-1,baseline_pre,0.000000,-0.000040,6372000,2.49171900,1070185144,1
-1,-1,baseline_pre,0.000000,-0.000040,6375000,2.49141000,1070052670,1
-1,-1,baseline_pre,0.000000,-0.000040,6378000,2.49058900,1069699763,1
-1,-1,baseline_pre,0.000000,-0.000040,6381000,2.49084900,1069811546,1
-1,-1,baseline_pre,0.000000,-0.000040,6384000,2.49134900,1070026297,1
-1,-1,baseline_pre,0.000000,-0.000040,6387000,2.49168500,1070170406,1
-1,-1,baseline_pre,0.000000,-0.000040,6390000,2.49150000,1070091281,1
-1,-1,baseline_pre,0.000000,-0.000040,6393000,2.49062700,1069716124,1
-1,-1,baseline_pre,0.000000,-0.000040,6396000,2.49077300,1069778835,1
-1,-1,baseline_pre,0.000000,-0.000040,6399000,2.49132000,1070013895,1
-1,-1,baseline_pre,0.000000,-0.000040,6402000,2.49166000,1070159657,1
-1,-1,baseline_pre,0.000000,-0.000040,6405000,2.49159200,1070130524,1
-1,-1,baseline_pre,0.000000,-0.000040,6408000,2.49067100,1069735097,1
-1,-1,baseline_pre,0.000000,-0.000040,6411000,2.49144300,1070066678,1
-1,-1,baseline_pre,0.000000,-0.000040,6414000,2.49128600,1069999145,1
-1,-1,baseline_pre,0.000000,-0.000040,6417000,2.49162700,1070145637,1
-1,-1,baseline_pre,0.000000,-0.000040,6420000,2.49166100,1070160217,1
-1,-1,baseline_pre,0.000000,-0.000040,6423000,2.49072500,1069758277,1
-1,-1,baseline_pre,0.000000,-0.000040,6426000,2.49142500,1070058766,1
-1,-1,baseline_pre,0.000000,-0.000040,6429000,2.49127000,1069992177,1
-1,-1,baseline_pre,0.000000,-0.000040,6432000,2.49161000,1070138283,1
-1,-1,baseline_pre,0.000000,-0.000040,6435000,2.49172200,1070186236,1
-1,-1,baseline_pre,0.000000,-0.000040,6438000,2.49058800,1069699431,1
-1,-1,baseline_pre,0.000000,-0.000040,6441000,2.49139800,1070047167,1
-1,-1,baseline_pre,0.000000,-0.000040,6444000,2.49125200,1069984764,1
-1,-1,baseline_pre,0.000000,-0.000040,6447000,2.49158300,1070126902,1
-1,-1,baseline_pre,0.000000,-0.000040,6450000,2.49175900,1070202206,1
-1,-1,baseline_pre,0.000000,-0.000040,6453000,2.49055700,1069686010,1
-1,-1,baseline_pre,0.000000,-0.000040,6456000,2.49134100,1070022730,1
-1,-1,baseline_pre,0.000000,-0.000040,6459000,2.49125600,1069986358,1
-1,-1,baseline_pre,0.000000,-0.000040,6462000,2.49155200,1070113423,1
-1,-1,baseline_pre,0.000000,-0.000040,6465000,2.49178600,1070213943,1
-1,-1,baseline_pre,0.000000,-0.000040,6468000,2.49053400,1069676002,1
-1,-1,baseline_pre,0.000000,-0.000040,6471000,2.49127400,1069993948,1
-1,-1,baseline_pre,0.000000,-0.000040,6474000,2.49126600,1069990523,1
