pass_index,sweep_index,direction,target_mm,stage_actual_mm,mean_V,std_V,n_samples,timestamp_start_us,timestamp_end_us,mean_V_adc1,std_V_adc1,n_samples_adc1
-1,-1,baseline_pre,0.000000,-0.000040,2.49248715,0.00014506,500,81370000,82867000,2.48252930,0.00042051,500
0,0,fwd,-5.000000,-4.999970,4.98130717,0.00013366,500,86338000,87835000,4.95643411,0.00046266,500
0,1,fwd,-4.800000,-4.800045,4.88577480,0.00048466,500,91321000,92818000,4.86145167,0.00064380,500
0,2,fwd,-4.600000,-4.600020,4.78674147,0.00011598,500,96298000,97795000,4.76301853,0.00040763,500
0,3,fwd,-4.400000,-4.399995,4.68578938,0.00017670,500,101281000,102778000,4.66270102,0.00044849,500
0,4,fwd,-4.200000,-4.199970,4.58581291,0.00034043,500,106258000,107755000,4.56330864,0.00052910,500
0,5,fwd,-4.000000,-4.000044,4.48669954,0.00011841,500,111223000,112720000,4.46480401,0.00042830,500
0,6,fwd,-3.800000,-3.800019,4.38529319,0.00013556,500,116188000,117685000,4.36400924,0.00041452,500
0,7,fwd,-3.600000,-3.599994,4.28744847,0.00018978,500,121165000,122662000,4.26676366,0.00042963,500
0,8,fwd,-3.400000,-3.399969,4.18870125,0.00024475,500,42000,127639000,4.16861415,0.00047017,500
0,9,fwd,-3.200000,-3.200043,4.09066135,0.00013749,500,131122000,132619000,4.07120131,0.00044015,500
0,10,fwd,-3.000000,-3.000018,3.99008699,0.00013285,500,136087000,137584000,3.97123900,0.00046461,500
0,11,fwd,-2.800000,-2.799993,3.88861389,0.00011754,500,141046000,142543000,3.87036691,0.00049116,500
0,12,fwd,-2.600000,-2.599968,3.78978276,0.00044301,500,146014000,147511000,3.77211211,0.00061035,500
0,13,fwd,-2.400000,-2.400042,3.68755291,0.00013884,500,73000,152470000,3.67050413,0.00042081,500
0,14,fwd,-2.200000,-2.200017,3.58864169,0.00024628,500,155953000,157450000,3.57249696,0.00050116,500
0,15,fwd,-2.000000,-1.999992,3.48911911,0.00012302,500,160933000,162430000,3.47353552,0.00044001,500
0,16,fwd,-1.800000,-1.799967,3.38772019,0.00022813,500,165910000,167407000,3.37234024,0.00043831,500
0,17,fwd,-1.600000,-1.600041,3.28766312,0.00013953,500,170875000,172372000,3.27292785,0.00039891,500
0,18,fwd,-1.400000,-1.400016,3.18986961,0.00021530,500,175834000,177331000,3.17569793,0.00042974,500
0,19,fwd,-1.200000,-1.199991,3.09123358,0.00019918,500,180799000,182296000,3.07766448,0.00042411,500
0,20,fwd,-1.000000,-0.999966,2.99374535,0.00019598,500,185776000,187273000,2.98084777,0.00048323,500
0,21,fwd,-0.800000,-0.800041,2.89500879,0.00014016,500,190753000,192250000,2.88267027,0.00044712,500
0,22,fwd,-0.600000,-0.600016,2.79221645,0.00021818,500,195730000,197227000,2.78048062,0.00043894,500
0,23,fwd,-0.400000,-0.399991,2.69359295,0.00013369,500,200704000,202201000,2.68250197,0.00045388,500
0,24,fwd,-0.200000,-0.199966,2.59393254,0.00017144,500,205666000,207163000,2.58339117,0.00043940,500
0,25,fwd,0.000000,-0.000040,2.49489651,0.00017793,500,210631000,212128000,2.48491490,0.00041831,500
0,26,fwd,0.200000,0.199985,2.39489644,0.00013358,500,215605000,217102000,2.38552044,0.00040762,500
0,27,fwd,0.400000,0.400010,2.29544646,0.00016156,500,82000,222079000,2.28669462,0.00044061,500
0,28,fwd,0.600000,0.600035,2.19340960,0.00016348,500,225556000,227053000,2.18524649,0.00040451,500
0,29,fwd,0.800000,0.799961,2.09361630,0.00024984,500,230515000,232012000,2.08607668,0.00045649,500
0,30,fwd,1.000000,0.999986,1.99612675,0.00032185,500,235477000,236974000,1.98913628,0.00051245,500
0,31,fwd,1.200000,1.200011,1.89804568,0.00018356,500,240439000,241936000,1.89166334,0.00044652,500
0,32,fwd,1.400000,1.400036,1.79952113,0.00022150,502,245413000,246916000,1.79370845,0.00059599,500
0,33,fwd,1.600000,1.599962,1.70045385,0.00036118,509,250393000,251920000,1.69524947,0.00051421,500
0,34,fwd,1.800000,1.799987,1.56075449,0.14906383,500,255397000,256918000,1.59580870,0.00052018,500
0,35,fwd,2.000000,2.000012,1.50053527,0.02687462,1383,260491000,267334000,1.53137553,0.38168759,500
0,36,fwd,2.200000,2.200037,1.40185198,0.00014704,500,270802000,272299000,1.39835837,0.00033779,500
0,37,fwd,2.400000,2.399962,1.30169060,0.00023089,500,275761000,277258000,1.29882487,0.00039087,500
0,38,fwd,2.600000,2.599987,1.20198747,0.00020019,500,280738000,282235000,1.19972077,0.00038203,500
0,39,fwd,2.800000,2.800012,1.10236065,0.00016109,500,285712000,287209000,1.10065596,0.00034961,500
0,40,fwd,3.000000,3.000037,1.00442866,0.00019884,500,290686000,292183000,1.00331236,0.00038319,500
0,41,fwd,3.200000,3.199963,0.90581731,0.00021108,500,295651000,297148000,0.90521775,0.00039380,500
0,42,fwd,3.400000,3.399988,0.80579081,0.00014005,500,300622000,302119000,0.80561099,0.00030977,500
0,43,fwd,3.600000,3.600013,0.70614546,0.00019115,500,305581000,307078000,0.70628166,0.00026091,500
0,44,fwd,3.800000,3.800038,0.60580710,0.00019996,500,310558000,312055000,0.60617487,0.00021341,500
0,45,fwd,4.000000,3.999964,0.50484184,0.00012211,500,315532000,317029000,0.50532767,0.00007723,500
0,46,fwd,4.200000,4.199989,0.40557645,0.00021467,500,320506000,322003000,0.40609943,0.00018456,500
0,47,fwd,4.400000,4.400014,0.30725056,0.00011243,500,325468000,326965000,0.30776000,0.00003427,500
0,48,fwd,4.600000,4.600039,0.20923535,0.00013199,500,330424000,331921000,0.20971690,0.00003547,500
0,49,fwd,4.800000,4.799965,0.10912773,0.00019208,500,335386000,336883000,0.10957787,0.00014774,500
0,50,fwd,5.000000,4.999990,0.00721956,0.00016142,500,340357000,341854000,0.00763020,0.00007562,500
0,51,fwd,5.000000,4.999990,0.00720492,0.00014184,500,345367000,346864000,0.00761514,0.00004964,500
0,52,rev,4.800000,4.799965,0.10618758,0.00014095,500,350338000,351835000,0.10663725,0.00007950,500
0,53,rev,4.600000,4.600039,0.20730358,0.00012041,500,355294000,356791000,0.20778730,0.00003953,500
0,54,rev,4.400000,4.400014,0.30629011,0.00013263,500,360256000,361753000,0.30680193,0.00004571,500
0,55,rev,4.200000,4.199989,0.40355475,0.00020152,500,365233000,366730000,0.40408106,0.00016530,500
0,56,rev,4.000000,3.999964,0.50254616,0.00021019,500,370207000,371704000,0.50303025,0.00018815,500
0,57,rev,3.800000,3.800038,0.60333559,0.00026544,500,375178000,376675000,0.60371046,0.00026505,500
0,58,rev,3.600000,3.600013,0.70350430,0.00025010,500,380155000,381652000,0.70364896,0.00030083,500
0,59,rev,3.400000,3.399988,0.80388890,0.00016403,500,385111000,386608000,0.80371395,0.00031498,500
0,60,rev,3.200000,3.199963,0.90504349,0.00025444,500,390070000,391567000,0.90444552,0.00041536,500
0,61,rev,3.000000,3.000037,1.00378042,0.00017280,500,395044000,396541000,1.00267729,0.00037479,500
0,62,rev,2.800000,2.800012,1.10221905,0.00020353,500,400018000,401515000,1.10052163,0.00037317,500
0,63,rev,2.600000,2.599987,1.20139659,0.00018753,500,404995000,406492000,1.19913303,0.00037420,500
0,64,rev,2.400000,2.399962,1.30039481,0.00020383,500,409969000,411466000,1.29760295,0.00042932,500
0,65,rev,2.200000,2.200037,1.40125192,0.00027427,500,925000,416422000,1.39777617,0.00041269,500
0,66,rev,2.000000,2.000012,1.50206306,0.00024740,500,419887000,421384000,1.49801134,0.00043762,500
0,67,rev,1.800000,1.799987,1.60131204,0.00034087,500,424858000,426355000,1.59662692,0.00049016,500
0,68,rev,1.600000,1.599962,1.70050783,0.00012710,500,429835000,431332000,1.69527569,0.00039016,500
0,69,rev,1.400000,1.400036,1.79931113,0.00015823,500,434947000,436444000,1.79348328,0.00039093,500
0,70,rev,1.200000,1.200011,1.89788796,0.00015558,500,439903000,441400000,1.89147290,0.00040350,500
0,71,rev,1.000000,0.999986,1.99627198,0.00024524,500,444862000,446359000,1.98929671,0.00047123,500
0,72,rev,0.800000,0.799961,2.09363315,0.00025329,500,449839000,451336000,2.08609396,0.00045844,500
0,73,rev,0.600000,0.600035,2.19414351,0.00021011,500,454807000,456304000,2.18597555,0.00042570,500
0,74,rev,0.400000,0.400010,2.29568248,0.00018117,500,459766000,461263000,2.28692968,0.00044909,500
0,75,rev,0.200000,0.199985,2.39688818,0.00018386,500,464728000,466252000,2.38756627,0.00047735,502
0,76,rev,0.000000,-0.000040,2.49564617,0.00216005,507,469711000,471235000,2.48580334,0.00046885,500
0,77,rev,-0.200000,-0.199966,2.75476739,1.78167806,500,74715000,76242000,2.58421770,0.00180085,501
0,78,rev,-0.400000,-0.399991,2.69451624,0.00016078,500,779752000,481261000,2.68341211,0.00044288,500
0,79,rev,-0.600000,-0.600016,2.79355434,0.00012017,500,484738000,486247000,2.78182856,0.00041089,500
0,80,rev,-0.800000,-0.800041,2.89657932,0.00021072,500,489715000,491212000,2.88425825,0.00049745,500
0,81,rev,-1.000000,-0.999966,2.99650366,0.00011667,500,494668000,496165000,2.98363035,0.00046607,500
0,82,rev,-1.200000,-1.199991,3.09577681,0.00023391,500,499627000,501124000,3.08221566,0.00046218,500
0,83,rev,-1.400000,-1.400016,3.19384291,0.00017039,500,504601000,506098000,3.17966732,0.00039858,500
0,84,rev,-1.600000,-1.600041,3.29249853,0.00024248,500,509575000,511072000,3.27775562,0.00044438,500
