sweep_index,direction,target_mm,stage_actual_mm,timestamp_us,voltage_V,raw_code
-1,baseline_pre,0.000000,-0.000020,15790000,0.56100600,240950237
-1,baseline_pre,0.000000,-0.000020,15793000,0.56100600,240950231
-1,baseline_pre,0.000000,-0.000020,15796000,0.56100600,240950226
-1,baseline_pre,0.000000,-0.000020,15799000,0.56100600,240950235
-1,baseline_pre,0.000000,-0.000020,15802000,0.56100600,240950235
-1,baseline_pre,0.000000,-0.000020,15805000,0.56100600,240950218
-1,baseline_pre,0.000000,-0.000020,15808000,0.56100600,240950246
-1,baseline_pre,0.000000,-0.000020,15811000,0.56100600,240950222
-1,baseline_pre,0.000000,-0.000020,15814000,0.56100600,240950235
-1,baseline_pre,0.000000,-0.000020,15817000,0.56100600,240950235
-1,baseline_pre,0.000000,-0.000020,15820000,0.56100600,240950226
-1,baseline_pre,0.000000,-0.000020,15823000,0.56100600,240950231
-1,baseline_pre,0.000000,-0.000020,15826000,0.56100600,240950222
-1,baseline_pre,0.000000,-0.000020,15829000,0.56100600,240950246
-1,baseline_pre,0.000000,-0.000020,15832000,0.56100600,240950222
-1,baseline_pre,0.000000,-0.000020,15835000,0.56100600,240950226
-1,baseline_pre,0.000000,-0.000020,15838000,0.56100600,240950235
-1,baseline_pre,0.000000,-0.000020,15841000,0.56100600,240950222
-1,baseline_pre,0.000000,-0.000020,15844000,0.56100600,240950237
-1,baseline_pre,0.000000,-0.000020,15847000,0.56100600,240950222
-1,baseline_pre,0.000000,-0.000020,15850000,0.56100600,240950237
-1,baseline_pre,0.000000,-0.000020,15853000,0.56100600,240950237
-1,baseline_pre,0.000000,-0.000020,15856000,0.56100600,240950226
-1,baseline_pre,0.000000,-0.000020,15859000,0.56100600,240950226
-1,baseline_pre,0.000000,-0.000020,15862000,0.56100600,240950237
-1,baseline_pre,0.000000,-0.000020,15865000,0.56100600,240950226
-1,baseline_pre,0.000000,-0.000020,15868000,0.56100600,240950226
-1,baseline_pre,0.000000,-0.000020,15871000,0.56100600,240950235
-1,baseline_pre,0.000000,-0.000020,15874000,0.56100600,240950235
-1,baseline_pre,0.000000,-0.000020,15877000,0.56100600,240950226
-1,baseline_pre,0.000000,-0.000020,15880000,0.56100600,240950226
-1,baseline_pre,0.000000,-0.000020,15883000,0.56100600,240950237
-1,baseline_pre,0.000000,-0.000020,15886000,0.56100600,240950226
-1,baseline_pre,0.000000,-0.000020,15889000,0.56100600,240950235
-1,baseline_pre,0.000000,-0.000020,15892000,0.56100600,240950222
-1,baseline_pre,0.000000,-0.000020,15895000,0.56100600,240950222
-1,baseline_pre,0.000000,-0.000020,15898000,0.56100600,240950237
-1,baseline_pre,0.000000,-0.000020,15901000,0.56100600,240950222
-1,baseline_pre,0.000000,-0.000020,15904000,0.56100600,240950237
-1,baseline_pre,0.000000,-0.000020,15907000,0.56100600,240950226
-1,baseline_pre,0.000000,-0.000020,15910000,0.56100600,240950237
-1,baseline_pre,0.000000,-0.000020,15913000,0.56100600,240950226
-1,baseline_pre,0.000000,-0.000020,15916000,0.56100600,240950226
-1,baseline_pre,0.000000,-0.000020,15919000,0.56100600,240950237
-1,baseline_pre,0.000000,-0.000020,15922000,0.56100600,240950222
-1,baseline_pre,0.000000,-0.000020,15925000,0.56100600,240950226
-1,baseline_pre,0.000000,-0.000020,15928000,0.56100600,240950231
-1,baseline_pre,0.000000,-0.000020,15931000,0.56100600,240950226
-1,baseline_pre,0.000000,-0.000020,15934000,0.56100600,240950237
-1,baseline_pre,0.000000,-0.000020,15937000,0.56100600,240950229
-1,baseline_pre,0.000000,-0.000020,15940000,0.56100600,240950231
-1,baseline_pre,0.000000,-0.000020,15943000,0.56100600,240950226
-1,baseline_pre,0.000000,-0.000020,15946000,0.56100600,240950235
-1,baseline_pre,0.000000,-0.000020,15949000,0.56100600,240950229
-1,baseline_pre,0.000000,-0.000020,15952000,0.56100600,240950235
-1,baseline_pre,0.000000,-0.000020,15955000,0.56100600,240950218
-1,baseline_pre,0.000000,-0.000020,15958000,0.56100600,240950246
-1,baseline_pre,0.000000,-0.000020,15961000,0.56100600,240950218
-1,baseline_pre,0.000000,-0.000020,15964000,0.56100600,240950215
-1,baseline_pre,0.000000,-0.000020,15967000,0.56100600,240950254
-1,baseline_pre,0.000000,-0.000020,15970000,0.56100600,240950215
-1,baseline_pre,0.000000,-0.000020,15973000,0.56100600,240950237
-1,baseline_pre,0.000000,-0.000020,15976000,0.56100600,240950226
-1,baseline_pre,0.000000,-0.000020,15979000,0.56100600,240950235
-1,baseline_pre,0.000000,-0.000020,15982000,0.56100600,240950235
-1,baseline_pre,0.000000,-0.000020,15985000,0.56100600,240950215
-1,baseline_pre,0.000000,-0.000020,15988000,0.56100600,240950253
-1,baseline_pre,0.000000,-0.000020,15991000,0.56100600,240950215
-1,baseline_pre,0.000000,-0.000020,15994000,0.56100600,240950224
-1,baseline_pre,0.000000,-0.000020,15997000,0.56100600,240950231
-1,baseline_pre,0.000000,-0.000020,16000000,0.56100600,240950231
-1,baseline_pre,0.000000,-0.000020,16003000,0.56100600,240950231
-1,baseline_pre,0.000000,-0.000020,16006000,0.56100600,240950235
-1,baseline_pre,0.000000,-0.000020,16009000,0.56100600,240950235
-1,baseline_pre,0.000000,-0.000020,16012000,0.56100600,240950222
-1,baseline_pre,0.000000,-0.000020,16015000,0.56100600,240950237
-1,baseline_pre,0.000000,-0.000020,16018000,0.56100600,240950222
-1,baseline_pre,0.000000,-0.000020,16021000,0.56100600,240950226
-1,baseline_pre,0.000000,-0.000020,16024000,0.56100600,240950231
-1,baseline_pre,0.000000,-0.000020,16027000,0.56100600,240950226
-1,baseline_pre,0.000000,-0.000020,16030000,0.56100600,240950235
-1,baseline_pre,0.000000,-0.000020,16033000,0.56100600,240950235
-1,baseline_pre,0.000000,-0.000020,16036000,0.56100600,240950237
-1,baseline_pre,0.000000,-0.000020,16039000,0.56100600,240950218
-1,baseline_pre,0.000000,-0.000020,16042000,0.56100600,240950246
-1,baseline_pre,0.000000,-0.000020,16045000,0.56100600,240950222
-1,baseline_pre,0.000000,-0.000020,16048000,0.56100600,240950235
-1,baseline_pre,0.000000,-0.000020,16051000,0.56100600,240950231
-1,baseline_pre,0.000000,-0.000020,16054000,0.56100600,240950235
-1,baseline_pre,0.000000,-0.000020,16057000,0.56100600,240950226
-1,baseline_pre,0.000000,-0.000020,16060000,0.56100600,240950231
-1,baseline_pre,0.000000,-0.000020,16063000,0.56100600,240950231
-1,baseline_pre,0.000000,-0.000020,16066000,0.56100600,240950231
-1,baseline_pre,0.000000,-0.000020,16069000,0.56100600,240950231
-1,baseline_pre,0.000000,-0.000020,16072000,0.56100600,240950231
-1,baseline_pre,0.000000,-0.000020,16075000,0.56100600,240950226
-1,baseline_pre,0.000000,-0.000020,16078000,0.56100600,240950237
-1,baseline_pre,0.000000,-0.000020,16081000,0.56100600,240950222
-1,baseline_pre,0.000000,-0.000020,16084000,0.56100600,240950235
-1,baseline_pre,0.000000,-0.000020,16087000,0.56100600,240950235
-1,baseline_pre,0.000000,-0.000020,16090000,0.56100600,240950235
