sweep_index,direction,target_mm,stage_actual_mm,mean_V,std_V,n_samples,timestamp_start_us,timestamp_end_us
-1,baseline_pre,0.000000,-0.000020,5.00000000,0.00000000,50,12088000,12676000
0,fwd,-0.500000,-0.499984,5.00000000,0.00000000,20,15172000,15400000
1,fwd,-0.400000,-0.399971,5.00000000,0.00000000,20,17896000,18124000
2,fwd,-0.300000,-0.299959,5.00000000,0.00000000,20,20632000,20860000
3,fwd,-0.200000,-0.200045,5.00000000,0.00000000,20,23368000,23596000
4,fwd,-0.100000,-0.100033,5.00000000,0.00000000,20,26092000,26320000
5,fwd,0.000000,-0.000020,5.00000000,0.00000000,20,28816000,29044000
6,fwd,0.100000,0.099992,5.00000000,0.00000000,20,31540000,31768000
7,fwd,0.200000,0.200005,5.00000000,0.00000000,20,34252000,34480000
8,fwd,0.300000,0.300017,5.00000000,0.00000000,20,37084000,37312000
9,fwd,0.400000,0.400030,5.00000000,0.00000000,20,39796000,40024000
10,fwd,0.500000,0.500042,5.00000000,0.00000000,20,42520000,42748000
-2,baseline_post,0.000000,-0.000020,5.00000000,0.00000000,50,45244000,45832000
