sweep_index,direction,target_mm,stage_actual_mm,mean_V,std_V,n_samples,timestamp_start_us,timestamp_end_us
-1,baseline_pre,0.000000,-0.000020,0.56100600,0.00000000,50,160288000,160435000
0,fwd,-0.500000,-0.499984,0.56630510,0.00353576,20,2913000,162970000
1,fwd,-0.400000,-0.399971,0.56100600,0.00000000,20,65445000,165502000
2,fwd,-0.300000,-0.299959,0.56100600,0.00000000,20,168085000,168142000
3,fwd,-0.200000,-0.200045,0.56100600,0.00000000,20,170620000,170677000
4,fwd,-0.100000,-0.100033,0.56100600,0.00000000,20,173152000,173209000
5,fwd,0.000000,-0.000020,0.56100600,0.00000000,20,175702000,175759000
6,fwd,0.100000,0.099992,0.56100600,0.00000000,20,178234000,178291000
7,fwd,0.200000,0.200005,0.56100600,0.00000000,20,766000,180823000
8,fwd,0.300000,0.300017,0.56100600,0.00000000,20,183295000,183352000
9,fwd,0.400000,0.400030,0.54996605,0.00438259,20,185827000,185884000
10,fwd,0.500000,0.500042,0.36776505,0.00210117,20,188362000,188419000
-2,baseline_post,0.000000,-0.000020,0.56100600,0.00000000,50,190894000,191041000
