level_mA,heat_ms,cycle,bootstrap,i_mA,dx_um,x_base_um,baseline_V,peak_V,rise_V,clipped
750,100,1,1,741.28,554.84,-3730.21,1.96003,2.15368,0.19364,0
750,100,2,0,742.42,567.79,-3636.22,1.98895,2.18174,0.19279,0
750,100,3,0,739.44,544.82,-3652.43,1.98428,2.17092,0.18664,0
750,100,4,0,741.21,530.77,-3804.46,1.93612,2.11463,0.17851,0
750,100,5,0,742.37,521.42,-3730.49,1.95890,2.13817,0.17927,0
850,100,1,1,839.43,692.90,-3847.97,1.92339,2.15729,0.23391,0
850,100,2,0,842.53,676.54,-3784.48,1.94148,2.16768,0.22620,0
850,100,3,0,841.53,726.36,-3729.25,1.96168,2.20246,0.24077,0
850,100,4,0,841.40,679.77,-3771.49,1.94602,2.17387,0.22785,0
850,100,5,0,842.65,706.97,-3769.68,1.94877,2.18768,0.23890,0
750,200,1,1,745.56,1159.10,-3847.92,1.92247,2.30757,0.38510,0
750,200,2,0,746.70,1170.44,-3752.05,1.95323,2.34183,0.38859,0
750,200,3,0,746.00,1132.99,-3774.82,1.94325,2.31735,0.37410,0
750,200,4,0,747.35,1162.60,-3715.90,1.96190,2.34708,0.38517,0
750,200,5,0,1082.58,5133.05,-3746.66,1.95277,3.64439,1.69162,0
750,300,1,1,363.07,607.08,-4009.61,1.87221,2.06758,0.19537,0
750,300,2,0,747.25,2203.51,-3811.49,1.93120,2.64496,0.71376,0
750,300,3,0,748.02,2053.26,-3786.63,1.93836,2.59904,0.66069,0
750,300,4,0,1114.96,8708.80,-3681.05,1.97533,5.00000,3.02467,1
750,300,5,0,748.38,2409.47,-2997.90,2.19047,2.96642,0.77595,0
750,300,6,0,747.85,2217.71,-3109.69,2.15248,2.87461,0.72214,0
850,300,1,1,357.12,686.27,-3991.81,1.87640,2.10219,0.22579,0
850,300,2,0,846.43,3674.45,-3841.63,1.92032,3.10965,1.18933,0
850,300,3,0,846.46,3595.14,-3582.67,2.00581,3.15646,1.15065,0
850,300,4,0,847.80,3582.41,-3623.63,1.99243,3.13258,1.14015,0
850,300,5,0,849.77,4462.41,-3361.82,2.07608,3.52043,1.44435,0
850,300,6,0,846.88,4006.18,-2971.84,2.19850,3.48181,1.28331,0
950,300,1,1,121.43,7678.24,-4034.24,1.86388,4.32740,2.46352,0
950,300,2,0,121.99,6483.96,-3390.05,2.06246,4.14572,2.08325,0
650,400,1,1,120.50,635.27,-4047.69,1.85843,2.06748,0.20905,0
650,400,2,0,122.98,2356.88,-3790.96,1.93771,2.69754,0.75983,0
650,400,3,0,131.01,8576.29,-3548.53,2.01346,5.00000,2.98654,1
650,400,4,0,117.09,-6107.06,3051.53,4.09984,4.07840,-0.02144,0
750,400,1,1,128.71,4735.17,-4067.23,1.85138,3.37123,1.51986,0
750,400,2,0,118.88,-2953.44,-305.74,3.05823,3.41811,0.35988,0
750,400,3,0,128.79,4093.72,-3010.43,2.18802,3.49907,1.31105,0
750,400,4,0,112.91,-3113.41,32.19,3.14297,3.10845,-0.03452,0
850,400,1,1,123.04,7314.63,-4048.54,1.85683,4.20469,2.34786,0
850,400,2,0,128.38,7092.95,-3171.98,2.13490,4.40604,2.27113,0
850,400,3,0,125.26,6109.17,-2400.53,2.37591,4.32994,1.95403,0
850,400,4,0,201.37,327.64,-2882.92,2.22627,2.33587,0.10960,0
950,400,1,1,129.48,9118.77,-4091.04,1.84386,5.00000,3.15614,1
950,400,2,0,128.94,5240.91,-213.17,3.06918,5.00000,1.93082,1
950,400,3,0,126.04,-5209.88,2149.18,3.81470,5.00000,1.18530,1
950,400,4,0,111.79,-850.91,-1856.32,2.55061,2.54626,-0.00435,0
