host_timestamp_s,monotonic_s,position_mm
1783534343.036574,700995.421000,79.999979
1783534343.057619,700995.437000,79.999979
1783534343.078540,700995.453000,79.999979
1783534343.099789,700995.484000,79.999979
1783534343.120010,700995.500000,79.999979
1783534343.141180,700995.515000,79.999979
1783534343.162132,700995.546000,79.999979
1783534343.182896,700995.562000,79.999979
1783534343.205910,700995.593000,79.999979
1783534343.226402,700995.609000,79.999979
1783534343.246722,700995.625000,79.999979
1783534343.268035,700995.656000,79.999979
1783534343.290154,700995.671000,79.999979
1783534343.310778,700995.687000,79.999979
1783534343.331165,700995.718000,79.999979
1783534343.351285,700995.734000,79.999979
1783534343.373192,700995.750000,79.999979
1783534343.394155,700995.781000,79.999979
1783534343.414659,700995.796000,79.999979
1783534343.435057,700995.812000,79.999979
1783534343.455137,700995.828000,79.999979
1783534343.475621,700995.859000,79.999979
1783534343.495703,700995.875000,79.999979
1783534343.516159,700995.890000,79.999979
1783534343.541083,700995.921000,79.999979
1783534343.562020,700995.937000,79.999979
1783534343.582535,700995.968000,79.999979
1783534343.604562,700995.984000,79.999979
1783534343.625196,700996.000000,79.999979
1783534343.645535,700996.031000,79.999979
1783534343.665883,700996.046000,79.999979
1783534343.686507,700996.062000,79.999979
1783534343.708853,700996.093000,79.999979
1783534343.729282,700996.109000,79.999979
1783534343.749682,700996.125000,79.999979
1783534343.769910,700996.156000,79.999979
1783534343.790528,700996.171000,79.999979
1783534343.810826,700996.187000,79.999979
1783534343.831048,700996.218000,79.999979
1783534343.852350,700996.234000,79.999979
1783534343.872475,700996.250000,79.999979
1783534343.894074,700996.281000,79.999979
1783534343.914524,700996.296000,79.999979
1783534343.934963,700996.312000,79.999979
1783534343.955089,700996.328000,79.999979
1783534343.975842,700996.359000,79.999979
1783534343.996269,700996.375000,79.999979
1783534344.017035,700996.390000,79.999979
1783534344.039167,700996.421000,79.999979
1783534344.059691,700996.437000,79.999979
1783534344.080154,700996.453000,79.999979
1783534344.100546,700996.484000,79.999979
1783534344.120790,700996.500000,79.999979
1783534344.141156,700996.515000,79.999979
1783534344.161800,700996.546000,79.999979
1783534344.182109,700996.562000,79.999979
1783534344.202402,700996.578000,79.999979
1783534344.222542,700996.609000,79.999979
1783534344.242820,700996.625000,79.999979
1783534344.263006,700996.640000,79.999979
1783534344.283498,700996.671000,79.999979
1783534344.303599,700996.687000,79.999979
1783534344.324033,700996.703000,79.999979
1783534344.346145,700996.734000,79.999979
1783534344.366390,700996.750000,79.999979
1783534344.386443,700996.765000,79.999979
1783534344.406599,700996.781000,79.999979
1783534344.426711,700996.812000,79.999979
1783534344.446875,700996.828000,79.999979
1783534344.467426,700996.843000,79.999979
1783534344.488016,700996.875000,79.999979
1783534344.508236,700996.890000,79.999979
1783534344.528660,700996.906000,79.999979
1783534344.548829,700996.921000,79.999979
1783534344.569751,700996.953000,79.999979
1783534344.590451,700996.968000,79.999979
1783534344.612281,700997.000000,79.999979
1783534344.632654,700997.015000,79.999979
1783534344.653125,700997.031000,79.999979
1783534344.673516,700997.046000,79.999979
1783534344.693676,700997.078000,79.999979
1783534344.715327,700997.093000,79.999979
1783534344.736028,700997.109000,79.999979
1783534344.756087,700997.140000,79.999979
1783534344.779530,700997.156000,79.999979
1783534344.800075,700997.187000,79.999979
1783534344.821186,700997.203000,79.999979
1783534344.841553,700997.218000,79.999979
1783534344.861945,700997.250000,79.999979
1783534344.883789,700997.265000,79.999979
1783534344.907009,700997.281000,79.999979
1783534344.928245,700997.312000,79.999979
1783534344.951972,700997.328000,79.999979
1783534344.973882,700997.359000,79.999979
1783534344.994318,700997.375000,79.999979
1783534345.014791,700997.390000,79.999979
1783534345.035534,700997.421000,79.999979
1783534345.055955,700997.437000,79.999979
1783534345.076339,700997.453000,79.999979
1783534345.097507,700997.484000,79.999979
1783534345.118315,700997.500000,79.999979
1783534345.138762,700997.515000,79.999979
1783534345.159733,700997.546000,79.999979
1783534345.180212,700997.562000,79.999979
1783534345.200854,700997.578000,79.999979
1783534345.224159,700997.609000,79.999979
1783534345.244874,700997.625000,79.999979
1783534345.265374,700997.640000,79.999979
1783534345.285971,700997.671000,79.999979
1783534345.306378,700997.687000,79.999979
1783534345.328527,700997.703000,79.999979
1783534345.349494,700997.734000,79.999979
1783534345.370003,700997.750000,79.999979
1783534345.390258,700997.765000,79.999979
1783534345.410440,700997.796000,79.999979
1783534345.430557,700997.812000,79.999979
1783534345.450992,700997.828000,79.999979
1783534345.471467,700997.859000,79.999979
1783534345.491590,700997.875000,79.999979
1783534345.511842,700997.890000,79.999979
1783534345.532369,700997.906000,79.999979
1783534345.552485,700997.937000,79.999979
1783534345.573910,700997.953000,79.999979
1783534345.597413,700997.984000,79.999979
1783534345.617870,700998.000000,79.999979
1783534345.638336,700998.015000,79.999979
1783534345.661371,700998.046000,79.999979
1783534345.681896,700998.062000,79.999979
1783534345.704500,700998.078000,79.999979
1783534345.724792,700998.109000,79.999979
1783534345.745258,700998.125000,79.999979
1783534345.765367,700998.140000,79.999979
1783534345.787685,700998.171000,79.999979
1783534345.809469,700998.187000,79.999979
1783534345.829852,700998.203000,79.999979
1783534345.850145,700998.234000,79.999979
1783534345.870507,700998.250000,79.999979
1783534345.893283,700998.281000,79.999979
1783534345.913836,700998.296000,79.999979
1783534345.934103,700998.312000,79.999979
1783534345.955850,700998.343000,79.999979
1783534345.976603,700998.359000,79.999979
1783534345.997149,700998.375000,79.999979
1783534346.018530,700998.406000,79.999979
1783534346.038902,700998.421000,79.999979
1783534346.059086,700998.437000,79.999979
1783534346.081732,700998.468000,79.999979
1783534346.104748,700998.484000,79.999979
1783534346.124995,700998.500000,79.999979
1783534346.145126,700998.531000,79.999979
1783534346.165675,700998.546000,79.999979
1783534346.187207,700998.562000,79.999979
1783534346.209804,700998.593000,79.999979
1783534346.230405,700998.609000,79.999979
1783534346.250815,700998.625000,79.999979
1783534346.270903,700998.656000,79.999979
1783534346.291340,700998.671000,79.999979
1783534346.311735,700998.687000,79.999979
1783534346.333342,700998.718000,79.999979
1783534346.354127,700998.734000,79.999979
1783534346.374268,700998.750000,79.999979
1783534346.395676,700998.781000,79.999979
1783534346.416247,700998.796000,79.999979
1783534346.436613,700998.812000,79.999979
1783534346.456952,700998.843000,79.999979
1783534346.477580,700998.859000,79.999979
1783534346.498191,700998.875000,79.999979
1783534346.519082,700998.906000,79.999979
1783534346.541746,700998.921000,79.999979
1783534346.562103,700998.937000,79.999979
1783534346.582213,700998.968000,79.999979
1783534346.602468,700998.984000,79.999979
1783534346.623824,700999.000000,79.999979
1783534346.645774,700999.031000,79.999979
1783534346.666259,700999.046000,79.999979
1783534346.686635,700999.062000,79.999979
1783534346.708406,700999.093000,79.999979
1783534346.731254,700999.109000,79.999979
1783534346.751917,700999.125000,79.999979
1783534346.772818,700999.156000,79.999979
1783534346.793189,700999.171000,79.999979
1783534346.813510,700999.187000,79.999979
1783534346.833981,700999.218000,79.999979
1783534346.856567,700999.234000,79.999979
1783534346.876857,700999.250000,79.999979
1783534346.897338,700999.281000,79.999979
1783534346.918046,700999.296000,79.999979
1783534346.938113,700999.312000,79.999979
1783534346.958158,700999.343000,79.999979
1783534346.978647,700999.359000,79.999979
1783534346.999178,700999.375000,79.999979
1783534347.019608,700999.406000,79.999979
1783534347.042550,700999.421000,79.999979
1783534347.062890,700999.437000,79.999979
1783534347.083076,700999.468000,79.999979
1783534347.105442,700999.484000,79.999979
1783534347.126035,700999.500000,79.999979
1783534347.147378,700999.531000,79.999979
1783534347.168130,700999.546000,79.999979
1783534347.188482,700999.562000,79.999979
1783534347.211232,700999.593000,79.999979
1783534347.231802,700999.609000,79.999979
1783534347.252024,700999.625000,79.999979
1783534347.272133,700999.656000,79.999979
1783534347.293062,700999.671000,79.999979
1783534347.313303,700999.687000,79.999979
1783534347.335421,700999.718000,79.999979
1783534347.356237,700999.734000,79.999979
1783534347.376644,700999.750000,79.999979
1783534347.396818,700999.781000,79.999979
1783534347.417284,700999.796000,79.999979
1783534347.437399,700999.812000,79.999979
1783534347.459789,700999.843000,79.999979
1783534347.480414,700999.859000,79.999979
1783534347.500788,700999.875000,79.999979
1783534347.521219,700999.906000,79.999979
1783534347.541787,700999.921000,79.999979
1783534347.562270,700999.937000,79.999979
1783534347.584693,700999.968000,79.999979
1783534347.605228,700999.984000,79.999979
1783534347.625522,701000.000000,79.999979
1783534347.649871,701000.031000,79.999979
1783534347.670118,701000.046000,79.999979
1783534347.690579,701000.078000,79.999979
1783534347.711303,701000.093000,79.999979
1783534347.731782,701000.109000,79.999979
1783534347.752057,701000.125000,79.999979
1783534347.772463,701000.156000,79.999979
1783534347.793485,701000.171000,79.999979
1783534347.813844,701000.187000,79.999979
1783534347.834975,701000.218000,79.999979
1783534347.855505,701000.234000,79.999979
1783534347.875946,701000.250000,79.999979
1783534347.897269,701000.281000,79.999979
1783534347.918087,701000.296000,79.999979
1783534347.938353,701000.312000,79.999979
1783534347.960805,701000.343000,79.999979
1783534347.981413,701000.359000,79.999979
1783534348.001593,701000.375000,79.999979
1783534348.022044,701000.406000,79.999979
1783534348.042830,701000.421000,79.999979
1783534348.063106,701000.437000,79.999979
1783534348.084374,701000.468000,79.999979
1783534348.105122,701000.484000,79.999979
1783534348.125731,701000.500000,79.999979
1783534348.147240,701000.531000,79.999979
1783534348.167465,701000.546000,79.999979
1783534348.187654,701000.562000,79.999979
1783534348.209134,701000.593000,79.999979
1783534348.230623,701000.609000,79.999979
1783534348.250999,701000.625000,79.999979
1783534348.271061,701000.656000,79.999979
1783534348.291571,701000.671000,79.999979
1783534348.312048,701000.687000,79.999979
1783534348.333498,701000.718000,79.999979
1783534348.355707,701000.734000,79.999979
1783534348.376326,701000.750000,79.999979
1783534348.414001,701000.796000,79.999979
1783534348.438987,701000.812000,79.999979
1783534348.461473,701000.843000,79.999979
1783534348.481922,701000.859000,79.999979
1783534348.502486,701000.890000,79.999979
1783534348.522778,701000.906000,79.999979
1783534348.542913,701000.921000,79.999979
1783534348.563392,701000.937000,79.999979
1783534348.583910,701000.968000,79.999979
1783534348.604636,701000.984000,79.999979
1783534348.624842,701001.000000,79.999979
1783534348.645422,701001.031000,79.999979
1783534348.665727,701001.046000,79.999979
1783534348.686284,701001.062000,79.999979
1783534348.706728,701001.093000,79.999979
1783534348.727157,701001.109000,79.999979
1783534348.747687,701001.125000,79.999979
1783534348.767749,701001.140000,79.999979
1783534348.790184,701001.171000,79.999979
1783534348.811159,701001.187000,79.999979
1783534348.831269,701001.218000,79.999979
1783534348.852838,701001.234000,79.999979
1783534348.873418,701001.250000,79.999979
1783534348.894304,701001.281000,79.999979
1783534348.915088,701001.296000,79.999979
1783534348.935534,701001.312000,79.999979
1783534348.955822,701001.343000,79.999979
1783534348.976793,701001.359000,79.999979
1783534348.997368,701001.375000,79.999979
1783534349.017427,701001.390000,79.999979
1783534349.040396,701001.421000,79.999979
1783534349.060706,701001.437000,79.999979
1783534349.080961,701001.468000,79.999979
1783534349.102736,701001.484000,79.999979
1783534349.123371,701001.500000,79.999979
1783534349.144293,701001.531000,79.999979
1783534349.164643,701001.546000,79.999979
1783534349.185069,701001.562000,79.999979
1783534349.205328,701001.578000,79.999979
1783534349.227305,701001.609000,79.999979
1783534349.247927,701001.625000,79.999979
1783534349.268005,701001.656000,79.999979
1783534349.291569,701001.671000,79.999979
1783534349.312086,701001.687000,79.999979
1783534349.333514,701001.718000,79.999979
1783534349.353652,701001.734000,79.999979
1783534349.374079,701001.750000,79.999979
1783534349.394295,701001.781000,79.999979
1783534349.415254,701001.796000,79.999979
1783534349.435695,701001.812000,79.999979
1783534349.456668,701001.843000,79.999979
1783534349.476850,701001.859000,79.999979
1783534349.497033,701001.875000,79.999979
1783534349.517886,701001.906000,79.999979
1783534349.538518,701001.921000,79.999979
1783534349.558740,701001.937000,79.999979
1783534349.579870,701001.953000,79.999979
1783534349.600415,701001.984000,79.999979
1783534349.620645,701002.000000,79.999979
1783534349.640884,701002.015000,79.999979
1783534349.661011,701002.046000,79.999979
1783534349.681412,701002.062000,79.999979
1783534349.701530,701002.078000,79.999979
1783534349.721802,701002.109000,79.999979
1783534349.742364,701002.125000,79.999979
1783534349.765671,701002.140000,79.999979
1783534349.786157,701002.171000,79.999979
1783534349.806325,701002.187000,79.999979
1783534349.826739,701002.203000,79.999979
1783534349.849220,701002.234000,79.999979
1783534349.870540,701002.250000,79.999979
1783534349.890635,701002.265000,79.999979
1783534349.911675,701002.296000,79.999979
1783534349.932111,701002.312000,79.999979
1783534349.952219,701002.328000,79.999979
1783534349.973873,701002.359000,79.999979
1783534349.994711,701002.375000,79.999979
1783534350.015085,701002.390000,79.999979
1783534350.036632,701002.421000,79.999979
1783534350.057057,701002.437000,79.999979
1783534350.077234,701002.453000,79.999979
1783534350.099064,701002.484000,79.999979
1783534350.119838,701002.500000,79.999979
1783534350.140277,701002.515000,79.999979
1783534350.161949,701002.546000,79.999979
1783534350.182438,701002.562000,79.999979
1783534350.204380,701002.578000,79.999979
1783534350.225399,701002.609000,79.999979
1783534350.245780,701002.625000,79.999979
1783534350.266868,701002.640000,79.999979
1783534350.287649,701002.671000,79.999979
1783534350.307805,701002.687000,79.999979
1783534350.328291,701002.703000,79.999979
1783534350.348618,701002.734000,79.999979
1783534350.369799,701002.750000,79.999979
1783534350.391305,701002.765000,79.999979
1783534350.411754,701002.796000,79.999979
1783534350.432139,701002.812000,79.999979
1783534350.452761,701002.828000,79.999979
1783534350.474801,701002.859000,79.999979
1783534350.495667,701002.875000,79.999979
1783534350.515815,701002.890000,79.999979
1783534350.536564,701002.921000,79.999979
1783534350.556786,701002.937000,79.999979
1783534350.577771,701002.953000,79.999979
1783534350.600072,701002.984000,79.999979
1783534350.620880,701003.000000,79.999979
1783534350.641459,701003.015000,79.999979
1783534350.661818,701003.046000,79.999979
1783534350.682079,701003.062000,79.999979
1783534350.709995,701003.093000,79.999979
1783534350.730540,701003.109000,79.999979
1783534350.750894,701003.125000,79.999979
1783534350.775142,701003.156000,79.999979
1783534350.796016,701003.171000,79.999979
1783534350.816363,701003.203000,79.999979
1783534350.837228,701003.218000,79.999979
1783534350.858023,701003.234000,79.999979
1783534350.878360,701003.265000,79.999979
1783534350.898979,701003.281000,79.999979
1783534350.919832,701003.296000,79.999979
1783534350.939983,701003.328000,79.999979
1783534350.962130,701003.343000,79.999979
1783534350.982278,701003.359000,79.999979
1783534351.002684,701003.390000,79.999979
1783534351.024603,701003.406000,79.999979
1783534351.045136,701003.421000,79.999979
1783534351.065666,701003.453000,79.999979
1783534351.089803,701003.468000,79.999979
1783534351.110563,701003.484000,79.999979
1783534351.131896,701003.515000,79.999979
1783534351.154021,701003.531000,79.999979
1783534351.174781,701003.562000,79.999979
1783534351.195466,701003.578000,79.999979
1783534351.215946,701003.593000,79.999979
1783534351.236390,701003.609000,79.999979
1783534351.256542,701003.640000,79.999979
1783534351.278152,701003.656000,79.999979
1783534351.298926,701003.671000,79.999979
1783534351.323018,701003.703000,79.999979
1783534351.345508,701003.718000,79.999979
1783534351.366304,701003.750000,79.999979
1783534351.394799,701003.781000,79.999979
