Results Table 1


Results Table 2


Time,Displacement,Force
(s),(mm),(mN)
"0.0000","0.0005","-6.4270"
"0.0200","0.0006","-6.3526"
"0.0400","0.0025","-5.7001"
"0.0600","0.0115","-4.7916"
"0.0800","0.0304","-4.3607"
"0.1000","0.0543","-3.7912"
"0.1200","0.0767","-2.6010"
"0.1400","0.0962","-1.4882"
"0.1600","0.1144","-0.3856"
"0.1800","0.1323","0.7065"
"0.2000","0.1516","1.5712"
"0.2200","0.1715","1.9749"
"0.2400","0.1906","3.3404"
"0.2600","0.2101","4.2939"
"0.2800","0.2301","4.8052"
"0.3000","0.2500","5.4655"
"0.3200","0.2700","6.1000"
"0.3400","0.2895","6.7694"
"0.3600","0.3094","7.5402"
"0.3800","0.3296","8.1567"
"0.4000","0.3497","8.9001"
"0.4200","0.3702","9.3955"
"0.4400","0.3902","10.0303"
"0.4600","0.4099","10.4473"
"0.4800","0.4298","11.2506"
"0.5000","0.4496","11.8110"
"0.5200","0.4701","11.9507"
"0.5400","0.4901","12.4055"
"0.5600","0.5096","12.8651"
"0.5800","0.5297","12.9838"
"0.6000","0.5495","13.7716"
"0.6200","0.5695","14.0286"
"0.6400","0.5897","14.8145"
"0.6600","0.6097","15.5420"
"0.6800","0.6303","15.9539"
"0.7000","0.6505","16.6694"
"0.7200","0.6704","17.2977"
"0.7400","0.6898","17.9243"
"0.7600","0.7088","18.5819"
"0.7800","0.7291","19.1097"
"0.8000","0.7497","19.2665"
"0.8200","0.7694","20.3133"
"0.8400","0.7892","20.8837"
"0.8600","0.8086","21.5883"
"0.8800","0.8287","22.2914"
"0.9000","0.8493","22.6219"
"0.9200","0.8695","23.5603"
"0.9400","0.8896","23.9821"
"0.9600","0.9093","24.6241"
"0.9800","0.9291","25.3120"
"1.0000","0.9495","25.9393"
"1.0200","0.9692","26.4611"
"1.0400","0.9889","27.3693"
"1.0600","1.0087","27.9138"
"1.0800","1.0290","28.3994"
"1.1000","1.0499","28.3428"
"1.1200","1.0702","29.0362"
"1.1400","1.0900","29.8698"
"1.1600","1.1095","30.9924"
"1.1800","1.1289","31.7816"
"1.2000","1.1495","31.9844"
"1.2200","1.1697","32.4834"
"1.2400","1.1895","32.9956"
"1.2600","1.2096","33.3826"
"1.2800","1.2292","34.5235"
"1.3000","1.2492","35.0282"
"1.3200","1.2694","35.2518"
"1.3400","1.2890","36.3839"
"1.3600","1.3091","37.1132"
"1.3800","1.3293","37.4449"
"1.4000","1.3495","38.1327"
"1.4200","1.3697","38.6646"
"1.4400","1.3893","39.6668"
"1.4600","1.4097","40.2434"
"1.4800","1.4301","40.5467"
"1.5000","1.4498","41.0153"
"1.5200","1.4693","41.3442"
"1.5400","1.4886","42.5022"
"1.5600","1.5088","43.1794"
"1.5800","1.5293","43.8041"
"1.6000","1.5494","44.3486"
"1.6200","1.5697","44.8973"
"1.6400","1.5889","45.3596"
"1.6600","1.6083","46.1265"
"1.6800","1.6287","46.6784"
"1.7000","1.6492","47.3899"
"1.7200","1.6696","47.9309"
"1.7400","1.6892","48.7260"
"1.7600","1.7089","49.3961"
"1.7800","1.7294","49.4601"
"1.8000","1.7496","50.1943"
"1.8200","1.7696","50.9029"
"1.8400","1.7896","51.6831"
"1.8600","1.8094","52.3413"
"1.8800","1.8296","52.9856"
"1.9000","1.8497","53.5152"
"1.9200","1.8700","54.1399"
"1.9400","1.8900","54.6027"
"1.9600","1.9097","55.1821"
"1.9800","1.9300","55.5806"
"2.0000","1.9500","56.4185"
"2.0200","1.9697","57.3285"
"2.0400","1.9897","57.6146"
"2.0600","2.0094","58.6912"
"2.0800","2.0299","59.3306"
"2.1000","2.0504","59.9417"
"2.1200","2.0700","60.4662"
"2.1400","2.0894","60.6787"
"2.1600","2.1087","61.5173"
"2.1800","2.1288","62.0132"
"2.2000","2.1495","62.6443"
"2.2200","2.1695","63.5926"
"2.2400","2.1893","63.6508"
"2.2600","2.2085","64.1458"
"2.2800","2.2278","65.4823"
"2.3000","2.2485","65.8573"
"2.3200","2.2692","66.7005"
"2.3400","2.2898","67.0603"
"2.3600","2.3098","67.7825"
"2.3800","2.3295","68.5815"
"2.4000","2.3498","68.9939"
"2.4200","2.3696","69.6618"
"2.4400","2.3895","70.2323"
