Results Table 1


Results Table 2


Time,Displacement,Force
(s),(mm),(mN)
"3.7000","3.6489","108.7130"
"3.7200","3.6687","109.4345"
"3.7400","3.6881","109.8783"
"3.7600","3.7083","110.4035"
"3.7800","3.7287","111.0703"
"3.8000","3.7496","111.3630"
"3.8200","3.7697","112.1537"
"3.8400","3.7890","112.9535"
"3.8600","3.8093","113.6259"
"3.8800","3.8298","114.1970"
"3.9000","3.8499","114.6796"
"3.9200","3.8691","115.5062"
"3.9400","3.8879","116.9014"
"3.9600","3.9082","117.0656"
"3.9800","3.9288","117.3245"
"4.0000","3.9493","117.6155"
"4.0200","3.9695","118.1605"
"4.0400","3.9883","118.8065"
"4.0600","4.0073","119.6221"
"4.0800","4.0271","120.3845"
"4.1000","4.0478","121.2415"
"4.1200","4.0688","121.5844"
"4.1400","4.0887","122.3092"
"4.1600","4.1080","122.9223"
"4.1800","4.1280","123.2821"
"4.2000","4.1482","124.4418"
"4.2200","4.1690","124.9289"
"4.2400","4.1891","125.3514"
"4.2600","4.2089","125.6323"
"4.2800","4.2291","126.3932"
"4.3000","4.2488","126.9506"
"4.3200","4.2687","127.6732"
"4.3400","4.2886","128.2523"
"4.3600","4.3082","129.1984"
"4.3800","4.3283","129.5985"
"4.4000","4.3480","130.4480"
"4.4200","4.3678","131.2975"
"4.4400","4.3884","131.3624"
"4.4600","4.4085","131.8839"
"4.4800","4.4287","132.3875"
"4.5000","4.4487","133.0795"
"4.5200","4.4688","133.7086"
"4.5400","4.4893","134.0940"
"4.5600","4.5090","134.8116"
"4.5800","4.5289","135.4856"
"4.6000","4.5493","136.2604"
"4.6200","4.5694","136.7817"
"4.6400","4.5892","137.7295"
"4.6600","4.6087","138.5223"
"4.6800","4.6286","139.1098"
"4.7000","4.6491","139.2025"
"4.7200","4.6693","140.0851"
"4.7400","4.6896","140.5789"
"4.7600","4.7087","141.4042"
"4.7800","4.7277","142.1498"
"4.8000","4.7484","142.4358"
"4.8200","4.7691","143.1733"
"4.8400","4.7895","143.7598"
"4.8600","4.8095","144.3153"
"4.8800","4.8293","144.7646"
"4.9000","4.8496","145.2093"
"4.9200","4.8696","146.0911"
"4.9400","4.8893","146.9576"
"4.9600","4.9091","147.5690"
"4.9800","4.9286","148.4263"
"5.0000","4.9488","148.6882"
"5.0200","4.9688","149.5012"
"5.0400","4.9886","150.1509"
"5.0600","5.0087","150.4302"
"5.0800","5.0284","151.0604"
"5.1000","5.0483","151.7638"
"5.1200","5.0688","152.5984"
"5.1400","5.0892","153.2430"
"5.1600","5.1094","153.6321"
"5.1800","5.1289","154.1231"
"5.2000","5.1487","154.6981"
"5.2200","5.1689","155.2546"
"5.2400","5.1885","156.4946"
"5.2600","5.2089","156.8625"
"5.2800","5.2294","157.5099"
"5.3000","5.2494","157.8608"
"5.3200","5.2693","158.5602"
"5.3400","5.2886","159.1653"
"5.3600","5.3078","159.5344"
"5.3800","5.3278","160.2636"
"5.4000","5.3481","160.7812"
"5.4200","5.3689","161.4728"
"5.4400","5.3890","162.2283"
"5.4600","5.4091","163.1107"
"5.4800","5.4294","163.5327"
"5.5000","5.4490","164.6082"
"5.5200","5.4690","164.5843"
"5.5400","5.4888","165.3215"
"5.5600","5.5085","166.0107"
"5.5800","5.5291","166.4284"
"5.6000","5.5494","167.5010"
"5.6200","5.5696","168.5168"
"5.6400","5.5896","168.6948"
"5.6600","5.6089","169.1963"
"5.6800","5.6290","169.6276"
"5.7000","5.6495","169.9999"
"5.7200","5.6698","170.9462"
"5.7400","5.6893","171.2252"
"5.7600","5.7079","172.2615"
"5.7800","5.7279","172.9407"
"5.8000","5.7487","173.1687"
