t_s,v_trig,v_dac,v_out
0.00424,0,0.24,0.6
0.00426,0,0.2,0.6
0.00428,0,0.2,0.6
0.0043,0,0.2,0.6
0.00432,0,0.2,0.6
0.00434,0,0.2,0.6
0.00436,0,0.2,0.6
0.00438,0,0.24,0.6
0.0044,0,0.2,0.6
0.00442,0,0.2,0.6
0.00444,0,0.2,0.6
0.00446,0,0.2,0.6
0.00448,0,0.2,0.6
0.0045,0,0.2,0.6
0.00452,0,0.2,0.6
0.00454,0,0.2,0.6
0.00456,0,0.2,0.6
0.00458,0,0.2,0.6
0.0046,0,0.2,0.6
0.00462,0,0.2,0.6
0.00464,0,0.2,0.6
0.00466,0,0.2,0.6
0.00468,0,0.2,0.6
0.0047,0,0.2,0.6
0.00472,0,0.2,0.6
0.00474,0,0.2,0.6
0.00476,0,0.2,0.6
0.00478,0.04,0.2,0.6
0.0048,0,0.2,0.6
0.00482,0,0.2,0.56
0.00484,0,0.2,0.6
0.00486,0,0.24,0.6
0.00488,0,0.2,0.6
0.0049,0,0.2,0.6
0.00492,0,0.2,0.56
0.00494,0,0.2,0.6
0.00496,0,0.2,0.6
0.00498,0,0.2,0.6
0.005,0,0.2,0.6
0.00502,0,0.2,0.6
0.00504,0,0.2,0.6
0.00506,0,0.2,0.6
0.00508,0,0.2,0.6
0.0051,0,0.2,0.6
0.00512,0,0.2,0.6
0.00514,0,0.2,0.6
0.00516,0,0.2,0.6
0.00518,0,0.2,0.6
0.0052,0,0.2,0.6
0.00522,0,0.2,0.6
0.00524,0,0.2,0.6
0.00526,0,0.2,0.6
0.00528,0,0.2,0.6
0.0053,0,0.2,0.6
0.00532,0,0.2,0.6
0.00534,0,0.2,0.6
0.00536,0,0.2,0.6
0.00538,0,0.2,0.6
0.0054,0,0.2,0.6
0.00542,0,0.2,0.6
0.00544,0,0.2,0.6
0.00546,0,0.2,0.6
0.00548,0,0.2,0.6
0.0055,0,0.2,0.6
0.00552,0,0.2,0.6
0.00554,0,0.2,0.6
0.00556,0,0.2,0.6
0.00558,0,0.2,0.6
0.0056,0,0.2,0.6
0.00562,0,0.2,0.56
0.00564,0,0.2,0.6
0.00566,0,0.24,0.6
0.00568,0,0.2,0.6
0.0057,0,0.2,0.6
0.00572,0,0.2,0.6
0.00574,0,0.2,0.6
0.00576,0,0.2,0.56
0.00578,0,0.2,0.6
0.0058,0,0.2,0.56
0.00582,0,0.2,0.6
0.00584,0,0.2,0.6
0.00586,0,0.2,0.6
0.00588,0.04,0.2,0.6
0.0059,0,0.2,0.6
0.00592,0,0.2,0.6
0.00594,0,0.2,0.6
0.00596,0,0.2,0.6
0.00598,0,0.2,0.56
0.006,0,0.24,0.6
0.00602,0,0.2,0.6
0.00604,0,0.2,0.56
0.00606,0,0.2,0.6
0.00608,0,0.2,0.6
0.0061,0.04,0.24,0.64
0.00612,0,0.2,0.6
0.00614,0,0.2,0.6
0.00616,0,0.2,0.56
0.00618,0,0.2,0.6
0.0062,0,0.2,0.6
0.00622,0,0.2,0.6
0.00624,0,0.2,0.6
0.00626,0,0.2,0.56
0.00628,0,0.2,0.6
0.0063,0,0.2,0.6
0.00632,0,0.2,0.6
0.00634,0,0.2,0.6
0.00636,0,0.2,0.56
0.00638,0,0.2,0.6
0.0064,0,0.2,0.6
0.00642,0,0.2,0.6
0.00644,0,0.2,0.6
0.00646,0,0.24,0.6
0.00648,0.04,0.2,0.64
0.0065,0,0.2,0.6
0.00652,0,0.2,0.6
0.00654,0,0.2,0.6
0.00656,0,0.2,0.6
0.00658,0,0.2,0.6
0.0066,0,0.2,0.6
0.00662,0,0.2,0.56
0.00664,0,0.2,0.6
0.00666,0,0.2,0.6
0.00668,0,0.2,0.6
0.0067,0,0.2,0.6
0.00672,0,0.2,0.6
0.00674,0,0.24,0.6
0.00676,0,0.2,0.6
0.00678,0,0.2,0.6
0.0068,0,0.2,0.6
0.00682,0,0.2,0.6
0.00684,0,0.2,0.6
0.00686,0,0.2,0.6
0.00688,0,0.2,0.6
0.0069,0,0.2,0.6
0.00692,0,0.2,0.6
0.00694,0,0.2,0.6
0.00696,0,0.2,0.6
0.00698,0,0.2,0.6
0.007,0,0.2,0.6
0.00702,0,0.2,0.6
0.00704,0,0.2,0.6
0.00706,0,0.2,0.6
0.00708,0,0.2,0.6
0.0071,0,0.2,0.6
0.00712,0,0.2,0.6
0.00714,0,0.2,0.6
0.00716,0,0.2,0.6
0.00718,0,0.2,0.6
0.0072,0,0.2,0.6
0.00722,0,0.2,0.6
0.00724,0,0.2,0.6
0.00726,0,0.24,0.6
0.00728,0,0.2,0.6
0.0073,0,0.2,0.6
0.00732,0,0.2,0.6
0.00734,0,0.24,0.6
0.00736,0,0.2,0.6
0.00738,0,0.2,0.56
0.0074,0,0.2,0.6
0.00742,0,0.2,0.56
0.00744,0,0.2,0.6
0.00746,0,0.2,0.6
0.00748,0,0.2,0.6
0.0075,0,0.2,0.6
0.00752,0,0.2,0.6
0.00754,0,0.2,0.6
0.00756,0,0.2,0.6
0.00758,0,0.2,0.6
0.0076,0,0.2,0.6
0.00762,0,0.2,0.6
0.00764,0,0.2,0.6
0.00766,0,0.24,0.6
0.00768,0,0.2,0.6
0.0077,0,0.2,0.6
0.00772,0,0.24,0.6
0.00774,0,0.2,0.6
0.00776,0,0.2,0.6
0.00778,0,0.2,0.6
0.0078,0,0.2,0.6
0.00782,0,0.2,0.6
0.00784,0,0.2,0.6
0.00786,0,0.2,0.6
0.00788,0,0.2,0.6
0.0079,0,0.2,0.6
0.00792,0,0.2,0.6
0.00794,0,0.2,0.56
