step,load,from_v,to_v,code_from,code_to,repeat,v_base,v_final,span_v,settle_1pct_ms,settle_0p1pct_ms,overshoot_pct,rise_10_90_ms,trig_to_dac_ms,dac_to_ldo_ms
small_up,unloaded,0.5,1.0,141,514,0,0.5515,1.1823,0.6308,nan,nan,9.1528,195.0,0.3,64.1
small_up,unloaded,0.5,1.0,141,514,1,0.5894,1.1815,0.5922,nan,nan,9.8711,220.2,0.3,79.9
small_up,unloaded,0.5,1.0,141,514,2,0.581,1.1845,0.6035,nan,nan,9.1946,222.7,0.3,75.9
mid_up,unloaded,0.5,2.5,141,1631,0,0.5881,2.9839,2.3959,nan,nan,2.3407,218.4,0.4,79.5
mid_up,unloaded,0.5,2.5,141,1631,1,0.5954,2.9852,2.3898,nan,nan,2.2942,221.5,0.4,78.9
mid_up,unloaded,0.5,2.5,141,1631,2,0.5957,2.985,2.3893,nan,nan,2.3002,222.4,0.3,79.8
large_up,unloaded,0.5,5.0,141,3492,0,0.5916,5.08,4.4884,142.0,143.6,0.0,110.6,0.3,60.2
large_up,unloaded,0.5,5.0,141,3492,1,0.5199,5.08,4.5601,141.1,144.1,0.0,112.3,0.3,59.0
large_up,unloaded,0.5,5.0,141,3492,2,0.5642,5.08,4.5158,141.5,144.1,0.0,111.2,0.3,60.2
large_dn,unloaded,5.0,0.5,3492,141,0,5.01,0.7016,-4.3084,nan,nan,2.3582,196.6,0.4,58.7
large_dn,unloaded,5.0,0.5,3492,141,1,5.0519,0.7023,-4.3495,nan,nan,1.4334,198.3,0.4,59.2
large_dn,unloaded,5.0,0.5,3492,141,2,5.08,0.7017,-4.3783,nan,nan,1.4081,199.3,0.3,56.9
small_up,loaded,0.5,1.0,141,514,0,0.5947,1.1892,0.5946,nan,nan,8.5397,212.2,0.3,72.1
small_up,loaded,0.5,1.0,141,514,1,0.5355,1.1884,0.6529,nan,nan,7.9072,222.5,0.4,56.2
small_up,loaded,0.5,1.0,141,514,2,0.5989,1.1933,0.5944,nan,nan,7.8552,213.0,0.3,72.4
mid_up,loaded,0.5,2.5,141,1631,0,0.5714,2.9875,2.4161,nan,nan,2.1732,222.0,0.3,79.4
mid_up,loaded,0.5,2.5,141,1631,1,0.5838,2.9883,2.4045,nan,nan,2.1493,223.1,0.4,78.5
mid_up,loaded,0.5,2.5,141,1631,2,0.5608,2.9888,2.428,nan,nan,2.1076,219.4,0.3,77.3
large_up,loaded,0.5,5.0,141,3492,0,0.5989,5.08,4.4811,140.8,142.8,0.0,110.5,0.3,59.8
large_up,loaded,0.5,5.0,141,3492,1,0.5599,5.08,4.5201,140.3,143.6,0.0,111.0,0.3,59.8
large_up,loaded,0.5,5.0,141,3492,2,0.5989,5.08,4.4811,140.7,143.2,0.0,110.0,0.4,59.5
large_dn,loaded,5.0,0.5,3492,141,0,5.08,0.7045,-4.3755,nan,nan,1.4749,200.1,0.4,57.4
large_dn,loaded,5.0,0.5,3492,141,1,5.08,0.7039,-4.3761,nan,nan,1.4594,198.5,0.4,57.1
large_dn,loaded,5.0,0.5,3492,141,2,5.0519,0.7015,-4.3504,nan,nan,2.3336,197.4,0.4,58.8
