host_timestamp_s,monotonic_s,fields_json
1783958640.479728,1125283.578000,"{""t_ms"":144289,""hwm"":135,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":525,""rate2"":524,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":147514351,""m4_us"":145251901,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958641.580805,1125284.687000,"{""t_ms"":145289,""hwm"":7,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":148550448,""m4_us"":146287988,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958642.600023,1125285.703000,"{""t_ms"":146289,""hwm"":8,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":149586607,""m4_us"":147324132,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958643.646385,1125286.750000,"{""t_ms"":147290,""hwm"":8,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":511,""rate2"":512,""prod1"":511,""prod2"":512,""sma_state"":5,""m7_us"":150624006,""m4_us"":148361349,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958644.753971,1125287.859000,"{""t_ms"":148290,""hwm"":8,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":151660027,""m4_us"":149397563,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958645.777542,1125288.875000,"{""t_ms"":149290,""hwm"":7,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":152696223,""m4_us"":150433765,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958646.831500,1125289.937000,"{""t_ms"":150290,""hwm"":7,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":153732479,""m4_us"":151469989,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958647.881265,1125290.984000,"{""t_ms"":151290,""hwm"":8,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":154768680,""m4_us"":152506200,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958648.906146,1125292.000000,"{""t_ms"":152290,""hwm"":6,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":155804836,""m4_us"":153542366,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958650.128343,1125293.234000,"{""t_ms"":153290,""hwm"":8,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":156841036,""m4_us"":154578568,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
