host_timestamp_s,monotonic_s,firmware_timestamp_us,src,channel,value,raw_code,hw_us,seq
1783958620.810347,1125263.906000,124791000,1,laser,4.97183300,2135386062,126230868,60406
1783958620.810876,1125263.906000,124792000,2,load,2.34698100,3937580,126231883,60406
1783958620.811400,1125263.906000,124793000,1,laser,4.97198200,2135449756,126232896,60407
1783958620.811400,1125263.906000,124794000,2,load,2.34698100,3937580,126233905,60407
1783958620.812052,1125263.906000,124795000,1,laser,4.97198200,2135449756,126234919,60408
1783958620.812608,1125263.906000,124796000,2,load,2.34742200,3938320,126235934,60408
1783958620.813136,1125263.906000,124797000,1,laser,4.97284000,2135818485,126236941,60409
1783958620.813661,1125263.906000,124798000,2,load,2.34101400,3927570,126237957,60409
1783958620.814245,1125263.906000,124799000,1,laser,4.97318000,2135964557,126238964,60410
1783958620.814245,1125263.906000,124800000,2,load,2.33973300,3925420,126239979,60410
1783958620.814778,1125263.921000,124801000,1,laser,4.97171600,2135335654,126240992,60411
1783958620.815298,1125263.921000,124802000,2,load,2.34945400,3941730,126242008,60411
1783958620.815298,1125263.921000,124803000,1,laser,4.97125800,2135139237,126243015,60412
1783958620.816304,1125263.921000,124804000,2,load,2.33533400,3918040,126244030,60412
1783958620.816811,1125263.921000,124805000,1,laser,4.97125800,2135139237,126245037,60413
1783958620.816811,1125263.921000,124806000,2,load,2.33533400,3918040,126246053,60413
1783958620.817816,1125263.921000,124807000,1,laser,4.97177800,2135362412,126247066,60414
1783958620.817816,1125263.921000,124808000,2,load,2.33467200,3916930,126248075,60414
1783958620.818817,1125263.921000,124809000,1,laser,4.97191100,2135419411,126249088,60415
1783958620.818817,1125263.921000,124810000,2,load,2.33399300,3915790,126250104,60415
1783958620.818817,1125263.921000,124811000,1,laser,4.97285100,2135823078,126251111,60416
1783958620.819816,1125263.921000,124812000,2,load,2.33776000,3922110,126252126,60416
1783958620.819816,1125263.921000,124813000,1,laser,4.97328000,2136007445,126253140,60417
1783958620.820816,1125263.921000,124814000,2,load,2.34178900,3928870,126254149,60417
1783958620.820816,1125263.921000,124815000,1,laser,4.97328000,2136007445,126255162,60418
1783958620.821820,1125263.921000,124816000,2,load,2.34178900,3928870,126256177,60418
1783958620.821820,1125263.921000,124817000,1,laser,4.97188300,2135407392,126257184,60419
1783958620.822821,1125263.921000,124818000,2,load,2.33768800,3921990,126258200,60419
1783958620.822821,1125263.921000,124819000,1,laser,4.97129900,2135156433,126259207,60420
1783958620.823646,1125263.921000,124820000,2,load,2.33792100,3922380,126260222,60420
1783958620.824153,1125263.921000,124821000,1,laser,4.97177900,2135362751,126261236,60421
1783958620.824678,1125263.921000,124822000,2,load,2.34684300,3937350,126262245,60421
1783958620.824678,1125263.921000,124823000,1,laser,4.97190100,2135415451,126263258,60422
1783958620.825683,1125263.921000,124824000,2,load,2.34850600,3940140,126264273,60422
1783958620.825683,1125263.921000,124825000,1,laser,4.97274800,2135779097,126265280,60423
1783958620.826683,1125263.921000,124826000,2,load,2.34850600,3940140,126266296,60423
1783958620.826683,1125263.921000,124827000,1,laser,4.97274800,2135779097,126267303,60424
1783958620.827683,1125263.921000,124828000,2,load,2.34194400,3929130,126268318,60424
1783958620.827683,1125263.921000,124829000,1,laser,4.97330400,2136017872,126269332,60425
1783958620.828683,1125263.921000,124830000,2,load,2.34135400,3928140,126270341,60425
1783958620.828683,1125263.921000,124831000,1,laser,4.97191300,2135420339,126271354,60426
1783958620.829683,1125263.921000,124832000,2,load,2.34993100,3942530,126272369,60426
1783958620.830685,1125263.937000,124833000,1,laser,4.97125100,2135136105,126273376,60427
1783958620.831683,1125263.937000,124834000,2,load,2.33964900,3925280,126274392,60427
1783958620.832684,1125263.937000,124835000,1,laser,4.97173000,2135341984,126275405,60428
1783958620.833683,1125263.937000,124836000,2,load,2.33990000,3925700,126276414,60428
1783958620.834683,1125263.937000,124837000,1,laser,4.97173000,2135341984,126277428,60429
1783958620.835682,1125263.937000,124838000,2,load,2.33990000,3925700,126278443,60429
1783958620.836683,1125263.937000,124839000,1,laser,4.97186300,2135398910,126279450,60430
1783958620.837191,1125263.937000,124840000,2,load,2.34222400,3929600,126280465,60430
1783958620.838198,1125263.937000,124841000,1,laser,4.97269000,2135753861,126281479,60431
1783958620.839632,1125263.937000,124842000,2,load,2.34624100,3936340,126282488,60431
1783958620.840669,1125263.937000,124843000,1,laser,4.97334300,2136034547,126283501,60432
1783958620.841675,1125263.937000,124844000,2,load,2.34658700,3936920,126284517,60432
1783958620.842675,1125263.937000,124845000,1,laser,4.97209600,2135498835,126285524,60433
1783958620.843676,1125263.937000,124846000,2,load,2.34851200,3940150,126286539,60433
1783958620.844675,1125263.937000,124847000,1,laser,4.97209600,2135498835,126287546,60434
1783958620.845675,1125263.953000,124848000,2,load,2.34851200,3940150,126288561,60434
1783958620.851743,1125263.953000,124849000,1,laser,4.97130200,2135157774,126289575,60435
1783958620.854379,1125263.953000,124850000,2,load,2.35348900,3948500,126290584,60435
1783958620.866507,1125263.968000,124851000,1,laser,4.97170000,2135328819,126291597,60436
1783958620.866507,1125263.968000,124852000,2,load,2.34592000,3935800,126292613,60436
1783958620.867512,1125263.968000,124853000,1,laser,4.97172900,2135341376,126293620,60437
1783958620.873686,1125263.968000,124854000,2,load,2.33211500,3912640,126294635,60437
1783958620.874212,1125263.968000,124855000,1,laser,4.97256800,2135701709,126295648,60438
1783958620.874742,1125263.968000,124856000,2,load,2.33690700,3920680,126296657,60438
1783958620.875268,1125263.968000,124857000,1,laser,4.97342000,2136067494,126297671,60439
1783958620.875798,1125263.968000,124858000,2,load,2.33690700,3920680,126298686,60439
1783958620.876332,1125263.968000,124859000,1,laser,4.97342000,2136067494,126299693,60440
1783958620.876332,1125263.968000,124860000,2,load,2.34588400,3935740,126300709,60440
1783958620.876916,1125263.984000,124861000,1,laser,4.97225300,2135566456,126301716,60441
1783958620.877469,1125263.984000,124862000,2,load,2.35385300,3949110,126302731,60441
1783958620.878013,1125263.984000,124863000,1,laser,4.97127200,2135145395,126303744,60442
1783958620.878538,1125263.984000,124864000,2,load,2.34741600,3938310,126304760,60442
1783958620.879049,1125263.984000,124865000,1,laser,4.97162800,2135297903,126305767,60443
1783958620.879593,1125263.984000,124866000,2,load,2.34546700,3935040,126306782,60443
1783958620.879593,1125263.984000,124867000,1,laser,4.97179900,2135371338,126307789,60444
1783958620.880120,1125263.984000,124868000,2,load,2.34546700,3935040,126308805,60444
1783958620.880646,1125263.984000,124869000,1,laser,4.97179900,2135371338,126309818,60445
1783958620.881172,1125263.984000,124870000,2,load,2.34792800,3939170,126310827,60445
1783958620.881695,1125263.984000,124871000,1,laser,4.97241900,2135637664,126311840,60446
1783958620.882218,1125263.984000,124872000,2,load,2.34426300,3933020,126312856,60446
1783958620.882743,1125263.984000,124873000,1,laser,4.97328300,2136008854,126313863,60447
1783958620.882743,1125263.984000,124874000,2,load,2.33066100,3910200,126314878,60447
1783958620.883266,1125263.984000,124875000,1,laser,4.97234900,2135607645,126315892,60448
1783958620.883788,1125263.984000,124876000,2,load,2.33268700,3913600,126316901,60448
1783958620.884309,1125263.984000,124877000,1,laser,4.97124600,2135133651,126317914,60449
1783958620.884830,1125263.984000,124878000,2,load,2.34471000,3933770,126318929,60449
1783958620.884830,1125263.984000,124879000,1,laser,4.97124600,2135133651,126319936,60450
1783958620.885835,1125263.984000,124880000,2,load,2.34471000,3933770,126320952,60450
1783958620.885835,1125263.984000,124881000,1,laser,4.97156100,2135269038,126321959,60451
1783958620.885835,1125263.984000,124882000,2,load,2.34605100,3936020,126322974,60451
1783958620.886835,1125263.984000,124883000,1,laser,4.97192100,2135423963,126323988,60452
1783958620.887564,1125263.984000,124884000,2,load,2.34062100,3926910,126324997,60452
1783958620.888070,1125263.984000,124885000,1,laser,4.97232500,2135597600,126326010,60453
1783958620.888588,1125263.984000,124886000,2,load,2.33836200,3923120,126327025,60453
1783958620.888588,1125263.984000,124887000,1,laser,4.97323100,2135986390,126328032,60454
1783958620.889595,1125263.984000,124888000,2,load,2.34274900,3930480,126329048,60454
1783958620.889595,1125263.984000,124889000,1,laser,4.97259000,2135710803,126330061,60455
1783958620.889595,1125263.984000,124890000,2,load,2.34274900,3930480,126331070,60455
1783958620.890593,1125263.984000,124891000,1,laser,4.97259000,2135710803,126332084,60456
1783958620.890593,1125263.984000,124892000,2,load,2.34681400,3937300,126333099,60456
1783958620.891593,1125263.984000,124893000,1,laser,4.97131900,2135165001,126334106,60457
1783958620.891593,1125263.984000,124894000,2,load,2.34474500,3933830,126335121,60457
1783958620.892593,1125264.000000,124895000,1,laser,4.97142100,2135209038,126336135,60458
1783958620.893592,1125264.000000,124896000,2,load,2.34786300,3939060,126337144,60458
1783958620.894593,1125264.000000,124897000,1,laser,4.97182900,2135384621,126338157,60459
1783958620.895593,1125264.000000,124898000,2,load,2.34715900,3937880,126339173,60459
1783958620.896592,1125264.000000,124899000,1,laser,4.97232700,2135598328,126340180,60460
1783958620.898097,1125264.000000,124900000,2,load,2.34715900,3937880,126341195,60460
1783958620.899323,1125264.000000,124901000,1,laser,4.97232700,2135598328,126342202,60461
1783958620.900372,1125264.000000,124902000,2,load,2.34150900,3928400,126343217,60461
1783958620.901417,1125264.000000,124903000,1,laser,4.97319000,2135968903,126344231,60462
1783958620.902475,1125264.000000,124904000,2,load,2.34956100,3941910,126345240,60462
1783958620.903524,1125264.000000,124905000,1,laser,4.97278200,2135793509,126346253,60463
1783958620.904051,1125264.000000,124906000,2,load,2.34584800,3935680,126347269,60463
1783958620.905626,1125264.000000,124907000,1,laser,4.97148000,2135234596,126348276,60464
1783958620.906152,1125264.000000,124908000,2,load,2.34800600,3939300,126349291,60464
1783958620.907201,1125264.000000,124909000,1,laser,4.97143900,2135216727,126350304,60465
1783958620.908319,1125264.015000,124910000,2,load,2.33775400,3922100,126351313,60465
1783958620.909370,1125264.015000,124911000,1,laser,4.97143900,2135216727,126352327,60466
1783958620.910405,1125264.015000,124912000,2,load,2.33775400,3922100,126353336,60466
1783958620.911460,1125264.015000,124913000,1,laser,4.97182900,2135384146,126354349,60467
1783958620.912508,1125264.015000,124914000,2,load,2.33594200,3919060,126355365,60467
1783958620.913552,1125264.015000,124915000,1,laser,4.97220800,2135547071,126356372,60468
1783958620.914601,1125264.015000,124916000,2,load,2.35451500,3950220,126357387,60468
1783958620.915606,1125264.015000,124917000,1,laser,4.97313900,2135946978,126358400,60469
1783958620.916606,1125264.015000,124918000,2,load,2.34929900,3941470,126359409,60469
