wall_us,step,phase,stage_mm,set_vel_mm_s
307421140000,4,pre_quiet,9.999960,0.0000
307422171000,4,pull,12.915900,3.0000
307423171000,4,pull,15.887105,3.0000
307424171000,4,pull,18.954552,3.0000
307426265000,4,peak_hold,19.095641,0.0000
307427281000,4,return,18.998208,-0.1000
307428281000,4,return,18.899088,-0.1000
307429281000,4,return,18.796893,-0.1000
307430281000,4,return,18.697773,-0.1000
307431281000,4,return,18.598753,-0.1000
307432296000,4,return,18.496558,-0.1000
307433296000,4,return,18.397537,-0.1000
307434296000,4,return,18.295342,-0.1000
307435312000,4,return,18.196223,-0.1000
307436312000,4,return,18.094027,-0.1000
307437328000,4,return,17.995007,-0.1000
307438328000,4,return,17.892712,-0.1000
307439328000,4,return,17.793692,-0.1000
307440343000,4,return,17.691497,-0.1000
307441343000,4,return,17.592377,-0.1000
307442359000,4,return,17.490182,-0.1000
307443359000,4,return,17.391162,-0.1000
307444375000,4,return,17.288867,-0.1000
307445375000,4,return,17.189847,-0.1000
307446390000,4,return,17.087652,-0.1000
307447390000,4,return,16.988532,-0.1000
307448390000,4,return,16.886337,-0.1000
307449390000,4,return,16.787316,-0.1000
307450406000,4,return,16.685022,-0.1000
307451406000,4,return,16.586002,-0.1000
307452421000,4,return,16.483806,-0.1000
307453421000,4,return,16.384687,-0.1000
307454437000,4,return,16.282491,-0.1000
307455437000,4,return,16.183471,-0.1000
307456437000,4,return,16.081177,-0.1000
307457453000,4,return,15.982156,-0.1000
307458453000,4,return,15.879961,-0.1000
307459468000,4,return,15.780941,-0.1000
307460468000,4,return,15.678646,-0.1000
307461468000,4,return,15.579626,-0.1000
307462484000,4,return,15.477331,-0.1000
307463484000,4,return,15.378311,-0.1000
307464484000,4,return,15.276116,-0.1000
307465500000,4,return,15.177095,-0.1000
307466500000,4,return,15.077976,-0.1000
307467500000,4,return,14.975780,-0.1000
307468500000,4,return,14.876661,-0.1000
307469515000,4,return,14.774466,-0.1000
307470515000,4,return,14.675445,-0.1000
307471531000,4,return,14.573250,-0.1000
307472531000,4,return,14.474130,-0.1000
307473531000,4,return,14.371935,-0.1000
307474546000,4,return,14.272915,-0.1000
307475546000,4,return,14.172307,-0.1000
307476546000,4,return,14.070012,-0.1000
307477562000,4,return,13.970992,-0.1000
307478562000,4,return,13.868797,-0.1000
307479562000,4,return,13.769777,-0.1000
307480578000,4,return,13.670657,-0.1000
307481578000,4,return,13.568462,-0.1000
307482578000,4,return,13.469441,-0.1000
307483578000,4,return,13.367246,-0.1000
307484593000,4,return,13.268226,-0.1000
307485593000,4,return,13.167519,-0.1000
307486593000,4,return,13.068498,-0.1000
307487593000,4,return,12.966303,-0.1000
307488609000,4,return,12.867184,-0.1000
307489625000,4,return,12.764988,-0.1000
307490625000,4,return,12.665968,-0.1000
307491625000,4,return,12.563773,-0.1000
307492640000,4,return,12.464653,-0.1000
307493640000,4,return,12.362458,-0.1000
307494640000,4,return,12.263437,-0.1000
307495640000,4,return,12.161143,-0.1000
307496656000,4,return,12.062123,-0.1000
307497656000,4,return,11.959927,-0.1000
307498671000,4,return,11.860907,-0.1000
307499671000,4,return,11.761787,-0.1000
307500671000,4,return,11.659592,-0.1000
307501671000,4,return,11.560473,-0.1000
307502687000,4,return,11.458277,-0.1000
307503687000,4,return,11.359257,-0.1000
307504687000,4,return,11.256962,-0.1000
307505687000,4,return,11.157942,-0.1000
307506703000,4,return,11.055747,-0.1000
307507703000,4,return,10.956727,-0.1000
307508718000,4,return,10.854432,-0.1000
307509718000,4,return,10.755511,-0.1000
307510718000,4,return,10.656391,-0.1000
307511718000,4,return,10.554196,-0.1000
307512734000,4,return,10.455176,-0.1000
307513734000,4,return,10.352881,-0.1000
307514734000,4,return,10.252273,-0.1000
307515750000,4,return,10.153253,-0.1000
307516750000,4,return,10.054233,-0.1000
307517750000,4,return,9.951938,-0.1000
307519828000,4,post_quiet,9.948466,0.0000
