wall_us,step,phase,stage_mm,set_vel_mm_s
307348531000,2,ramp_fwd,10.099278,0.1000
307349531000,2,ramp_fwd,10.198298,0.1000
307350546000,2,ramp_fwd,10.297319,0.1000
307351546000,2,ramp_fwd,10.399514,0.1000
307352546000,2,ramp_fwd,10.500122,0.1000
307353562000,2,ramp_fwd,10.599241,0.1000
307354562000,2,ramp_fwd,10.701437,0.1000
307355562000,2,ramp_fwd,10.800457,0.1000
307356578000,2,ramp_fwd,10.902752,0.1000
307357578000,2,ramp_fwd,11.001772,0.1000
307358578000,2,ramp_fwd,11.104066,0.1000
307359593000,2,ramp_fwd,11.203087,0.1000
307360593000,2,ramp_fwd,11.305282,0.1000
307361609000,2,ramp_fwd,11.404302,0.1000
307362609000,2,ramp_fwd,11.506597,0.1000
307363609000,2,ramp_fwd,11.605617,0.1000
307364625000,2,ramp_fwd,11.707912,0.1000
307365625000,2,ramp_fwd,11.806932,0.1000
307366640000,2,ramp_fwd,11.909227,0.1000
307367640000,2,ramp_fwd,12.008247,0.1000
307368640000,2,ramp_fwd,12.108855,0.1000
307369656000,2,ramp_fwd,12.209562,0.1000
307370656000,2,ramp_fwd,12.308582,0.1000
307371656000,2,ramp_fwd,12.409190,0.1000
307372656000,2,ramp_fwd,12.508210,0.1000
307373656000,2,ramp_fwd,12.610505,0.1000
307374656000,2,ramp_fwd,12.711112,0.1000
307375671000,2,ramp_fwd,12.810232,0.1000
307376671000,2,ramp_fwd,12.912427,0.1000
307377671000,2,ramp_fwd,13.011448,0.1000
307378687000,2,ramp_fwd,13.113643,0.1000
307379687000,2,ramp_fwd,13.212762,0.1000
307380703000,2,ramp_fwd,13.314958,0.1000
307381703000,2,ramp_fwd,13.413978,0.1000
307382703000,2,ramp_fwd,13.513098,0.1000
307383703000,2,ramp_fwd,13.615293,0.1000
307384718000,2,ramp_fwd,13.714313,0.1000
307385718000,2,ramp_fwd,13.816608,0.1000
307386734000,2,ramp_fwd,13.915628,0.1000
307387734000,2,ramp_fwd,14.017923,0.1000
307388734000,2,ramp_fwd,14.116943,0.1000
307389750000,2,ramp_fwd,14.219138,0.1000
307390750000,2,ramp_fwd,14.321334,0.1000
307391765000,2,ramp_fwd,14.420453,0.1000
307392781000,2,ramp_fwd,14.522648,0.1000
307393781000,2,ramp_fwd,14.621669,0.1000
307394796000,2,ramp_fwd,14.723963,0.1000
307395796000,2,ramp_fwd,14.822984,0.1000
307396796000,2,ramp_fwd,14.925179,0.1000
307397812000,2,ramp_fwd,15.024298,0.1000
307398812000,2,ramp_fwd,15.126494,0.1000
307399812000,2,ramp_fwd,15.225514,0.1000
307400828000,2,ramp_fwd,15.327809,0.1000
307401843000,2,ramp_fwd,15.426829,0.1000
307402843000,2,ramp_fwd,15.529024,0.1000
307403843000,2,ramp_fwd,15.628144,0.1000
307404859000,2,ramp_fwd,15.730339,0.1000
307405859000,2,ramp_fwd,15.829359,0.1000
307406875000,2,ramp_fwd,15.931555,0.1000
307407875000,2,ramp_fwd,16.030674,0.1000
