wall_us,step,phase,stage_mm,set_vel_mm_s
308123796000,6,pre_quiet,9.999960,0.0000
308124828000,6,pull,12.956679,3.0000
308125828000,6,pull,15.928479,3.0000
308126843000,6,pull,18.996223,3.0000
308128921000,6,peak_hold,19.106753,0.0000
308129937000,6,return,19.007336,-0.1000
308130953000,6,return,18.908316,-0.1000
308131953000,6,return,18.806120,-0.1000
308132953000,6,return,18.707001,-0.1000
308133953000,6,return,18.607980,-0.1000
308134968000,6,return,18.505785,-0.1000
308135968000,6,return,18.406765,-0.1000
308136984000,6,return,18.304470,-0.1000
308137984000,6,return,18.205450,-0.1000
308138984000,6,return,18.103255,-0.1000
308139984000,6,return,18.004234,-0.1000
308141000000,6,return,17.902039,-0.1000
308142000000,6,return,17.802920,-0.1000
308143000000,6,return,17.700724,-0.1000
308144015000,6,return,17.601605,-0.1000
308145015000,6,return,17.499409,-0.1000
308146031000,6,return,17.400389,-0.1000
308147031000,6,return,17.299781,-0.1000
308148031000,6,return,17.197487,-0.1000
308149046000,6,return,17.098466,-0.1000
308150046000,6,return,16.996271,-0.1000
308151062000,6,return,16.897152,-0.1000
308152062000,6,return,16.798131,-0.1000
308153062000,6,return,16.695936,-0.1000
308154062000,6,return,16.596916,-0.1000
308155078000,6,return,16.494621,-0.1000
308156078000,6,return,16.395601,-0.1000
308157093000,6,return,16.293405,-0.1000
308158093000,6,return,16.194385,-0.1000
308159093000,6,return,16.092091,-0.1000
308160109000,6,return,15.993070,-0.1000
308161109000,6,return,15.890776,-0.1000
308162109000,6,return,15.791755,-0.1000
308163125000,6,return,15.692735,-0.1000
308164125000,6,return,15.590441,-0.1000
308165125000,6,return,15.491420,-0.1000
308166125000,6,return,15.389225,-0.1000
308167125000,6,return,15.290205,-0.1000
308168140000,6,return,15.187910,-0.1000
308169140000,6,return,15.088890,-0.1000
308170140000,6,return,14.989870,-0.1000
308171156000,6,return,14.887674,-0.1000
308172156000,6,return,14.788555,-0.1000
308173156000,6,return,14.686359,-0.1000
308174156000,6,return,14.587339,-0.1000
308175171000,6,return,14.485045,-0.1000
308176171000,6,return,14.384437,-0.1000
308177171000,6,return,14.285416,-0.1000
308178187000,6,return,14.186297,-0.1000
308179187000,6,return,14.084201,-0.1000
308180203000,6,return,13.985180,-0.1000
308181203000,6,return,13.882985,-0.1000
308182203000,6,return,13.783866,-0.1000
308183203000,6,return,13.681670,-0.1000
308184218000,6,return,13.582650,-0.1000
308185218000,6,return,13.480355,-0.1000
308186218000,6,return,13.379748,-0.1000
308187234000,6,return,13.280727,-0.1000
308188234000,6,return,13.178532,-0.1000
308189250000,6,return,13.079412,-0.1000
308190250000,6,return,12.977217,-0.1000
308191265000,6,return,12.878197,-0.1000
308192265000,6,return,12.775902,-0.1000
308193281000,6,return,12.676882,-0.1000
308194281000,6,return,12.574687,-0.1000
308195281000,6,return,12.475567,-0.1000
308196296000,6,return,12.373372,-0.1000
308197296000,6,return,12.274352,-0.1000
308198296000,6,return,12.172057,-0.1000
308199312000,6,return,12.073136,-0.1000
308200328000,6,return,11.970841,-0.1000
308201328000,6,return,11.871821,-0.1000
308202328000,6,return,11.769527,-0.1000
308203328000,6,return,11.670506,-0.1000
308204343000,6,return,11.568311,-0.1000
308205343000,6,return,11.469291,-0.1000
308206343000,6,return,11.366996,-0.1000
308207359000,6,return,11.267976,-0.1000
308208359000,6,return,11.168955,-0.1000
308209375000,6,return,11.066661,-0.1000
308210375000,6,return,10.967641,-0.1000
308211390000,6,return,10.865445,-0.1000
308212390000,6,return,10.766326,-0.1000
308213390000,6,return,10.664130,-0.1000
308214406000,6,return,10.565110,-0.1000
308215406000,6,return,10.462816,-0.1000
308216421000,6,return,10.360620,-0.1000
308217421000,6,return,10.260012,-0.1000
308218437000,6,return,10.160992,-0.1000
308219437000,6,return,10.058698,-0.1000
308220437000,6,return,9.959677,-0.1000
308222515000,6,post_quiet,9.955808,0.0000
