wall_us,step,phase,stage_mm,set_vel_mm_s
307521984000,5,endurance,9.999960,0.0000
307523000000,5,endurance,9.999960,0.0000
307524000000,5,endurance,9.999960,0.0000
307525000000,5,endurance,9.999960,0.0000
307526000000,5,endurance,9.999960,0.0000
307527015000,5,endurance,9.999960,0.0000
307528015000,5,endurance,9.999960,0.0000
307529031000,5,endurance,9.999960,0.0000
307530031000,5,endurance,9.999960,0.0000
307531046000,5,endurance,9.999960,0.0000
307532046000,5,endurance,9.999960,0.0000
307533062000,5,endurance,9.999960,0.0000
307534062000,5,endurance,9.999960,0.0000
307535078000,5,endurance,9.999960,0.0000
307536078000,5,endurance,9.999960,0.0000
307537093000,5,endurance,9.999960,0.0000
307538093000,5,endurance,9.999960,0.0000
307539109000,5,endurance,9.999960,0.0000
307540109000,5,endurance,9.999960,0.0000
307541109000,5,endurance,9.999960,0.0000
307542125000,5,endurance,9.999960,0.0000
307543125000,5,endurance,9.999960,0.0000
307544140000,5,endurance,9.999960,0.0000
307545140000,5,endurance,9.999960,0.0000
307546140000,5,endurance,9.999960,0.0000
307547156000,5,endurance,9.999960,0.0000
307548156000,5,endurance,9.999960,0.0000
307549156000,5,endurance,9.999960,0.0000
307550171000,5,endurance,9.999960,0.0000
307551171000,5,endurance,9.999960,0.0000
307552187000,5,endurance,9.999960,0.0000
307553187000,5,endurance,9.999960,0.0000
307554187000,5,endurance,9.999960,0.0000
307555203000,5,endurance,9.999960,0.0000
307556203000,5,endurance,9.999960,0.0000
307557218000,5,endurance,9.999960,0.0000
307558218000,5,endurance,9.999960,0.0000
307559218000,5,endurance,9.999960,0.0000
307560234000,5,endurance,9.999960,0.0000
307561234000,5,endurance,9.999960,0.0000
307562234000,5,endurance,9.999960,0.0000
307563250000,5,endurance,9.999960,0.0000
307564250000,5,endurance,9.999960,0.0000
307565265000,5,endurance,9.999960,0.0000
307566265000,5,endurance,9.999960,0.0000
307567265000,5,endurance,9.999960,0.0000
307568281000,5,endurance,9.999960,0.0000
307569281000,5,endurance,9.999960,0.0000
307570281000,5,endurance,9.999960,0.0000
307571296000,5,endurance,9.999960,0.0000
307572296000,5,endurance,9.999960,0.0000
307573312000,5,endurance,9.999960,0.0000
307574312000,5,endurance,9.999960,0.0000
307575328000,5,endurance,9.999960,0.0000
307576328000,5,endurance,9.999960,0.0000
307577343000,5,endurance,9.999960,0.0000
307578343000,5,endurance,9.999960,0.0000
307579359000,5,endurance,9.999960,0.0000
307580359000,5,endurance,9.999960,0.0000
307581375000,5,endurance,9.999960,0.0000
307582375000,5,endurance,9.999960,0.0000
307583375000,5,endurance,9.999960,0.0000
307584390000,5,endurance,9.999960,0.0000
307585390000,5,endurance,9.999960,0.0000
307586406000,5,endurance,9.999960,0.0000
307587406000,5,endurance,9.999960,0.0000
307588421000,5,endurance,9.999960,0.0000
307589421000,5,endurance,9.999960,0.0000
307590437000,5,endurance,9.999960,0.0000
307591437000,5,endurance,9.999960,0.0000
307592453000,5,endurance,9.999960,0.0000
307593453000,5,endurance,9.999960,0.0000
307594453000,5,endurance,9.999960,0.0000
307595453000,5,endurance,9.999960,0.0000
307596468000,5,endurance,9.999960,0.0000
307597468000,5,endurance,9.999960,0.0000
307598468000,5,endurance,9.999960,0.0000
307599484000,5,endurance,9.999960,0.0000
307600484000,5,endurance,9.999960,0.0000
307601500000,5,endurance,9.999960,0.0000
307602500000,5,endurance,9.999960,0.0000
307603515000,5,endurance,9.999960,0.0000
307604515000,5,endurance,9.999960,0.0000
307605515000,5,endurance,9.999960,0.0000
307606531000,5,endurance,9.999960,0.0000
307607531000,5,endurance,9.999960,0.0000
307608546000,5,endurance,9.999960,0.0000
307609546000,5,endurance,9.999960,0.0000
307610562000,5,endurance,9.999960,0.0000
307611562000,5,endurance,9.999960,0.0000
307612562000,5,endurance,9.999960,0.0000
307613578000,5,endurance,9.999960,0.0000
307614578000,5,endurance,9.999960,0.0000
307615578000,5,endurance,9.999960,0.0000
307616578000,5,endurance,9.999960,0.0000
307617593000,5,endurance,9.999960,0.0000
307618593000,5,endurance,9.999960,0.0000
307619609000,5,endurance,9.999960,0.0000
307620609000,5,endurance,9.999960,0.0000
307621609000,5,endurance,9.999960,0.0000
307622609000,5,endurance,9.999960,0.0000
307623625000,5,endurance,9.999960,0.0000
307624625000,5,endurance,9.999960,0.0000
307625640000,5,endurance,9.999960,0.0000
307626640000,5,endurance,9.999960,0.0000
307627656000,5,endurance,9.999960,0.0000
307628656000,5,endurance,9.999960,0.0000
307629671000,5,endurance,9.999960,0.0000
307630671000,5,endurance,9.999960,0.0000
307631671000,5,endurance,9.999960,0.0000
307632671000,5,endurance,9.999960,0.0000
307633687000,5,endurance,9.999960,0.0000
307634687000,5,endurance,9.999960,0.0000
307635687000,5,endurance,9.999960,0.0000
307636703000,5,endurance,9.999960,0.0000
307637703000,5,endurance,9.999960,0.0000
307638703000,5,endurance,9.999960,0.0000
307639718000,5,endurance,9.999960,0.0000
307640718000,5,endurance,9.999960,0.0000
307641734000,5,endurance,9.999960,0.0000
307642734000,5,endurance,9.999960,0.0000
307643734000,5,endurance,9.999960,0.0000
307644734000,5,endurance,9.999960,0.0000
307645750000,5,endurance,9.999960,0.0000
307646750000,5,endurance,9.999960,0.0000
307647765000,5,endurance,9.999960,0.0000
307648765000,5,endurance,9.999960,0.0000
307649765000,5,endurance,9.999960,0.0000
307650781000,5,endurance,9.999960,0.0000
307651781000,5,endurance,9.999960,0.0000
307652781000,5,endurance,9.999960,0.0000
307653796000,5,endurance,9.999960,0.0000
307654796000,5,endurance,9.999960,0.0000
307655796000,5,endurance,9.999960,0.0000
307656812000,5,endurance,9.999960,0.0000
307657828000,5,endurance,9.999960,0.0000
307658828000,5,endurance,9.999960,0.0000
307659828000,5,endurance,9.999960,0.0000
307660843000,5,endurance,9.999960,0.0000
307661843000,5,endurance,9.999960,0.0000
307662843000,5,endurance,9.999960,0.0000
307663843000,5,endurance,9.999960,0.0000
307664859000,5,endurance,9.999960,0.0000
307665859000,5,endurance,9.999960,0.0000
