t_rel_s,displacement_um,force_N,sma_v,sma_i,sma_r,stage_mm
0,-4959.3308,-0.01169307,0.510992,0.120322,4.146871,79.999979
0.0099999905,-4957.8796,-0.012631413,0.510992,0.120322,4.146871,79.999979
0.019999981,-4957.7346,-0.013073317,0.510992,0.120322,4.146871,79.999979
0.029999971,-4958.0123,-0.01252571,0.510992,0.120322,4.146871,79.999979
0.039999962,-4960.0562,-0.012220088,0.510992,0.120322,4.146871,79.999979
0.049999952,-4958.3453,-0.012133657,0.510992,0.120322,4.146871,79.999979
0.059999943,-4958.8369,-0.012424197,0.510992,0.120322,4.146871,79.999979
0.069999933,-4957.2958,-0.012271066,0.510992,0.120322,4.146871,79.999979
0.079999924,-4957.0926,-0.01126853,0.510992,0.120322,4.146871,79.999979
0.089999914,-4956.868,-0.011854589,0.510992,0.120322,4.146871,79.999979
0.099999905,-4959.3986,-0.011837964,0.510992,0.120322,4.146871,79.999979
0.1099999,-4957.9132,-0.012637304,0.510992,0.120322,4.146871,79.999979
0.11999989,-4958.3855,-0.011793062,0.510992,0.120322,4.146871,79.999979
0.12999988,-4957.1549,-0.011368233,0.510992,0.120322,4.146871,79.999979
0.13999987,-4957.6964,-0.011980031,0.510992,0.120322,4.146871,79.999979
0.14999986,-4961.2111,-0.01293071,0.510992,0.120322,4.146871,79.999979
0.15999985,-4957.209,-0.012089925,0.510992,0.120322,4.146871,79.999979
0.16999984,-4958.4238,-0.011919382,0.510992,0.120322,4.146871,79.999979
0.17999983,-4957.583,-0.011917399,0.510992,0.120322,4.146871,79.999979
0.18999982,-4960.4679,-0.011410841,0.510992,0.120322,4.146871,79.999979
0.19999981,-4957.1736,-0.011473675,0.510992,0.120322,4.146871,79.999979
0.2099998,-4957.3893,-0.011823974,0.510992,0.120322,4.146871,79.999979
0.21999979,-4957.8857,-0.012431497,0.510992,0.120322,4.146871,79.999979
0.22999978,-4958.8619,-0.011135914,0.510992,0.120322,4.146871,79.999979
0.23999977,-4958.1028,-0.013057299,0.510992,0.120322,4.146871,79.999979
0.24999976,-4957.8114,-0.011608289,0.510992,0.120322,4.146871,79.999979
0.25999975,-4958.1798,-0.012311547,0.510992,0.120322,4.146871,79.999979
0.26999974,-4959.2481,-0.012717983,0.510992,0.120322,4.146871,79.999979
0.27999973,-4960.355,-0.012481546,0.510992,0.120322,4.146871,79.999979
0.28999972,-4957.507,-0.012876338,0.510992,0.120322,4.146871,79.999979
0.29999971,-4958.9913,-0.011729803,0.510992,0.120322,4.146871,79.999979
0.3099997,-4959.8055,-0.012028532,0.510992,0.120322,4.146871,79.999979
0.31999969,-4958.0819,-0.012635786,0.510992,0.120322,4.146871,79.999979
0.32999969,-4956.9785,-0.012691053,0.510992,0.120322,4.146871,79.999979
0.33999968,-4957.2432,-0.012625608,0.510992,0.120322,4.146871,79.999979
0.34999967,-4960.6838,-0.011864719,0.510992,0.120322,4.146871,79.999979
0.35999966,-4957.1964,-0.012708323,0.510992,0.120322,4.146871,79.999979
0.36999965,-4957.8199,-0.012317372,0.510992,0.120322,4.146871,79.999979
0.37999964,-4957.0212,-0.011683606,0.510992,0.120322,4.146871,79.999979
0.38999963,-4958.2358,-0.011585104,0.510992,0.120322,4.146871,79.999979
0.39999962,-4959.4464,-0.012176571,0.510992,0.120322,4.146871,79.999979
0.40999961,-4960.3151,-0.012461184,0.510992,0.120322,4.146871,79.999979
0.4199996,-4959.6037,-0.011986722,0.510992,0.120322,4.146871,79.999979
0.42999959,-4961.0464,-0.013569284,0.510992,0.120322,4.146871,79.999979
0.43999958,-4958.0165,-0.012782226,0.510992,0.120322,4.146871,79.999979
0.44999957,-4956.7514,-0.012207138,0.510992,0.120322,4.146871,79.999979
0.45999956,-4956.7514,-0.012004514,0.510992,0.120322,4.146871,79.999979
0.46999955,-4958.3182,-0.011862931,0.510992,0.120322,4.146871,79.999979
0.47999954,-4960.0541,-0.012184836,0.510992,0.120322,4.146871,79.999979
0.48999953,-4956.9202,-0.012563691,0.510992,0.120322,4.146871,79.999979
0.49999952,-4957.0922,-0.012210404,0.510992,0.120322,4.146871,79.999979
0.50999951,-4959.136,-0.012663171,0.510992,0.120322,4.146871,79.999979
0.5199995,-4960.4457,-0.012560072,0.510992,0.120322,4.146871,79.999979
0.52999949,-4960.1911,-0.012716132,0.510992,0.120322,4.146871,79.999979
0.53999949,-4957.1813,-0.0122624,0.510992,0.120322,4.146871,79.999979
0.54999948,-4958.7488,-0.012113011,0.510992,0.120322,4.146871,79.999979
0.55999947,-4957.7072,-0.01256507,0.510992,0.120322,4.146871,79.999979
0.56999946,-4959.9576,-0.011944323,0.510992,0.120322,4.146871,79.999979
0.57999945,-4960.1841,-0.011944323,0.510992,0.120322,4.146871,79.999979
0.58999944,-4960.9115,-0.011944323,0.510992,0.120322,4.146871,79.999979
0.59999943,-4957.6825,-0.012651075,0.510992,0.120322,4.146871,79.999979
0.60999942,-4960.4408,-0.012435492,0.510992,0.120322,4.146871,79.999979
0.61999941,-4957.8382,-0.011631388,0.510992,0.120322,4.146871,79.999979
0.6299994,-4957.4626,-0.012453408,0.510992,0.120322,4.146871,79.999979
0.63999939,-4957.746,-0.012604296,0.510992,0.120322,4.146871,79.999979
0.64999938,-4958.9167,-0.012136868,0.510992,0.120322,4.146871,79.999979
0.65999937,-4960.4685,-0.011693595,0.510992,0.120322,4.146871,79.999979
0.66999936,-4957.2725,-0.011383355,0.510992,0.120322,4.146871,79.999979
0.67999935,-4960.054,-0.012575931,0.510992,0.120322,4.146871,79.999979
0.68999934,-4958.5912,-0.012682188,0.510992,0.120322,4.146871,79.999979
0.69999933,-4959.423,-0.012868437,0.510992,0.120322,4.146871,79.999979
0.70999932,-4957.9976,-0.012298688,0.510992,0.120322,4.146871,79.999979
0.71999931,-4957.216,-0.011904621,0.510992,0.120322,4.146871,79.999979
0.7299993,-4957.4329,-0.01271111,0.510992,0.120322,4.146871,79.999979
0.73999929,-4960.0617,-0.011824193,0.510992,0.120322,4.146871,79.999979
0.74999928,-4959.147,-0.011845642,0.510992,0.120322,4.146871,79.999979
0.75999928,-4959.5876,-0.012150064,0.510992,0.120322,4.146871,79.999979
0.76999927,-4957.7738,-0.011743388,0.510992,0.120322,4.146871,79.999979
0.77999926,-4956.9788,-0.011977628,0.510992,0.120322,4.146871,79.999979
0.78999925,-4959.326,-0.012613879,0.510992,0.120322,4.146871,79.999979
0.79999924,-4957.9326,-0.012379142,0.510992,0.120322,4.146871,79.999979
0.80999923,-4958.1274,-0.013084195,0.510992,0.120322,4.146871,79.999979
0.81999922,-4960.4683,-0.012316547,0.510992,0.120322,4.146871,79.999979
0.82999921,-4959.8354,-0.012316547,0.510992,0.120322,4.146871,79.999979
0.8399992,-4957.0066,-0.011681712,0.510992,0.120322,4.146871,79.999979
0.84999919,-4958.27,-0.012953227,0.510992,0.120322,4.146871,79.999979
0.85999918,-4960.2669,-0.01197236,0.510992,0.120322,4.146871,79.999979
0.86999917,-4958.0404,-0.012734354,0.510992,0.120322,4.146871,79.999979
