host_timestamp_s,monotonic_s,firmware_timestamp_us,src,channel,value,raw_code,hw_us,seq
1784146046.225712,55925.375000,3570219000,1,laser,4.96230300,2131293080,3618035563,1748691
1784146046.226249,55925.375000,3570220000,2,load,2.27712400,3820380,3618036579,1748692
1784146046.226786,55925.375000,3570221000,1,laser,4.96259200,2131417006,3618037592,1748692
1784146046.227298,55925.375000,3570222000,2,load,2.26915500,3807010,3618038607,1748693
1784146046.227829,55925.375000,3570223000,1,laser,4.96277900,2131497143,3618039621,1748693
1784146046.228345,55925.375000,3570224000,2,load,2.27887000,3823310,3618040636,1748694
1784146046.228855,55925.375000,3570225000,1,laser,4.96353800,2131823310,3618041650,1748694
1784146046.229368,55925.375000,3570226000,2,load,2.28099800,3826880,3618042665,1748695
1784146046.229880,55925.375000,3570227000,1,laser,4.96247700,2131367837,3618043672,1748695
1784146046.230391,55925.375000,3570228000,2,load,2.27900700,3823540,3618044687,1748696
1784146046.230959,55925.375000,3570229000,1,laser,4.96247700,2131367837,3618045701,1748696
1784146046.231474,55925.375000,3570230000,2,load,2.27900700,3823540,3618046716,1748697
1784146046.232010,55925.375000,3570231000,1,laser,4.96152800,2130960285,3618047730,1748697
1784146046.232010,55925.375000,3570232000,2,load,2.27788100,3821650,3618048745,1748698
1784146046.233016,55925.375000,3570233000,1,laser,4.96231500,2131297772,3618049758,1748698
1784146046.233016,55925.375000,3570234000,2,load,2.28612400,3835480,3618050774,1748699
1784146046.233016,55925.375000,3570235000,1,laser,4.96298600,2131586306,3618051781,1748699
1784146046.234015,55925.375000,3570236000,2,load,2.29086900,3843440,3618052796,1748700
1784146046.234015,55925.375000,3570237000,1,laser,4.96318900,2131673497,3618053809,1748700
1784146046.235016,55925.375000,3570238000,2,load,2.29342000,3847720,3618054825,1748701
1784146046.243715,55925.390000,3570239000,1,laser,4.96384100,2131953679,3618055838,1748701
1784146046.254560,55925.406000,3570240000,2,load,2.29342000,3847720,3618056854,1748702
1784146046.255078,55925.406000,3570241000,1,laser,4.96384100,2131953679,3618057861,1748702
1784146046.261874,55925.406000,3570242000,2,load,2.28638100,3835910,3618058876,1748703
1784146046.263957,55925.406000,3570243000,1,laser,4.96285500,2131529994,3618059890,1748703
1784146046.264482,55925.406000,3570244000,2,load,2.27670700,3819680,3618060905,1748704
1784146046.265008,55925.406000,3570245000,1,laser,4.96153000,2130960971,3618061918,1748704
1784146046.265008,55925.406000,3570246000,2,load,2.28697100,3836900,3618062934,1748705
1784146046.266014,55925.406000,3570247000,1,laser,4.96178000,2131068126,3618063947,1748705
