cycle,t_s,dur_ms,i_mA,u_V,R_est,dx_um,dF_mN
1,5.019906000000002,257.9729999999998,404.77040316205535,1.8060039209486165,nan,-70.88840273714641,-2.690798246212296
2,36.07673199999999,307.60100000000534,1197.392652317881,4.953918211920532,6.169491529801325,11.188558333798937,109.7231938399874
3,67.34027999999999,308.63800000000197,896.9647377049181,3.8101280393442623,4.364472318032787,-783.4362326223371,-24.16672923936835
