frame_idx,host_timestamp_s,monotonic_s,cycle_idx,mode,rel_path,laser_mm
75,1783441217.155621,607871.296000,2,fast,cycle_02/000010.jpg,-0.5310
76,1783441217.268849,607871.390000,2,fast,cycle_02/000011.jpg,-0.5570
77,1783441217.365839,607871.500000,2,fast,cycle_02/000012.jpg,-0.5737
78,1783441217.459486,607871.593000,2,fast,cycle_02/000013.jpg,-0.5954
79,1783441217.571227,607871.687000,2,fast,cycle_02/000014.jpg,-0.6184
80,1783441217.671739,607871.796000,2,fast,cycle_02/000015.jpg,-0.6468
81,1783441217.763438,607871.906000,2,fast,cycle_02/000016.jpg,-0.6799
82,1783441217.865856,607872.000000,2,fast,cycle_02/000017.jpg,-0.7102
83,1783441217.955485,607872.093000,2,fast,cycle_02/000018.jpg,-0.7353
84,1783441218.077600,607872.187000,2,fast,cycle_02/000019.jpg,-0.7637
85,1783441218.163740,607872.312000,2,fast,cycle_02/000020.jpg,-0.7837
86,1783441218.262465,607872.390000,2,fast,cycle_02/000021.jpg,-0.5950
87,1783441218.356630,607872.500000,2,fast,cycle_02/000022.jpg,0.1677
88,1783441218.467482,607872.593000,2,fast,cycle_02/000023.jpg,1.9747
89,1783441218.575780,607872.703000,2,fast,cycle_02/000024.jpg,2.8012
90,1783441218.659927,607872.812000,2,fast,cycle_02/000025.jpg,2.8025
91,1783441218.766648,607872.890000,2,fast,cycle_02/000026.jpg,2.7413
92,1783441218.871377,607873.000000,2,fast,cycle_02/000027.jpg,2.6553
93,1783441218.962988,607873.109000,2,fast,cycle_02/000028.jpg,2.6111
94,1783441219.064015,607873.187000,2,fast,cycle_02/000029.jpg,2.5544
95,1783441219.158859,607873.296000,2,fast,cycle_02/000030.jpg,2.5038
96,1783441219.267519,607873.390000,2,fast,cycle_02/000031.jpg,2.4740
97,1783441219.366627,607873.500000,2,fast,cycle_02/000032.jpg,2.4336
98,1783441219.463055,607873.593000,2,fast,cycle_02/000033.jpg,2.4025
99,1783441219.556066,607873.687000,2,fast,cycle_02/000034.jpg,2.3718
100,1783441219.667621,607873.781000,2,fast,cycle_02/000035.jpg,2.3248
101,1783441219.767845,607873.906000,2,fast,cycle_02/000036.jpg,2.2789
102,1783441219.860430,607874.000000,2,fast,cycle_02/000037.jpg,2.2493
103,1783441219.961098,607874.093000,2,fast,cycle_02/000038.jpg,2.2188
104,1783441220.068092,607874.187000,2,fast,cycle_02/000039.jpg,2.1906
105,1783441220.163604,607874.296000,2,fast,cycle_02/000040.jpg,2.1592
106,1783441220.260965,607874.390000,2,fast,cycle_02/000041.jpg,2.1346
107,1783441220.355726,607874.484000,2,fast,cycle_02/000042.jpg,2.0988
108,1783441220.470496,607874.593000,2,fast,cycle_02/000043.jpg,2.0624
109,1783441220.565945,607874.703000,2,fast,cycle_02/000044.jpg,2.0180
110,1783441220.659849,607874.796000,2,fast,cycle_02/000045.jpg,1.9940
111,1783441220.765002,607874.890000,2,fast,cycle_02/000046.jpg,2.0000
112,1783441220.867569,607875.000000,2,fast,cycle_02/000047.jpg,2.8075
113,1783441220.966015,607875.093000,2,fast,cycle_02/000048.jpg,3.7006
114,1783441221.061694,607875.203000,2,fast,cycle_02/000049.jpg,4.9740
115,1783441221.161654,607875.296000,2,fast,cycle_02/000050.jpg,4.9812
116,1783441221.273916,607875.390000,2,fast,cycle_02/000051.jpg,4.9340
117,1783441221.363938,607875.500000,2,fast,cycle_02/000052.jpg,4.8753
118,1783441221.475009,607875.593000,2,fast,cycle_02/000053.jpg,4.8296
119,1783441221.674575,607875.703000,2,fast,cycle_02/000054.jpg,4.7504
120,1783441221.771950,607875.906000,2,fast,cycle_02/000055.jpg,4.6885
121,1783441221.859489,607876.000000,2,fast,cycle_02/000056.jpg,4.6577
122,1783441221.958418,607876.093000,2,fast,cycle_02/000057.jpg,4.6150
123,1783441222.068421,607876.187000,2,fast,cycle_02/000058.jpg,4.5672
124,1783441222.170014,607876.296000,2,fast,cycle_02/000059.jpg,4.5341
125,1783441222.261610,607876.406000,2,fast,cycle_02/000060.jpg,4.5042
126,1783441222.364524,607876.500000,2,fast,cycle_02/000061.jpg,4.4678
127,1783441222.563235,607876.593000,2,fast,cycle_02/000062.jpg,4.4050
128,1783441222.667508,607876.796000,2,fast,cycle_02/000063.jpg,4.3478
129,1783441222.756831,607876.890000,2,fast,cycle_02/000064.jpg,4.3102
130,1783441222.867757,607876.984000,2,fast,cycle_02/000065.jpg,4.2719
131,1783441222.975469,607877.093000,2,fast,cycle_02/000066.jpg,4.2295
132,1783441223.059472,607877.203000,2,fast,cycle_02/000067.jpg,4.1742
133,1783441223.176626,607877.296000,2,fast,cycle_02/000068.jpg,4.1185
134,1783441223.269445,607877.406000,2,fast,cycle_02/000069.jpg,4.1314
135,1783441223.363407,607877.500000,2,fast,cycle_02/000070.jpg,4.5903
136,1783441223.466461,607877.593000,2,fast,cycle_02/000071.jpg,5.0278
137,1783441223.572922,607877.703000,2,fast,cycle_02/000072.jpg,5.0279
138,1783441223.668782,607877.796000,2,fast,cycle_02/000073.jpg,5.0279
139,1783441223.776244,607877.906000,2,fast,cycle_02/000074.jpg,5.0279
140,1783441223.859619,607878.000000,2,fast,cycle_02/000075.jpg,5.0279
141,1783441223.974757,607878.093000,2,fast,cycle_02/000076.jpg,5.0279
142,1783441224.067525,607878.218000,2,fast,cycle_02/000077.jpg,5.0279
143,1783441224.260897,607878.296000,2,fast,cycle_02/000078.jpg,5.0279
144,1783441224.371217,607878.500000,2,fast,cycle_02/000079.jpg,5.0279
145,1783441224.474779,607878.609000,2,fast,cycle_02/000080.jpg,5.0279
146,1783441224.563109,607878.703000,2,fast,cycle_02/000081.jpg,5.0279
147,1783441224.665055,607878.796000,2,fast,cycle_02/000082.jpg,5.0279
148,1783441224.779155,607878.890000,2,fast,cycle_02/000083.jpg,5.0279
149,1783441224.867366,607879.015000,2,fast,cycle_02/000084.jpg,5.0279
150,1783441224.963598,607879.093000,2,fast,cycle_02/000085.jpg,5.0279
151,1783441225.066762,607879.187000,2,fast,cycle_02/000086.jpg,5.0279
152,1783441226.067756,607880.203000,2,heartbeat,cycle_02/000087.jpg,5.0279
153,1783441227.066975,607881.203000,2,heartbeat,cycle_02/000088.jpg,5.0279
154,1783441228.071417,607882.203000,2,heartbeat,cycle_02/000089.jpg,5.0279
155,1783441229.059543,607883.203000,2,heartbeat,cycle_02/000090.jpg,5.0279
156,1783441230.067447,607884.203000,2,heartbeat,cycle_02/000091.jpg,5.0279
157,1783441231.172285,607885.296000,2,heartbeat,cycle_02/000092.jpg,5.0279
158,1783441232.174423,607886.296000,2,heartbeat,cycle_02/000093.jpg,5.0279
159,1783441233.172427,607887.296000,2,heartbeat,cycle_02/000094.jpg,4.9591
160,1783441234.174680,607888.296000,2,heartbeat,cycle_02/000095.jpg,4.4932
161,1783441235.172033,607889.296000,2,heartbeat,cycle_02/000096.jpg,3.9809
