t_s,v_trig,v_dac,v_out
0.0065,-1,-1.84,-0.6
0.0066,-1,-1.84,-0.6
0.0067,-1,-1.84,-0.6
0.0068,-1,-1.76,-0.48
0.0069,-1,-1.84,-0.48
0.007,-1,-1.84,-0.48
0.0071,-1,-1.84,-0.6
0.0072,-1,-1.84,-0.48
0.0073,-1,-1.84,-0.6
0.0074,-1,-1.84,-0.6
0.0075,-1,-1.84,-0.6
0.0076,-1,-1.84,-0.48
0.0077,-1,-1.76,-0.48
0.0078,-1,-1.84,-0.6
0.0079,-1,-1.84,-0.6
0.008,-1,-1.84,-0.6
0.0081,-1,-1.92,-0.6
0.0082,-1,-1.84,-0.6
0.0083,-1,-1.84,-0.48
0.0084,-1,-1.84,-0.48
0.0085,-1,-1.84,-0.6
0.0086,-1,-1.84,-0.6
0.0087,-1,-1.84,-0.6
0.0088,-1,-1.92,-0.6
0.0089,-1,-1.84,-0.48
0.009,-1,-1.84,-0.6
0.0091,-1,-1.84,-0.6
0.0092,-1,-1.84,-0.6
0.0093,-1,-1.84,-0.6
0.0094,-0.96,-1.84,-0.6
0.0095,-1,-1.92,-0.72
0.0096,-1,-1.84,-0.48
0.0097,-1,-1.84,-0.6
0.0098,-1,-1.84,-0.6
0.0099,-1,-1.84,-0.6
0.01,-1,-1.84,-0.48
0.0101,-1,-1.84,-0.6
0.0102,-1,-1.92,-0.6
0.0103,-0.96,-1.76,-0.48
0.0104,-1,-1.76,-0.48
0.0105,-1,-1.76,-0.48
0.0106,-1,-1.84,-0.6
0.0107,-1,-1.84,-0.6
0.0108,-1,-1.92,-0.6
0.0109,-1,-1.84,-0.6
0.011,-1,-1.84,-0.48
0.0111,-1,-1.84,-0.6
0.0112,-1,-1.76,-0.48
0.0113,-1,-1.84,-0.6
0.0114,-1,-1.84,-0.6
0.0115,-1,-1.84,-0.6
0.0116,-1,-1.84,-0.6
0.0117,-1,-1.76,-0.48
0.0118,-1,-1.84,-0.6
0.0119,-1,-1.84,-0.6
0.012,-1,-1.84,-0.6
0.0121,-1,-1.84,-0.6
0.0122,-1,-1.76,-0.6
0.0123,-1,-1.84,-0.48
0.0124,-1,-1.76,-0.48
0.0125,-1,-1.84,-0.6
0.0126,-1,-1.76,-0.48
0.0127,-1,-1.76,-0.36
0.0128,-1,-2,-0.72
0.0129,-1,-1.84,-0.6
0.013,-1,-1.84,-0.6
0.0131,-1,-1.76,-0.48
0.0132,-1,-1.84,-0.48
0.0133,-1,-1.84,-0.6
0.0134,-1,-1.84,-0.6
0.0135,-1,-1.92,-0.72
0.0136,-1,-1.84,-0.6
0.0137,-1,-1.84,-0.6
0.0138,-1,-1.76,-0.48
0.0139,-1,-1.84,-0.6
0.014,-1,-1.84,-0.6
0.0141,-1,-1.84,-0.6
0.0142,-1,-1.92,-0.6
0.0143,-1,-1.84,-0.6
0.0144,-1,-1.84,-0.6
0.0145,-1,-1.76,-0.48
0.0146,-1,-1.84,-0.6
0.0147,-1,-1.84,-0.6
0.0148,-1,-1.84,-0.6
0.0149,-1,-1.84,-0.6
0.015,-1,-1.84,-0.6
0.0151,-1,-1.84,-0.6
0.0152,-1,-1.84,-0.6
0.0153,-1,-1.76,-0.48
0.0154,-1,-1.84,-0.48
0.0155,-1,-1.76,-0.6
0.0156,-1,-1.84,-0.48
0.0157,-1,-1.84,-0.6
0.0158,-1,-1.84,-0.6
0.0159,-1,-1.84,-0.6
0.016,-1,-1.84,-0.6
0.0161,-1,-1.84,-0.6
0.0162,-1,-1.84,-0.6
0.0163,-1,-1.84,-0.6
0.0164,-1,-1.84,-0.48
0.0165,-1,-1.84,-0.6
0.0166,-1,-1.76,-0.48
0.0167,-1,-1.84,-0.6
0.0168,-1,-1.92,-0.6
0.0169,-1,-1.84,-0.6
0.017,-1,-1.84,-0.6
0.0171,-1,-1.84,-0.48
0.0172,-1,-1.84,-0.6
0.0173,-1,-1.84,-0.48
0.0174,-1,-1.84,-0.6
0.0175,-1,-1.84,-0.6
0.0176,-1,-1.84,-0.48
0.0177,-1,-1.84,-0.6
0.0178,-1,-1.84,-0.6
0.0179,-1,-1.84,-0.6
0.018,-1,-1.76,-0.48
0.0181,-1,-1.84,-0.48
0.0182,-1,-1.84,-0.6
0.0183,-1,-1.84,-0.6
0.0184,-1,-1.84,-0.6
0.0185,-1,-1.76,-0.6
0.0186,-1,-1.76,-0.6
0.0187,-1,-1.76,-0.48
0.0188,-1,-1.84,-0.6
0.0189,-0.96,-1.84,-0.6
0.019,-1,-1.76,-0.48
0.0191,-1,-1.84,-0.6
0.0192,-1,-1.76,-0.48
0.0193,-1,-1.84,-0.48
0.0194,-1,-1.84,-0.6
0.0195,-1,-1.84,-0.6
0.0196,-1,-1.84,-0.6
0.0197,-1,-1.76,-0.6
0.0198,-1,-1.84,-0.6
0.0199,-1,-1.84,-0.6
0.02,-1,-1.84,-0.6
0.0201,-1,-1.84,-0.6
0.0202,-1,-1.84,-0.48
0.0203,-1,-1.76,-0.48
0.0204,-1,-1.84,-0.48
0.0205,-1,-1.84,-0.6
0.0206,-1,-1.84,-0.6
0.0207,-1,-1.84,-0.6
0.0208,-1,-1.84,-0.6
0.0209,-1,-1.84,-0.48
0.021,-1,-1.76,-0.48
0.0211,-1,-1.84,-0.6
0.0212,-1,-1.84,-0.48
0.0213,-1,-1.84,-0.6
0.0214,-1,-1.84,-0.6
0.0215,-1,-1.84,-0.6
0.0216,-1,-1.84,-0.6
0.0217,-1,-1.84,-0.48
0.0218,-1,-1.84,-0.48
0.0219,-1,-1.84,-0.6
0.022,-1,-1.84,-0.48
0.0221,-1,-1.84,-0.6
0.0222,-1,-1.92,-0.72
0.0223,-1,-1.84,-0.6
0.0224,-1,-1.84,-0.48
0.0225,-1,-1.84,-0.6
0.0226,-1,-1.84,-0.6
0.0227,-1,-1.84,-0.6
0.0228,-1,-1.84,-0.6
0.0229,-1,-1.84,-0.6
0.023,-1,-1.76,-0.48
0.0231,-1,-1.84,-0.6
0.0232,-1,-1.84,-0.6
0.0233,-1,-1.84,-0.6
0.0234,-1,-1.84,-0.6
0.0235,-1,-1.84,-0.6
0.0236,-1,-1.84,-0.6
0.0237,-1,-1.84,-0.48
0.0238,-1,-1.84,-0.6
0.0239,-1,-1.84,-0.6
0.024,-1,-1.84,-0.48
0.0241,-1,-1.84,-0.6
0.0242,-1,-1.84,-0.6
0.0243,-1,-1.84,-0.6
0.0244,-1,-1.84,-0.48
0.0245,-1,-1.84,-0.6
0.0246,-1,-1.84,-0.48
0.0247,-1,-1.84,-0.6
0.0248,-1,-1.84,-0.6
0.0249,-1,-1.84,-0.6
0.025,-1,-1.84,-0.48
0.0251,-1,-1.84,-0.48
0.0252,-1,-1.84,-0.48
0.0253,-0.96,-1.76,-0.48
0.0254,-1,-1.84,-0.6
0.0255,-1,-1.92,-0.72
0.0256,-1,-1.84,-0.48
0.0257,-1,-1.84,-0.6
0.0258,-1,-1.76,-0.48
0.0259,-1,-1.84,-0.48
0.026,-1,-1.84,-0.6
0.0261,-1,-1.84,-0.6
0.0262,-1,-1.92,-0.72
0.0263,-1,-1.76,-0.48
0.0264,-1,-1.84,-0.48
0.0265,-1,-1.76,-0.48
0.0266,-1,-1.84,-0.6
0.0267,-1,-1.84,-0.6
0.0268,-1,-1.84,-0.6
0.0269,-1,-1.92,-0.72
0.027,-1,-1.84,-0.48
0.0271,-1,-1.84,-0.6
0.0272,-1,-1.84,-0.48
0.0273,-1,-1.84,-0.6
0.0274,-1,-1.84,-0.6
0.0275,-1,-1.92,-0.6
0.0276,-1,-1.84,-0.6
0.0277,-1,-1.84,-0.6
0.0278,-1,-1.84,-0.48
0.0279,-1,-1.76,-0.48
0.028,-1,-1.84,-0.48
0.0281,-1,-1.84,-0.6
0.0282,-1,-1.84,-0.6
0.0283,-1,-1.84,-0.6
0.0284,-1,-1.84,-0.48
0.0285,-1,-1.84,-0.6
0.0286,-1,-1.76,-0.48
0.0287,-1,-1.76,-0.6
0.0288,-1,-1.84,-0.6
0.0289,-1,-1.84,-0.6
0.029,-1,-1.84,-0.6
0.0291,-1,-1.76,-0.48
0.0292,-1,-1.84,-0.6
0.0293,-1,-1.84,-0.48
0.0294,-1,-1.84,-0.6
0.0295,-1,-1.84,-0.6
0.0296,-1,-1.84,-0.6
0.0297,-1,-1.92,-0.72
0.0298,-1,-1.84,-0.6
0.0299,-1,-1.84,-0.48
0.03,-1,-1.84,-0.6
0.0301,-1,-1.84,-0.6
0.0302,-1,-1.84,-0.6
0.0303,-1,-1.76,-0.6
0.0304,-1,-1.84,-0.6
0.0305,-1,-1.84,-0.6
0.0306,-1,-1.84,-0.48
0.0307,-1,-1.84,-0.48
0.0308,-1,-1.84,-0.6
0.0309,-1,-1.84,-0.72
0.031,-1,-1.84,-0.6
0.0311,-1,-1.84,-0.6
0.0312,-1,-1.84,-0.48
0.0313,-1,-1.84,-0.48
0.0314,-1,-1.84,-0.6
0.0315,-1,-1.84,-0.6
0.0316,-1,-1.84,-0.6
0.0317,-1,-1.76,-0.48
0.0318,-1,-1.84,-0.6
0.0319,-1,-1.76,-0.48
0.032,-1,-1.84,-0.6
0.0321,-1,-1.84,-0.6
0.0322,-1,-1.76,-0.48
0.0323,-1,-1.84,-0.6
0.0324,-1,-1.84,-0.6
0.0325,-1,-1.84,-0.6
0.0326,-1,-1.84,-0.6
0.0327,-1,-1.84,-0.6
0.0328,-1,-1.84,-0.48
0.0329,-1,-1.84,-0.6
0.033,-1,-1.84,-0.6
0.0331,-1,-1.84,-0.6
0.0332,-1,-1.84,-0.6
0.0333,-1,-1.84,-0.48
0.0334,-1,-1.76,-0.48
0.0335,-1,-1.84,-0.6
0.0336,-1,-1.84,-0.6
0.0337,-1,-1.84,-0.6
0.0338,-1,-1.84,-0.6
0.0339,-1,-1.76,-0.48
0.034,-1,-1.76,-0.48
0.0341,-1,-1.84,-0.6
0.0342,-1,-1.84,-0.6
0.0343,-1,-1.84,-0.48
0.0344,-1,-1.84,-0.6
0.0345,-1,-1.84,-0.6
0.0346,-1,-1.84,-0.6
0.0347,-1,-1.84,-0.6
0.0348,-1,-1.84,-0.6
0.0349,-1,-1.84,-0.6
0.035,-1,-1.84,-0.6
0.0351,-1,-1.84,-0.6
0.0352,-1,-1.84,-0.48
0.0353,-1,-1.84,-0.6
0.0354,-1,-1.84,-0.6
0.0355,-1,-1.84,-0.6
0.0356,-1,-1.84,-0.72
0.0357,-1,-1.84,-0.48
0.0358,-1,-1.84,-0.6
0.0359,-1,-1.84,-0.6
0.036,-1,-1.84,-0.6
0.0361,-1,-1.84,-0.48
0.0362,-1,-1.84,-0.6
0.0363,-0.96,-1.84,-0.6
0.0364,-1,-1.84,-0.6
0.0365,-1,-1.84,-0.6
0.0366,-1,-1.84,-0.6
0.0367,-1,-1.84,-0.6
0.0368,-1,-1.84,-0.48
0.0369,-1,-1.84,-0.6
0.037,-1,-1.84,-0.6
0.0371,-1,-1.76,-0.48
0.0372,-1,-1.84,-0.6
0.0373,-1,-1.84,-0.6
0.0374,-1,-1.92,-0.6
0.0375,-1,-1.84,-0.6
0.0376,-1,-1.84,-0.48
0.0377,-1,-1.76,-0.48
0.0378,-1,-1.76,-0.48
0.0379,-1,-1.84,-0.48
0.038,-1,-1.84,-0.6
0.0381,-1,-1.84,-0.6
0.0382,-1,-1.84,-0.6
0.0383,-1,-1.76,-0.36
0.0384,-1,-1.84,-0.6
0.0385,-1,-1.84,-0.6
0.0386,-1,-1.84,-0.6
0.0387,-1,-1.76,-0.48
0.0388,-1,-1.84,-0.6
0.0389,-1,-1.84,-0.6
0.039,-1,-1.84,-0.6
0.0391,-1,-1.84,-0.48
0.0392,-1,-1.84,-0.48
0.0393,-1,-1.84,-0.6
0.0394,-1,-1.84,-0.48
0.0395,-1,-1.84,-0.6
0.0396,-1,-1.92,-0.72
0.0397,-1,-1.84,-0.48
0.0398,-1,-1.84,-0.6
0.0399,-1,-1.76,-0.48
0.04,-1,-1.84,-0.48
0.0401,-1,-1.84,-0.6
0.0402,-1,-1.84,-0.6
0.0403,-1,-1.92,-0.72
0.0404,-1,-1.84,-0.6
0.0405,-1,-1.76,-0.6
0.0406,-1,-1.76,-0.48
0.0407,-1,-1.84,-0.6
0.0408,-1,-1.84,-0.6
0.0409,-1,-1.84,-0.6
0.041,-1,-1.84,-0.6
0.0411,-1,-1.84,-0.48
0.0412,-1,-1.84,-0.6
0.0413,-1,-1.84,-0.6
0.0414,-1,-1.84,-0.6
0.0415,-1,-1.84,-0.6
0.0416,-0.96,-1.84,-0.48
0.0417,-1,-1.84,-0.6
0.0418,-1,-1.84,-0.48
0.0419,-1,-1.84,-0.6
0.042,-1,-1.76,-0.48
0.0421,-1,-1.84,-0.6
0.0422,-1,-1.84,-0.6
0.0423,-1,-1.84,-0.6
0.0424,-1,-1.84,-0.6
0.0425,-1,-1.76,-0.48
0.0426,-1,-1.84,-0.6
0.0427,-1,-1.76,-0.48
0.0428,-1,-1.84,-0.6
0.0429,-1,-1.84,-0.6
0.043,-1,-1.84,-0.6
0.0431,-1,-1.84,-0.6
0.0432,-1,-1.76,-0.48
0.0433,-1,-1.84,-0.6
0.0434,-1,-1.84,-0.48
0.0435,-1,-1.84,-0.6
0.0436,-1,-1.84,-0.72
0.0437,-1,-1.84,-0.48
0.0438,-1,-1.84,-0.6
0.0439,-1,-1.76,-0.48
0.044,-1,-1.84,-0.6
0.0441,-1,-1.84,-0.6
0.0442,-1,-1.84,-0.6
0.0443,-1,-2,-0.72
0.0444,-1,-1.84,-0.6
0.0445,-1,-1.84,-0.48
0.0446,-1,-1.76,-0.48
0.0447,-1,-1.84,-0.6
0.0448,-1,-1.76,-0.36
0.0449,-1,-1.84,-0.6
0.045,-1,-1.92,-0.6
0.0451,-1,-1.84,-0.6
0.0452,-1,-1.84,-0.6
0.0453,-1,-1.76,-0.48
0.0454,-1,-1.84,-0.48
0.0455,-1,-1.84,-0.6
0.0456,-1,-1.84,-0.6
0.0457,-1,-1.84,-0.6
0.0458,-1,-1.84,-0.6
0.0459,-1,-1.76,-0.48
0.046,-1,-1.76,-0.48
0.0461,-1,-1.84,-0.6
0.0462,-1,-1.84,-0.6
0.0463,-1,-1.76,-0.6
0.0464,-1,-1.84,-0.6
0.0465,-0.96,-1.76,-0.48
0.0466,-1,-1.84,-0.48
0.0467,-1,-1.84,-0.48
0.0468,-1,-1.84,-0.6
0.0469,-1,-1.84,-0.6
0.047,-1,-1.84,-0.6
0.0471,-1,-1.84,-0.6
0.0472,-1,-1.84,-0.6
0.0473,-1,-1.84,-0.6
0.0474,-1,-1.76,-0.48
0.0475,-1,-1.84,-0.6
0.0476,-1,-1.84,-0.6
0.0477,-1,-1.84,-0.6
0.0478,-1,-1.84,-0.6
0.0479,-1,-1.84,-0.48
0.048,-1,-1.92,-0.6
0.0481,-1,-1.76,-0.48
0.0482,-1,-1.76,-0.48
0.0483,-1,-1.92,-0.72
0.0484,-1,-1.76,-0.48
0.0485,-1,-1.84,-0.6
0.0486,-1,-1.76,-0.48
0.0487,-1,-1.84,-0.6
0.0488,-1,-1.84,-0.48
0.0489,-1,-1.76,-0.48
0.049,-1,-1.92,-0.72
0.0491,-1,-1.84,-0.48
0.0492,-1,-1.84,-0.6
0.0493,-1,-1.84,-0.6
0.0494,-1,-1.84,-0.6
0.0495,-1,-1.84,-0.6
0.0496,-1,-1.76,-0.48
0.0497,-1,-1.84,-0.6
0.0498,-1,-1.76,-0.48
0.0499,-1,-1.76,-0.48
0.05,-1,-1.84,-0.6
0.0501,-1,-1.84,-0.6
0.0502,-1,-1.84,-0.6
0.0503,-1,-1.84,-0.6
0.0504,-1,-1.84,-0.48
0.0505,-1,-1.76,-0.6
0.0506,-1,-1.84,-0.6
0.0507,-1,-1.84,-0.6
0.0508,-1,-1.84,-0.48
0.0509,-1,-1.84,-0.6
0.051,-1,-1.84,-0.6
0.0511,-1,-1.84,-0.6
0.0512,-1,-1.84,-0.48
0.0513,-1,-1.84,-0.6
0.0514,-1,-1.76,-0.48
0.0515,-1,-1.84,-0.6
0.0516,-1,-1.92,-0.6
0.0517,-1,-1.84,-0.6
0.0518,-1,-1.76,-0.6
0.0519,-1,-1.84,-0.6
0.052,-1,-1.84,-0.6
0.0521,-1,-1.84,-0.6
0.0522,-1,-1.84,-0.6
0.0523,-1,-1.92,-0.72
0.0524,-1,-1.84,-0.6
0.0525,-1,-1.84,-0.48
0.0526,-1,-1.76,-0.6
0.0527,-1,-1.84,-0.6
0.0528,-1,-1.84,-0.6
0.0529,-1,-1.84,-0.6
0.053,-1,-1.84,-0.6
0.0531,-1,-1.84,-0.6
0.0532,-1,-1.84,-0.48
0.0533,-1,-1.84,-0.48
0.0534,-1,-1.84,-0.6
0.0535,-1,-1.76,-0.48
0.0536,-1,-1.84,-0.6
0.0537,-1,-1.84,-0.6
0.0538,-1,-1.84,-0.6
0.0539,-1,-1.84,-0.6
0.054,-1,-1.84,-0.6
0.0541,-1,-1.84,-0.6
0.0542,-1,-1.84,-0.6
0.0543,-1,-1.84,-0.6
0.0544,-1,-1.76,-0.48
0.0545,-1,-1.76,-0.48
0.0546,-1,-1.84,-0.6
0.0547,-1,-1.76,-0.48
0.0548,-1,-1.84,-0.6
