cycle,t_s,dur_ms,i_mA,u_V,R_est,dx_um,dF_mN
1,8.013117999999999,102.65799999999814,299.6778842105263,1.3803930631578947,4.800868410526316,72.4201975809392,3.085035988689384
2,11.216479,102.74199999999922,296.51329,1.3530023899999997,4.7275242,50.206247032857846,3.3119533337161045
3,14.419831999999996,101.76100000000332,301.6546041666666,1.3701685208333334,4.81377653125,-40.72047748406567,-3.2437182743366577
4,17.622098999999995,102.78300000000229,296.7337628865979,1.359419319587629,4.748596690721649,-41.57549660306995,-2.839676953827393
